ID1,Pond,Sample,Cmg,Cpercent,Nmg,Npercent,Cnratio
1,Waterfall,D1,2.089730604,42.21677987,0.032907496,0.664797889,3.143407399
1,Waterfall,D1,2.122971636,41.92282061,0.035471873,0.700471422,3.030775515
2,Waterfall,D2,2.185584285,43.17629958,0.046797147,0.924479395,2.36412439
3,Waterfall,D3,1.266916699,25.05768787,0.024135578,0.477365063,2.653978677
4,Golf,D1,2.156069489,43.46914292,0.043367332,0.874341362,2.465935597
5,Golf,D2,1.996293861,39.37463236,0.031505509,0.621410442,3.212520623
6,Golf,D3,1.54586361,31.50323233,0.027525826,0.560950191,2.755794784
7,No Oil,D1,1.875729424,37.89352372,0.052064885,1.051815869,1.783324896
8,No Oil,D2,2.017437578,39.60419273,0.058300359,1.144490749,1.762738213
9,No Oil,D3,2.008781011,39.23400413,0.05063259,0.988917765,2.03129227
10,Oil,D1,2.273263087,45.10442633,0.042756969,0.848352556,2.67962072
11,Oil,D2,2.228295758,44.53919165,0.038984867,0.779229811,2.85961308
12,Oil,D3,2.247172646,43.95877633,0.047327302,0.925807947,2.427255733
13,East,D1,1.836356067,35.80339378,0.033928261,0.661498557,2.776054532
14,East,D2,1.665929688,32.78743728,0.029823462,0.586960484,2.838231419
15,East,D3,1.83840887,36.76817739,0.03069257,0.613851397,2.994876088
16,Vulgaris,D1,2.210573941,43.14998908,0.042553037,0.830627316,2.661330657
17,Vulgaris,D2,2.057838543,41.09923193,0.056825595,1.134923009,1.813196602
18,Vulgaris,D3,2.127086997,42.47378188,0.0392645,0.784035539,2.712998187
19,Vulgaris small,D1,2.236407061,44.39077135,0.042924819,0.852021012,2.624826184
19,Vulgaris small,D1,2.36070613,47.84568565,0.045261432,0.917337494,2.57343251
20,Vulgaris small,D2,2.262181397,44.3738995,0.049290623,0.966861968,2.339714945
21,Vulgaris small,D3,2.288239535,45.04408533,0.058362896,1.14887591,1.991720354
22,Ice,D1,1.772097991,35.37121738,0.031461436,0.627972779,2.821934406
23,Ice,D2,1.89778231,37.81949602,0.031818743,0.634092125,2.9929126
24,Ice,D3,2.125550267,42.94040944,0.02960893,0.598160196,3.553479958
