Pond ,Year,Site2,SiteYear,Date,Siteyearsamp,Sample,Gravid,NotGravid,Total
East,2018,1,East2018,6/29/2018,1_1,1,0,1,1
East,2018,1,East2018,6/29/2018,1_1,2,0,0,0
East,2018,1,East2018,6/29/2018,1_1,3,0,0,0
East,2018,1,East2018,6/29/2018,1_1,4,0,0,0
East,2018,1,East2018,6/29/2018,1_1,5,0,0,0
East,2018,1,East2018,6/29/2018,1_1,6,0,0,0
East,2018,1,East2018,7/4/2018,1_2,1,0,28,28
East,2018,1,East2018,7/4/2018,1_2,2,0,87,87
East,2018,1,East2018,7/4/2018,1_2,3,0,128,128
East,2018,1,East2018,7/4/2018,1_2,4,1,180,181
East,2018,1,East2018,7/4/2018,1_2,5,0,107,107
East,2018,1,East2018,7/4/2018,1_2,6,0,106,106
East,2018,1,East2018,7/7/2018,1_3,1,0,29,29
East,2018,1,East2018,7/7/2018,1_3,2,0,28,28
East,2018,1,East2018,7/7/2018,1_3,3,0,21,21
East,2018,1,East2018,7/7/2018,1_3,4,0,34,34
East,2018,1,East2018,7/7/2018,1_3,5,1,5,6
East,2018,1,East2018,7/7/2018,1_3,6,0,12,12
Golf,2018,1c,Golf2018,6/22/2018,1c_1,1,0,4,4
Golf,2018,1c,Golf2018,6/22/2018,1c_1,2,0,8,8
Golf,2018,1c,Golf2018,6/22/2018,1c_1,3,0,9,9
Golf,2018,1c,Golf2018,6/22/2018,1c_1,4,0,4,4
Golf,2018,1c,Golf2018,6/22/2018,1c_1,5,0,1,1
Golf,2018,1c,Golf2018,6/22/2018,1c_1,6,0,3,3
Golf,2018,1c,Golf2018,6/27/2018,1c_2,1,1,1,2
Golf,2018,1c,Golf2018,6/27/2018,1c_2,2,1,0,1
Golf,2018,1c,Golf2018,6/27/2018,1c_2,3,0,1,1
Golf,2018,1c,Golf2018,6/27/2018,1c_2,4,0,3,3
Golf,2018,1c,Golf2018,6/27/2018,1c_2,5,1,2,3
Golf,2018,1c,Golf2018,6/27/2018,1c_2,6,0,0,0
Golf,2018,1c,Golf2018,7/3/2018,1c_3,1,2,0,2
Golf,2018,1c,Golf2018,7/3/2018,1c_3,2,0,15,15
Golf,2018,1c,Golf2018,7/3/2018,1c_3,3,2,1,3
Golf,2018,1c,Golf2018,7/3/2018,1c_3,4,1,3,4
Golf,2018,1c,Golf2018,7/3/2018,1c_3,5,0,0,0
Golf,2018,1c,Golf2018,7/3/2018,1c_3,6,0,0,0
Golf,2018,1c,Golf2018,7/7/2018,1c_4,1,2,16,18
Golf,2018,1c,Golf2018,7/7/2018,1c_4,2,1,13,14
Golf,2018,1c,Golf2018,7/7/2018,1c_4,3,1,20,21
Golf,2018,1c,Golf2018,7/7/2018,1c_4,4,4,15,19
Golf,2018,1c,Golf2018,7/7/2018,1c_4,5,1,7,8
Golf,2018,1c,Golf2018,7/7/2018,1c_4,6,1,10,11
Ice,2018,4,Ice2018,6/28/2018,4_1,1,0,2,2
Ice,2018,4,Ice2018,6/28/2018,4_1,2,0,2,2
Ice,2018,4,Ice2018,6/28/2018,4_1,3,0,0,0
Ice,2018,4,Ice2018,6/28/2018,4_1,4,0,0,0
Ice,2018,4,Ice2018,6/28/2018,4_1,5,0,0,0
Ice,2018,4,Ice2018,6/28/2018,4_1,6,0,0,0
Ice,2018,4,Ice2018,7/3/2018,4_2,1,2,6,8
