DateTime,Date,Oil,NoOil,East,Golf,Ice,Vulgaris,Vulgaris small,Waterfall,Airport
5/8/2018 15:00,5/8/2018,6.37,,,,,,,,-5
5/8/2018 16:00,5/8/2018,6.877,,,,,,,,-5
5/8/2018 17:00,5/8/2018,7.179,,,,,,,,-5
5/8/2018 18:00,5/8/2018,6.37,,,,,,,,-5
5/8/2018 19:00,5/8/2018,5.037,,,,,,,,-6
5/8/2018 20:00,5/8/2018,3.472,,,,,,,,-6
5/8/2018 21:00,5/8/2018,2.41,,,,,,,,-8
5/8/2018 22:00,5/8/2018,1.656,,,,,,,,-8
5/8/2018 23:00,5/8/2018,1.112,,,,,,,,-9
5/9/2018 0:00,5/9/2018,0.674,,,,,,,,-10
5/9/2018 1:00,5/9/2018,0.453,,,,,,,,-10
5/9/2018 2:00,5/9/2018,0.343,,,,,,,,-11
5/9/2018 3:00,5/9/2018,0.232,,,,,,,,-12
5/9/2018 4:00,5/9/2018,0.121,,,,,,,,-13
5/9/2018 5:00,5/9/2018,0.121,,,,,,,,-14
5/9/2018 6:00,5/9/2018,0.232,,,,,,,,-13
5/9/2018 7:00,5/9/2018,0.563,,,,,,,,-12
5/9/2018 8:00,5/9/2018,1.003,,,,,,,,-11
5/9/2018 9:00,5/9/2018,1.548,,,,,,,,-9
5/9/2018 10:00,5/9/2018,1.98,,,,,,,,-9
5/9/2018 11:00,5/9/2018,2.73,,,,,,,,-7
5/9/2018 12:00,5/9/2018,3.472,,,,,,,,-7
5/9/2018 13:00,5/9/2018,4.623,,,,,,,,-7
5/9/2018 14:00,5/9/2018,5.244,,,,,,,,-6
5/9/2018 15:00,5/9/2018,5.655,,,,,,,,-6
5/9/2018 16:00,5/9/2018,6.064,,,,,,,,-5
5/9/2018 17:00,5/9/2018,5.655,,,,,,,,-6
5/9/2018 18:00,5/9/2018,4.831,,,,,,,,-5
5/9/2018 19:00,5/9/2018,3.998,,,,,,,,-6
5/9/2018 20:00,5/9/2018,2.837,,,,,,,,-6
5/9/2018 21:00,5/9/2018,2.088,,,,,,,,-8
5/9/2018 22:00,5/9/2018,1.33,,,,,,,,-8
5/9/2018 23:00,5/9/2018,0.893,,,,,,,,-8
5/10/2018 0:00,5/10/2018,0.674,,,,,,,,-10
5/10/2018 1:00,5/10/2018,0.453,,,,,,,,-11
5/10/2018 2:00,5/10/2018,0.232,,,,,,,,-11
5/10/2018 3:00,5/10/2018,0.232,,,,,,,,-11
5/10/2018 4:00,5/10/2018,0.121,,,,,,,,-12
5/10/2018 5:00,5/10/2018,0.232,,,,,,,,-13
5/10/2018 6:00,5/10/2018,0.232,,,,,,,,-12
5/10/2018 7:00,5/10/2018,0.453,,,,,,,,-11
