Pond,Pond2,Sampling.Station,Beginning,Date.1,Date.2,Date.3,PreAFDM,NocageAFDM,CageAFDM,DaysPre,DaysTreatment,DaysTotal
East,1,N,0,5/17/2018,6/1/2018,6/26/2018,27.80555556,47.05555556,59.38888889,15,25,40
East,1,NW,0,5/17/2018,6/1/2018,6/26/2018,14,24.11111111,50.94444444,15,25,40
East,1,SW,0,5/17/2018,6/1/2018,6/26/2018,37.02777778,25.65972222,74.22222222,15,25,40
NoOil,1a,NE,0,5/15/2018,5/27/2018,6/14/2018,9.527777778,15.65972222,14.65277778,12,18,30
NoOil,1a,NW,0,5/15/2018,5/27/2018,6/14/2018,46.5,21.13888889,26.42361111,12,18,30
NoOil,1a,SW,0,5/15/2018,5/27/2018,6/14/2018,28.01388889,16.35416667,44.58333333,12,18,30
Oil,1b,East,0,5/9/2018,5/19/2018,6/14/2018,12.08333333,10.91666667,23.30555556,9,27,36
Oil,1b,Center,0,5/9/2018,5/19/2018,6/14/2018,16.30401235,15.88888889,27.95138889,9,27,36
Oil,1b,West,0,5/9/2018,5/19/2018,6/14/2018,12.22222222,8.166666667,41.5625,9,27,36
Golf,1c,NE,0,5/19/2018,6/2/2018,6/18/2018,8.166666667,61.88888889,45.94444444,14,16,30
Golf,1c,NW,0,5/19/2018,6/2/2018,6/18/2018,34.97222222,10.3125,27.44444444,14,16,30
Golf,1c,SW,0,5/19/2018,6/2/2018,6/18/2018,17.33333333,12.44444444,41.61111111,14,16,30
Vulgaris,3,NE,0,5/17/2018,5/17/2018,5/29/2018,29.89583333,43.27777778,130.3333333,12,20,32
Vulgaris,3,SE,0,5/17/2018,5/17/2018,5/29/2018,13.11111111,70.22222222,152.3333333,12,20,32
Vulgaris,3,West,0,5/17/2018,5/17/2018,5/29/2018,25.22222222,129.5,85.83333333,12,20,32
Vulgaris small,3a,East,0,5/20/2018,6/4/2018,6/24/2018,16.30555556,59.38888889,68.44444444,15,20,35
Vulgaris small,3a,NE,0,5/20/2018,6/4/2018,6/24/2018,13.83333333,30.17361111,133.3888889,15,20,35
Vulgaris small,3a,SW,0,5/20/2018,6/4/2018,6/24/2018,13.63888889,28.88888889,75.66666667,15,20,35
Waterfall,2a,NE,0,5/16/2018,5/28/2018,6/18/2018,9.166666667,15.02777778,65.66666667,12,21,33
Waterfall,2a,NW,0,5/16/2018,5/28/2018,6/18/2018,15.83333333,18.40277778,31.5625,12,21,33
Waterfall,2a,SE,0,5/16/2018,5/28/2018,6/18/2018,7.5,29.02777778,36.59722222,12,21,33
Ice,4,East,0,5/20/2018,6/4/2018,6/21/2018,16.61111111,30.55555556,30.94444444,15,17,32
Ice,4,N,0,5/20/2018,6/4/2018,6/21/2018,10.77777778,20.76388889,13.54166667,15,17,32
Ice,4,S,0,5/20/2018,6/4/2018,6/21/2018,22.44444444,25.65972223,92.05555556,15,17,32
