Pond,Pond,Start date,Date collected,numdays,SS,male,female,Total
East,1,6/22/2018,6/22/2018,0,N,0,0,0
East,1,6/22/2018,6/26/2018,4,N,3,6,9
East,1,6/26/2018,6/29/2018,3,N,0,1,1
East,1,6/29/2018,7/4/2018,5,N,0,0,0
East,1,6/22/2018,6/22/2018,0,NW,17,3,20
East,1,6/22/2018,6/26/2018,4,NW,2,15,17
East,1,6/26/2018,6/29/2018,3,NW,2,4,6
East,1,6/29/2018,7/4/2018,5,NW,0,1,1
East,1,6/22/2018,6/22/2018,0,S,19,8,27
East,1,6/22/2018,6/26/2018,4,S,3,1,4
East,1,6/26/2018,6/29/2018,3,S,0,0,0
East,1,6/29/2018,7/4/2018,5,S,0,1,1
Golf,1c,6/15/2018,6/15/2018,0,Center,1,3,4
Golf,1c,6/15/2018,6/18/2018,3,Center,1,1,2
Golf,1c,6/15/2018,6/15/2018,0,N,31,27,58
Golf,1c,6/15/2018,6/18/2018,3,N,4,1,5
Golf,1c,6/15/2018,6/15/2018,0,S,42,31,73
Golf,1c,6/15/2018,6/18/2018,3,S,4,1,5
Ice,4,6/21/2018,6/21/2018,0,N,6,2,8
Ice,4,6/21/2018,6/24/2018,3,N,0,0,0
Ice,4,6/21/2018,6/21/2018,0,NNW,0,2,2
Ice,4,6/21/2018,6/24/2018,3,NNW,0,4,4
Ice,4,6/21/2018,6/21/2018,0,NW,40,6,46
Ice,4,6/21/2018,6/24/2018,3,NW,,,
Ice,4,6/21/2018,6/21/2018,0,S,5,10,15
Ice,4,6/21/2018,6/24/2018,3,S,0,1,1
Ice,4,6/21/2018,6/21/2018,0,SE,7,4,11
Ice,4,6/21/2018,6/24/2018,3,SE,0,5,5
NoOil,1a,6/9/2018,6/9/2018,0,NE,13,0,13
NoOil,1a,6/9/2018,6/12/2018,3,NE,10,31,41
NoOil,1a,6/12/2018,6/14/2018,2,NE,2,4,6
NoOil,1a,6/14/2018,6/17/2018,3,NE,,,
NoOil,1a,6/9/2018,6/9/2018,0,NW,47,5,52
NoOil,1a,6/9/2018,6/12/2018,3,NW,26,80,106
NoOil,1a,6/12/2018,6/14/2018,2,NW,0,6,6
NoOil,1a,6/14/2018,6/17/2018,3,NW,2,0,2
NoOil,1a,6/9/2018,6/9/2018,0,SW,18,1,19
NoOil,1a,6/9/2018,6/12/2018,3,SW,173,275,448
NoOil,1a,6/12/2018,6/14/2018,2,SW,3,11,14
NoOil,1a,6/14/2018,6/17/2018,3,SW,0,0,0
Oil,1b,6/7/2018,6/7/2018,0,Center,17,2,19
Oil,1b,6/7/2018,6/9/2018,2,Center,16,7,23
Oil,1b,6/9/2018,6/12/2018,3,Center,16,12,28
Oil,1b,6/12/2018,6/14/2018,2,Center,2,7,9
Oil,1b,6/14/2018,6/16/2018,2,Center,0,1,1
Oil,1b,6/7/2018,6/7/2018,0,E,15,1,16
Oil,1b,6/7/2018,6/9/2018,2,E,7,5,12
Oil,1b,6/9/2018,6/12/2018,3,E,4,16,20
Oil,1b,6/12/2018,6/14/2018,2,E,4,8,12
Oil,1b,6/14/2018,6/16/2018,2,E,1,2,3
Oil,1b,6/7/2018,6/7/2018,0,W,1,1,2
Oil,1b,6/7/2018,6/9/2018,2,W,3,3,6
Oil,1b,6/9/2018,6/12/2018,3,W,26,38,64
Oil,1b,6/12/2018,6/14/2018,2,W,2,37,39
Oil,1b,6/14/2018,6/16/2018,2,W,0,6,6
Vulgaris,3,6/13/2018,6/13/2018,0,N,3,1,4
Vulgaris,3,6/13/2018,6/16/2018,3,N,75,23,98
Vulgaris,3,6/16/2018,6/21/2018,5,N,0,0,0
Vulgaris,3,6/13/2018,6/13/2018,0,NE,4,0,4
Vulgaris,3,6/13/2018,6/16/2018,3,NE,44,26,70
Vulgaris,3,6/16/2018,6/21/2018,5,NE,0,8,8
Vulgaris,3,6/13/2018,6/13/2018,0,W,0,0,0
Vulgaris,3,6/13/2018,6/16/2018,3,W,149,52,201
Vulgaris,3,6/16/2018,6/21/2018,5,W,4,34,38
Vulgaris small,3a,6/17/2018,6/17/2018,0,E,1,0,1
Vulgaris small,3a,6/17/2018,6/21/2018,4,E,15,20,35
Vulgaris small,3a,6/21/2018,6/24/2018,3,E,0,0,0
Vulgaris small,3a,6/17/2018,6/17/2018,0,NE,1,2,3
Vulgaris small,3a,6/17/2018,6/21/2018,4,NE,,,
Vulgaris small,3a,6/21/2018,6/24/2018,3,NE,,,
Vulgaris small,3a,6/17/2018,6/17/2018,0,SW,2,1,3
Vulgaris small,3a,6/17/2018,6/21/2018,4,SW,90,76,166
Vulgaris small,3a,6/21/2018,6/24/2018,3,SW,1,18,19
Waterfall,2a,6/15/2018,6/15/2018,0,NE,0,0,0
Waterfall,2a,6/15/2018,6/18/2018,3,NE,0,6,6
Waterfall,2a,6/18/2018,6/27/2018,9,NE,0,0,0
Waterfall,2a,6/15/2018,6/15/2018,0,NW,49,10,59
Waterfall,2a,6/15/2018,6/18/2018,3,NW,1,9,10
Waterfall,2a,6/18/2018,6/27/2018,9,NW,1,4,5
Waterfall,2a,6/15/2018,6/15/2018,0,S,3,3,6
Waterfall,2a,6/15/2018,6/18/2018,3,S,0,14,14
Waterfall,2a,6/18/2018,6/27/2018,9,S,0,0,0
