Site,Pond2,Date,SS,Sex,Winglength,Mag,Winglength2
East,1,6/29/2018,NW,F,48,12,4
East,1,6/26/2018,NW,M,50,12,4.166666667
East,1,6/29/2018,NW,F,51,12,4.25
East,1,6/29/2018,NW,F,52,12,4.333333333
East,1,6/26/2018,N,M,52,12,4.333333333
East,1,6/26/2018,N,F,52,12,4.333333333
East,1,6/22/2018,NW,F,52,12,4.333333333
East,1,6/26/2018,S,M,53,12,4.416666667
East,1,6/26/2018,NW,F,54,12,4.5
East,1,6/29/2018,NW,M,55,12,4.583333333
East,1,6/26/2018,N,F,55,12,4.583333333
East,1,6/26/2018,NW,F,55,12,4.583333333
East,1,6/26/2018,NW,F,55,12,4.583333333
East,1,6/22/2018,NW,M,56,12,4.666666667
East,1,6/22/2018,S,M,56,12,4.666666667
East,1,6/22/2018,NW,M,57,12,4.75
East,1,6/26/2018,S,M,57,12,4.75
East,1,6/22/2018,S,M,57,12,4.75
East,1,6/22/2018,S,M,57,12,4.75
East,1,6/26/2018,N,F,58,12,4.833333333
East,1,6/26/2018,N,M,58,12,4.833333333
East,1,6/26/2018,N,M,58,12,4.833333333
East,1,6/26/2018,NW,F,58,12,4.833333333
East,1,6/29/2018,S,F,59,12,4.916666667
East,1,6/26/2018,NW,F,59,12,4.916666667
East,1,6/22/2018,NW,F,59,12,4.916666667
East,1,6/22/2018,NW,M,59,12,4.916666667
East,1,6/22/2018,S,F,59,12,4.916666667
East,1,6/22/2018,S,M,59,12,4.916666667
East,1,6/29/2018,S,F,60,12,5
East,1,6/26/2018,S,F,60,12,5
East,1,6/26/2018,S,M,60,12,5
East,1,6/29/2018,N,F,61,12,5.083333333
East,1,6/22/2018,NW,M,61,12,5.083333333
East,1,6/22/2018,S,M,66,12,5.5
Golf,1c,6/15/2018,N,F,40,12,3.333333333
Golf,1c,6/15/2018,S,F,42,12,3.5
Golf,1c,6/15/2018,N,F,42,12,3.5
Golf,1c,6/15/2018,S,F,43,12,3.583333333
Golf,1c,6/15/2018,N,F,44,12,3.666666667
Golf,1c,6/15/2018,C,F,45,12,3.75
Golf,1c,6/15/2018,C,M,45,12,3.75
Golf,1c,6/18/2018,N,M,45,12,3.75
Golf,1c,6/18/2018,N,M,45,12,3.75
Golf,1c,6/18/2018,N,M,46,12,3.833333333
Golf,1c,6/15/2018,S,F,47,12,3.916666667
Golf,1c,6/15/2018,S,F,47,12,3.916666667
