Pond,Pond2,Measurement,Date,Perimeter,Area
East,1,Beginning,5/18/2018,138.7,759.2
East,1,End,7/7/2018,127.25,711.96
NoOil,1a,Beginning,5/15/2018,58.4,198.57
NoOil,1a,End,6/14/2018,46,129.97
Oil,1b,Beginning,5/13/2018,136,572.3
Oil,1b,End,6/14/2018,125,424.99
Golf,1c,Beginning,5/19/2018,151.5,613.5
Golf,1c,End,6/18/2018,101.4,232.56
Waterfall,2a,Beginning,5/16/2018,206.1,1769.31
Waterfall,2a,End,6/16/2018,82.4,461.48
Vulgaris,3,Beginning,5/17/2018,298.5,1758.35
Vulgaris,3,End,6/21/2018,264.8,1031.05
Vulgaris.small,3a,Beginning,5/20/2018,238.2,3181.26
Vulgaris.small,3a,End,7/7/2018,226.3,2901.84
Ice,4,Beginning,5/20/2018,145.6,1422
Ice,4,End,6/21/2018,127.5,1063.29
