Period,Date,DateTime,Temp,Pond
Early,5/18/2018,5/18/2018 17:00,2.195,East
Early,5/18/2018,5/18/2018 18:00,2.73,East
Early,5/18/2018,5/18/2018 19:00,2.303,East
Early,5/18/2018,5/18/2018 20:00,1.003,East
Early,5/18/2018,5/18/2018 21:00,0.674,East
Early,5/18/2018,5/18/2018 22:00,0.453,East
Early,5/18/2018,5/18/2018 23:00,0.343,East
Early,5/19/2018,5/19/2018 0:00,0.343,East
Early,5/19/2018,5/19/2018 1:00,0.232,East
Early,5/19/2018,5/19/2018 2:00,0.232,East
Early,5/19/2018,5/19/2018 3:00,0.232,East
Early,5/19/2018,5/19/2018 4:00,0.232,East
Early,5/19/2018,5/19/2018 5:00,0.343,East
Early,5/19/2018,5/19/2018 6:00,0.674,East
Early,5/19/2018,5/19/2018 7:00,1.33,East
Early,5/19/2018,5/19/2018 8:00,2.195,East
Early,5/19/2018,5/19/2018 9:00,3.367,East
Early,5/19/2018,5/19/2018 10:00,4.519,East
Early,5/19/2018,5/19/2018 11:00,5.244,East
Early,5/19/2018,5/19/2018 12:00,6.166,East
Early,5/19/2018,5/19/2018 13:00,6.674,East
Early,5/19/2018,5/19/2018 14:00,7.079,East
Early,5/19/2018,5/19/2018 15:00,7.582,East
Early,5/19/2018,5/19/2018 16:00,6.471,East
Early,5/19/2018,5/19/2018 17:00,5.552,East
Early,5/19/2018,5/19/2018 18:00,4.934,East
Early,5/19/2018,5/19/2018 19:00,4.519,East
Early,5/19/2018,5/19/2018 20:00,1.439,East
Early,5/19/2018,5/19/2018 21:00,1.003,East
Early,5/19/2018,5/19/2018 22:00,0.674,East
Early,5/19/2018,5/19/2018 23:00,0.563,East
Early,5/20/2018,5/20/2018 0:00,0.453,East
Early,5/20/2018,5/20/2018 1:00,0.453,East
Early,5/20/2018,5/20/2018 2:00,0.453,East
Early,5/20/2018,5/20/2018 3:00,0.453,East
Early,5/20/2018,5/20/2018 4:00,0.453,East
Early,5/20/2018,5/20/2018 5:00,0.453,East
Early,5/20/2018,5/20/2018 6:00,0.563,East
Early,5/20/2018,5/20/2018 7:00,0.563,East
Early,5/20/2018,5/20/2018 8:00,0.784,East
Early,5/20/2018,5/20/2018 9:00,1.003,East
Early,5/20/2018,5/20/2018 10:00,1.33,East
Early,5/20/2018,5/20/2018 11:00,1.33,East
Early,5/20/2018,5/20/2018 12:00,2.303,East
Early,5/20/2018,5/20/2018 13:00,3.261,East
Early,5/20/2018,5/20/2018 14:00,3.261,East
Early,5/20/2018,5/20/2018 15:00,3.893,East
Early,5/20/2018,5/20/2018 16:00,3.683,East
Early,5/20/2018,5/20/2018 17:00,2.624,East
Early,5/20/2018,5/20/2018 18:00,2.517,East
Early,5/20/2018,5/20/2018 19:00,2.41,East
Early,5/20/2018,5/20/2018 20:00,1.764,East
Early,5/20/2018,5/20/2018 21:00,1.439,East
Early,5/20/2018,5/20/2018 22:00,1.221,East
Early,5/20/2018,5/20/2018 23:00,1.003,East
Early,5/21/2018,5/21/2018 0:00,0.784,East
Early,5/21/2018,5/21/2018 1:00,0.563,East
Early,5/21/2018,5/21/2018 2:00,0.343,East
Early,5/21/2018,5/21/2018 3:00,0.343,East
Early,5/21/2018,5/21/2018 4:00,0.343,East
Early,5/21/2018,5/21/2018 5:00,0.453,East
Early,5/21/2018,5/21/2018 6:00,0.674,East
Early,5/21/2018,5/21/2018 7:00,1.221,East
Early,5/21/2018,5/21/2018 8:00,1.872,East
Early,5/21/2018,5/21/2018 9:00,2.73,East
Early,5/21/2018,5/21/2018 10:00,3.472,East
Early,5/21/2018,5/21/2018 11:00,4.102,East
