Date,Pond,Instar, Sampling station,FPOM_adjust,DOC,NH4,N03N02,TotalP,LogTotalP,Temp,Conduc,logConduc,DoPerc,DomgL,pH,ORP,Depth
5/18/2018,East,1st,Center,2.66,30.2,0.069347648,0.048777673,0.009719788,-2.012343207,1.05,157,2.195899652,75.5,10.71,6.54,-257.8,14.5
5/18/2018,East,1st,East,1.36,19.4,0.053979129,0.040275416,0.016538455,-1.781505064,1.34,150,2.176091259,65.9,9.26,6.47,-254.4,11.5
5/18/2018,East,1st,West,4.83,28.3,0.056929631,0.043891244,0.007322315,-2.135351592,2.7,,,47.8,6.44,6.57,-275.1,23
6/1/2018,East,2nd3rd,N,0.875,31.1,0.06344575,0.041936729,0.005111931,-2.291415017,5.93,106,2.025305865,86,10.72,6.27,-248.4,18.5
6/1/2018,East,2nd3rd,NW,0.945,29.5,0.064060508,0.034705303,0.005400978,-2.267527592,7.45,134,2.127104798,89.2,10.7,6.25,-254.4,9.5
6/1/2018,East,2nd3rd,SW,1.411666667,31,0.062462147,0.045161696,0.004497283,-2.347049783,8.92,119,2.075546961,83,9.62,6.27,-234.1,15
6/17/2018,East,Pupae,N,1.008,31.8,0.068732844,0.05542354,0.004181884,-2.378628018,13.66,145,2.161368002,82.5,8.55,6.12,-250,13
6/17/2018,East,Pupae,NW,2.75625,33.9,0.044882507,0.060994627,0.004737871,-2.324416768,15.34,165,2.217483944,73.6,7.34,6.11,-248,14
6/17/2018,East,Pupae,SW,1.0325,32.5,0.053364456,0.029917169,0.005375474,-2.269583234,15.08,190,2.278753601,59.6,5.94,6.14,-267.8,12
5/19/2018,Golf,1st,NE,1.1375,6.2,0.011726426,0.054250713,0.00460525,-2.336746789,4.16,22,1.342422681,78.6,10.38,6.63,-252.2,14.5
5/19/2018,Golf,1st,NW,1.428,5.7,0.019921859,0.05688959,0.001226877,-2.911198975,3.7,39,1.591064607,68.4,9.04,6.7,-254.3,14.5
5/19/2018,Golf,1st,SW,1.86375,8.2,0.026963058,0.058746613,0.005758038,-2.239725473,3.85,94,1.973127854,73.5,9.68,6.53,-273.2,13.5
6/2/2018,Golf,2nd3rd,NE,1.761666667,19.2,0.021498425,0.017639232,0.012882502,-1.889999781,13.25,289,2.460897843,89,8.35,6.34,-241.3,10
6/2/2018,Golf,2nd3rd,NW,1.89,20.8,0.02045522,0.016286829,0.004933402,-2.306853494,14.06,248,2.394451681,79.2,8.14,6.47,-240,7
6/2/2018,Golf,2nd3rd,SW,1.633333333,21.5,0.025848957,0.01441428,0.001762444,-2.753884673,16.17,300,2.477121255,77,7.57,6.52,-243,8
6/11/2018,Golf,Pupae,Center,2.625,25.2,0.042324883,0.008068499,0.006421152,-2.192387049,20.85,347,2.540329475,75.6,6.68,6.97,-273.1,17
6/11/2018,Golf,Pupae,N,2.601666667,22.4,0.029879268,0.008276556,0.003499232,-2.456027263,21.22,308,2.488550717,80.3,7.12,6.98,-272.8,12.5
