Site,Year,SiteYear,Date,Day,Larvalstage,Larvalstage2,Emergence,samplemean,Day0,samplemeanliter,samplevar,samplevarliter,samplelnmean,samplelnvar,Totalarea,Samplearea,n,N,finitepopcorrection,Sesampleliter,Totalpop,variancepop,VMR,SEpop,conf95,upper95,lower95,lnTotalpop,lnSEpop,Totalpop,variancepop,VMR,SEpop
East,2018,East2018,5/27/2018,5/27/2017,Two,Two,Before,36.84210526,0,21.05263158,1642.140351,536.2090942,2.638077442,3.13643061,40873.92857,1.75,19,23356.53061,0.999186523,5.312394119,860503.7594,47110737758,54747.85815,217050.0812,425418.1592,1285921.919,435085.6002,61616.33652,9485.771485,860.5037594,47110737758,54747.85815,217.0500812
East,2018,East2018,6/1/2018,6/1/2017,Two,Two,Before,21.89473684,5,12.5112782,681.2105263,222.4360902,2.531050479,1.481083122,40465,1.75,19,23122.85714,0.999178302,3.421573124,506268.8722,19153746527,37833.15068,138397.0611,271258.2398,777527.112,235010.6324,58525.11864,6453.211651,506.2688722,47110737758,54747.85815,138.3970611
East,2018,East2018,6/9/2018,6/9/2017,Three,Three,Before,9.857142857,13,5.632653061,115.2285714,37.62565598,1.856374246,1.279847756,39810.71429,1.75,21,22748.97959,0.999076882,1.338543202,224239.9417,2837028084,12651.75179,53263.75957,104396.9688,328636.9105,119842.973,42230.61985,5613.463257,224.2399417,47110737758,54747.85815,53.26375957
East,2018,East2018,6/14/2018,6/14/2017,FourPupae,FourPupae,Before,6.045454545,18,3.454545455,22.04545455,7.19851577,1.731682626,0.548867084,39401.78571,1.75,22,22515.30612,0.999022887,0.572018586,136115.2597,507490044.2,3728.384644,22527.53968,44153.97778,180269.2375,91961.28195,38989.36442,3554.576192,136.1152597,47110737758,54747.85815,22.52753968
East,2018,East2018,6/17/2018,6/17/2017,FourPupae,FourPupae,Before,7.05,21,4.028571429,20.89210526,6.821911923,1.865626028,0.591721404,39156.42857,1.75,20,22375.10204,0.999106149,0.5840339,157744.4694,522509138.8,3312.376915,22858.4588,44802.57925,202547.0486,112941.8901,41743.57275,3846.931757,157.7444694,47110737758,54747.85815,22.8584588
Golf,2018,Golf2018,5/24/2018,5/24/2017,One,One,Before,27.05263158,0,15.45864662,1822.830409,595.2099296,2.633585719,1.346945457,42945,1.75,19,24540,0.999225754,5.59703836,663871.5789,57730510760,86960.35889,240271.7436,470932.6174,1134804.196,192938.9615,64628.19355,6531.374288,663.8715789,47110737758,54747.85815,240.2717436
Golf,2018,Golf2018,5/28/2018,5/28/2017,Two,Two,Before,23.84210526,4,13.62406015,1134.251462,370.3678243,2.515576662,1.588063762,40941,1.75,19,23394.85714,0.999187856,4.415092681,557782.6466,32647030791,58530.02238,180684.8936,354142.3915,911925.0382,203640.2551,58851.55663,6760.847477,557.7826466,47110737758,54747.85815,180.6848936
Golf,2018,Golf2018,6/2/2018,6/2/2017,TwoThree,TwoThree,Before,10.64705882,9,6.084033613,50.36764706,16.44657863,2.285068006,0.356517875,38436,1.75,17,21963.42857,0.999225986,0.983588228,233845.916,1428126683,6107.126898,37790.56342,74069.5043,307915.4203,159776.4117,50187.92794,3179.422107,233.845916,47110737758,54747.85815,37.79056342
Golf,2018,Golf2018,6/6/2018,6/6/2017,ThreeFour,ThreeFour,Before,9.823529412,13,5.613445378,87.52941176,28.58103241,1.976109938,1.010996132,36432,1.75,17,20818.28571,0.99918341,1.296625312,204509.042,2229668161,10902.54073,47219.36214,92549.9498,297058.9918,111959.0922,41139.2213,5074.787463,204.509042,47110737758,54747.85815,47.21936214
Golf,2018,Golf2018,6/11/2018,6/11/2017,FourPupae,FourPupae,Before,47.46153846,18,27.12087912,2374.102564,775.2171638,3.408244859,1.190612297,33927,1.75,13,19386.85714,0.999329443,7.722181656,920130.0659,68592973187,74547.04039,261902.6025,513329.1009,1433459.167,406800.9651,66075.15619,5865.097786,920.1300659,47110737758,54747.85815,261.9026025
