"","Site","Year","SiteYear","Date","Day","Larvalstage","Larvalstage2","Emergence","samplemeanbeetle","samplemean","samplelnmean1","samplelnmean2","samplevar","samplevarbeetles","samplelnvar","Totalarea","Samplearea","n","N","finitepopcorrection","Totalpop","variancepop","VMR","SEpop","lnTotalpop","lnupperSE","lnlowerSE","Totalpopbeetles","SEpopbeetles","lnTotalpopbeetles","lnupperSEbeetles","lnlowerSEbeetles"
"3","East","2018","East2018",2018-05-27,2017-05-27,"Two","Two","Before",0,36.8421052631579,3.60664135587696,2.63807744163158,1642.14035087719,0,3.13643060981577,40873.92857,1.75,19,23356.5306114286,0.999186523019361,860503.759368421,47110737757.7288,54747.8581526551,217050.081220277,13.6652744255521,13.8902040677754,13.3746053191976,0,0,0,0,0
"4","East","2018","East2018",2018-06-01,2017-06-01,"Two","Two","Before",0,21.8947368421053,3.08624628109482,2.53105047868421,681.21052631579,0,1.48108312157849,40465,1.75,19,23122.8571428571,0.999178302236501,506268.872180451,19153746527.4159,37833.1506831984,138397.061122756,13.1348251503223,13.3764875287411,12.8154898169496,0,0,0,0,0
"5","East","2018","East2018",2018-06-09,2017-06-09,"Three","Three","Before",0,9.85714285714286,2.28819635554195,1.85637424652381,115.228571428571,0,1.27984775660229,39810.71429,1.75,21,22748.9795942857,0.999076881672298,224239.941715102,2837028083.5256,12651.7517879578,53263.7595699515,12.3204763854156,12.5335895500438,12.0492795400828,0,0,0,0,0
"6","East","2018","East2018",2018-06-14,2017-06-14,"FourPupae","FourPupae","Before",0.409090909090909,6.04545454545455,1.79930667486344,1.73168262568182,22.0454545454545,0.443722943722944,0.54886708393518,39401.78571,1.75,22,22515.30612,0.999022886924888,136115.259725455,507490044.167757,3728.38464395079,22527.5396829693,11.8212646504637,11.9744104093341,11.6403306812086,9210.80704909091,3196.02506950559,9.12824131511667,9.42608317467107,8.70214162487746
"7","East","2018","East2018",2018-06-17,2017-06-17,"FourPupae","FourPupae","Before",0.4,7.05,1.95302761682418,1.8656260281,20.8921052631579,0.463157894736842,0.591721403533743,39156.42857,1.75,20,22375.10204,0.999106149327755,157744.469382,522509138.820008,3312.37691481075,22858.4588023779,11.9687380597501,12.1040561334791,11.8121853346659,8950.040816,3403.45786450865,9.09952509679798,9.42177554135574,8.62111760764518
"12","Golf","2018","Golf2018",2018-05-24,2017-05-24,"One","N0","Before",0,27.0526315789474,3.29778428628872,2.63358571910526,1822.83040935673,0,1.34694545670638,42945,1.75,19,24540,0.999225753871231,663871.578947368,57730510760.0369,86960.358886841,240271.74357389,13.4058455108679,13.7147431694198,12.9565445040726,0,0,0,0,0
"13","Golf","2018","Golf2018",2018-05-28,2017-05-28,"Two","Two","Before",0,23.8421052631579,3.17145314631659,2.51557666163158,1134.2514619883,0,1.58806376234204,40941,1.75,19,23394.8571428571,0.99918785569478,557782.646616541,32647030791.3354,58530.0223830363,180684.893644531,13.2317264360988,13.5123324263804,12.8402597245228,0,0,0,0,0
"14","Golf","2018","Golf2018",2018-06-02,2017-06-02,"TwoThree","TwoThree","Before",0,10.6470588235294,2.36528368720961,2.28506800635294,50.3676470588235,0,0.356517874745047,38436,1.75,17,21963.4285714286,0.99922598605474,233845.915966387,1428126683.32039,6107.12689772041,37790.5634162867,12.3624219749823,12.5122199785439,12.1861523093121,0,0,0,0,0
"15","Golf","2018","Golf2018",2018-06-06,2017-06-06,"ThreeFour","ThreeFour","Before",0,9.82352941176471,2.28478046836054,1.97610993817647,87.5294117647059,0,1.01099613185294,36432,1.75,17,20818.2857142857,0.999183410188845,204509.042016807,2229668160.98976,10902.5407336587,47219.3621408608,12.228372358476,12.4361060240121,11.9658444789853,0,0,0,0,0
"16","Golf","2018","Golf2018",2018-06-11,2017-06-11,"FourPupae","FourPupae","Before",0.230769230769231,47.4615384615385,3.85991966644385,3.40824485915385,2374.10256410256,0.192307692307692,1.19061229739513,33927,1.75,13,19386.8571428571,0.999329442626816,920130.065934066,68592973187.4266,74547.0403880291,261902.602483111,13.7322714018501,13.9827461148211,13.3973058397059,4473.89010989011,2357.15642276893,8.4062370739583,8.8293795464316,7.65810178035256
