Site,Year,SiteYear,Date,Day,Totalpop,lnTotalpop,lnupperSE,lnlowerSE,Type
East,2018,East2018,5/27/2018,5/27/2017,860503.7594,13.66527443,13.89020407,13.37460532,mosquito
East,2018,East2018,6/1/2018,6/1/2017,506268.8722,13.13482515,13.37648753,12.81548982,mosquito
East,2018,East2018,6/9/2018,6/9/2017,224239.9417,12.32047639,12.53358955,12.04927954,mosquito
East,2018,East2018,6/14/2018,6/14/2017,136115.2597,11.82126465,11.97441041,11.64033068,mosquito
East,2018,East2018,6/17/2018,6/17/2017,157744.4694,11.96873806,12.10405613,11.81218533,mosquito
Golf,2018,Golf2018,5/24/2018,5/24/2017,663871.5789,13.40584551,13.71474317,12.9565445,mosquito
Golf,2018,Golf2018,5/28/2018,5/28/2017,557782.6466,13.23172644,13.51233243,12.84025972,mosquito
Golf,2018,Golf2018,6/2/2018,6/2/2017,233845.916,12.36242197,12.51221998,12.18615231,mosquito
Golf,2018,Golf2018,6/6/2018,6/6/2017,204509.042,12.22837236,12.43610602,11.96584448,mosquito
Golf,2018,Golf2018,6/11/2018,6/11/2017,920130.0659,13.7322714,13.98274611,13.39730584,mosquito
Ice,2018,Ice2018,5/25/2018,5/25/2017,440826.8131,12.99640963,13.2414569,12.67111397,mosquito
Ice,2018,Ice2018,5/29/2018,5/29/2017,463059.5605,13.04561312,13.34636949,12.61346852,mosquito
Ice,2018,Ice2018,6/4/2018,6/4/2017,198888.8606,12.20050649,12.4208394,11.91747798,mosquito
Ice,2018,Ice2018,6/8/2018,6/8/2017,179310.9243,12.09688216,12.2693301,11.88835489,mosquito
Ice,2018,Ice2018,6/12/2018,6/12/2017,255716.2149,12.45182748,12.79269217,11.93066398,mosquito
Ice,2018,Ice2018,6/16/2018,6/16/2017,467643.2967,13.05546324,13.34544241,12.64538158,mosquito
NoOil,2018,NoOil2018,5/19/2018,5/19/2017,1283595.636,14.06517657,14.47085311,13.37139169,mosquito
NoOil,2018,NoOil2018,5/24/2018,5/24/2017,415937.4547,12.93829258,13.14133922,12.68322688,mosquito
NoOil,2018,NoOil2018,5/27/2018,5/27/2017,595879.4806,13.29779539,13.53746885,12.98193678,mosquito
NoOil,2018,NoOil2018,6/1/2018,6/1/2017,123937.4545,11.72754039,11.9363629,11.46325916,mosquito
NoOil,2018,NoOil2018,6/4/2018,6/4/2017,745826.4937,13.52224961,13.72713491,13.26427267,mosquito
Oil,2018,Oil2018,5/16/2018,5/16/2017,1982880.272,14.50006153,14.73186509,14.19777599,mosquito
Oil,2018,Oil2018,5/19/2018,5/19/2017,1579864.105,14.27285003,14.5179915,13.94739223,mosquito
Oil,2018,Oil2018,5/23/2018,5/23/2017,465095.6633,13.05000054,13.29811803,12.71925118,mosquito
Oil,2018,Oil2018,5/27/2018,5/27/2017,384337.5,12.85927895,12.99162511,12.70670035,mosquito
Oil,2018,Oil2018,6/1/2018,6/1/2017,403632.6531,12.90826295,13.0372723,12.76010426,mosquito
Oil,2018,Oil2018,6/5/2018,6/5/2017,240563.2653,12.39074255,12.55608153,12.1925339,mosquito
Vulgaris,2018,Vulgaris2018,5/21/2018,5/21/2017,12437943.54,16.3362624,16.53030065,16.09528211,mosquito
Vulgaris,2018,Vulgaris2018,5/25/2018,5/25/2017,8071453.47,15.90384426,16.05173415,15.73022217,mosquito
Vulgaris,2018,Vulgaris2018,5/29/2018,5/29/2017,2685233.172,14.8032785,14.90599144,14.68879426,mosquito
Vulgaris,2018,Vulgaris2018,6/4/2018,6/4/2017,1514867.405,14.23083913,14.34598,14.10069308,mosquito
Vulgaris,2018,Vulgaris2018,6/8/2018,6/8/2017,1345208.236,14.11206012,14.23558277,13.97109878,mosquito
Vulgaris small,2018,Vulgaris small2018,5/25/2018,5/25/2017,2960501.751,14.90086966,15.15122547,14.56611968,mosquito
Vulgaris small,2018,Vulgaris small2018,5/29/2018,5/29/2017,3562080.33,15.08585558,15.28908581,14.830505,mosquito
