Pond,SS,AFDMCage,AFDMNoCage,AFDMPre,POMCage,POMNoCage,POMPre
East,N,21.38,16.94,10.01,87.08,62.22,25.3
East,NW,18.34,8.68,5.04,77.02,23.28,21.43
East,S,26.72,9.2375,13.33,206.54,46.8625,48.45
Golf,Center,9.88,3.7125,12.59,235.66,15.8375,76.91
Golf,N,16.54,22.28,2.94,304.92,180.54,185.03
Golf,S,14.98,4.48,6.24,320.24,18.02,187.55
Ice,East,11.14,11,,32.38,35.15,
Ice,NW,4.875,7.475,3.88,10.4,18.675,14.94
Ice,S,33.14,,8.08,273.08,,23.4
NoOil,NE,5.275,5.6375,3.43,14.0125,14.1125,11.19
NoOil,NW,9.5125,7.61,16.74,42.5375,17.73,37.37
NoOil,SW,16.05,5.8875,,61.7875,8.4625,
Oil,Center,10.0625,5.72,11.73888889,32.7125,15.36,58.59777778
Oil,East,8.39,3.93,4.35,36.73,7.98,18.4
Oil,West,14.9625,2.94,4.4,40.2875,13.9,31.74
V.small,East,24.64,21.38,5.87,99.28,73.46,18.57
V.small,NE,48.02,10.8625,4.98,250.58,17.5875,26.85
V.small,S,27.24,10.4,4.91,78.88,19.02,15.11
Vulgaris,East,54.84,25.28,9.44,160.18,40.38,24.19
Vulgaris,NE,46.92,15.58,10.7625,137.74,30.58,41.5125
Vulgaris,NW,30.9,46.62,9.08,49.94,147.16,40.93
Waterfall,NE,23.64,5.41,3.3,108.54,10.57,9.1
Waterfall,NW,11.3625,6.625,5.7,21.15,10.1375,21.31
Waterfall,South,13.175,10.45,2.7,22.6,20.3875,10.57
