Pond,Sampling Station,Type,Type1,Type2,Date,Biofilm
East,N,Cage,Beginning,Same,17-May,0
East,NW,Cage,Beginning,Same,17-May,0
East,S,Cage,Beginning,Same,17-May,0
East,N,Cage,End,Cage,26-Jun,17.6385
East,NW,Cage,End,Cage,26-Jun,15.1305
East,S,Cage,End,Cage,26-Jun,22.044
East,N,Cage,Middle,Same,1-Jun,8.675333333
East,NW,Cage,Middle,Same,1-Jun,11.088
East,S,Cage,Middle,Same,1-Jun,11.55266667
East,N,NoCage,Beginning,Same,17-May,0
East,NW,NoCage,Beginning,Same,17-May,0
East,S,NoCage,Beginning,Same,17-May,0
East,N,NoCage,End,NoCage,26-Jun,13.9755
East,NW,NoCage,End,NoCage,26-Jun,7.161
East,S,NoCage,End,NoCage,26-Jun,7.6209375
East,N,NoCage,Middle,Same,1-Jun,8.675333333
East,NW,NoCage,Middle,Same,1-Jun,11.088
East,S,NoCage,Middle,Same,1-Jun,11.55266667
Golf,Center,Cage,Beginning,Same,19-May,0
Golf,N,Cage,Beginning,Same,19-May,0
Golf,S,Cage,Beginning,Same,19-May,0
Golf,Center,Cage,End,Cage,18-Jun,10.868
Golf,N,Cage,End,Cage,18-Jun,18.194
Golf,S,Cage,End,Cage,18-Jun,16.478
Golf,Center,Cage,Middle,Same,2-Jun,11.69071429
Golf,N,Cage,Middle,Same,2-Jun,2.73
Golf,S,Cage,Middle,Same,2-Jun,5.794285714
Golf,Center,NoCage,Beginning,Same,19-May,0
Golf,N,NoCage,Beginning,Same,19-May,0
Golf,S,NoCage,Beginning,Same,19-May,0
Golf,Center,NoCage,End,NoCage,18-Jun,4.08375
Golf,N,NoCage,End,NoCage,18-Jun,24.508
Golf,S,NoCage,End,NoCage,18-Jun,4.928
Golf,Center,NoCage,Middle,Same,2-Jun,11.69071429
Golf,N,NoCage,Middle,Same,2-Jun,2.73
Golf,S,NoCage,Middle,Same,2-Jun,5.794285714
Ice,East,Cage,Beginning,Same,20-May,0
Ice,NW,Cage,Beginning,Same,20-May,0
Ice,S,Cage,Beginning,Same,20-May,0
Ice,East,Cage,End,Cage,21-Jun,11.488125
