Pond,Sampling Station,Cage,No cage,Pre,Cageminnocage,Cageminpre,NoCageminpre
East,N,17.6385,13.9755,8.675333333,3.663,8.963166667,5.300166667
East,NW,15.1305,7.161,11.088,7.9695,4.0425,-3.927
East,S,22.044,7.6209375,11.55266667,14.4230625,10.49133333,-3.931729167
Golf,Center,10.868,4.08375,11.69071429,6.78425,-0.822714286,-7.606964286
Golf,N,18.194,24.508,2.73,-6.314,15.464,21.778
Golf,S,16.478,4.928,5.794285714,11.55,10.68371429,-0.866285714
Ice,East,11.488125,11.34375,,0.144375,,
Ice,NW,5.02734375,7.70859375,3.362666667,-2.68125,1.664677083,4.345927083
Ice,S,34.175625,,7.002666667,,27.17295833,
NoOil,NE,5.8025,6.20125,3.715833333,-0.39875,2.086666667,2.485416667
NoOil,NW,10.46375,8.371,18.135,2.09275,-7.67125,-9.764
NoOil,SW,17.655,6.47625,,11.17875,,
Oil,Center,9.223958333,5.243333333,8.47808642,3.980625,0.745871914,-3.234753086
Oil,East,7.690833333,3.6025,7.06875,4.088333333,0.622083333,-3.46625
Oil,West,13.715625,2.695,6.355555556,11.020625,7.360069444,-3.660555556
Vulgaris small,East,23.232,20.15828571,5.087333333,3.073714286,18.14466667,15.07095238
Vulgaris small,NE,45.276,10.24178571,4.316,35.03421429,40.96,5.925785714
Vulgaris small,S,25.68342857,9.805714286,4.255333333,15.87771429,21.42809524,5.550380952
Vulgaris,East,56.55375,26.07,10.22666667,30.48375,46.32708333,15.84333333
Vulgaris,NE,48.38625,16.066875,11.659375,32.319375,36.726875,4.4075
Vulgaris,NW,31.865625,48.076875,9.836666667,-16.21125,22.02895833,38.24020833
Waterfall,NE,23.64,5.41,1.3,18.23,22.34,4.11
Waterfall,NW,11.3625,6.625,2.245454545,4.7375,9.117045455,4.379545455
Waterfall,South,13.175,10.45,1.063636364,2.725,12.11136364,9.386363636
