Pond,Treatment,AFDMtreatment
East,Cage,22.044
East,Cage,15.1305
East,Cage,17.6385
Golf,Cage,10.868
Golf,Cage,18.194
Golf,Cage,16.478
Ice,Cage,11.488125
Ice,Cage,5.02734375
Ice,Cage,34.175625
NoOil,Cage,5.8025
NoOil,Cage,17.655
NoOil,Cage,10.46375
Oil,Cage,7.690833333
Oil,Cage,13.715625
Oil,Cage,9.223958333
V.small,Cage,25.68342857
V.small,Cage,23.232
V.small,Cage,45.276
Vulgaris,Cage,31.865625
Vulgaris,Cage,56.55375
Vulgaris,Cage,48.38625
Waterfall,Cage,11.3625
Waterfall,Cage,23.64
Waterfall,Cage,13.175
East,No cage,7.6209375
East,No cage,7.161
East,No cage,13.9755
Golf,No cage,4.08375
Golf,No cage,4.928
Golf,No cage,24.508
Ice,No cage,
Ice,No cage,7.70859375
Ice,No cage,11.34375
NoOil,No cage,8.371
NoOil,No cage,6.20125
NoOil,No cage,6.47625
Oil,No cage,5.243333333
Oil,No cage,2.695
Oil,No cage,3.6025
V.small,No cage,10.24178571
V.small,No cage,9.805714286
V.small,No cage,20.15828571
Vulgaris,No cage,16.066875
Vulgaris,No cage,26.07
Vulgaris,No cage,48.076875
Waterfall,No cage,5.41
Waterfall,No cage,10.45
Waterfall,No cage,6.625
East,Pre,11.088
East,Pre,11.55266667
East,Pre,8.675333333
Golf,Pre,11.69071429
Golf,Pre,5.794285714
Golf,Pre,2.73
Ice,Pre,3.362666667
Ice,Pre,
Ice,Pre,7.002666667
NoOil,Pre,18.135
NoOil,Pre,
NoOil,Pre,3.715833333
Oil,Pre,8.016666667
Oil,Pre,8.939506173
Oil,Pre,6.355555556
Oil,Pre,7.06875
V.small,Pre,4.316
V.small,Pre,5.087333333
V.small,Pre,4.255333333
Vulgaris,Pre,9.836666667
Vulgaris,Pre,11.659375
Vulgaris,Pre,10.22666667
Waterfall,Pre,1.3
Waterfall,Pre,2.245454545
Waterfall,Pre,1.063636364
