Pond,Instar,Depth,FPOM,DOC,NH4,N03N02,TotalP,Conduc,DO,pH,ORP,Thermalsum1,Perim,Coursearea,Mozdensity,Colymdensity,Biofilmnocage,Biofilmcage
East,1st,16.33333333,2.95,25.96666667,0.060085469,0.044314778,0.011193519,153.5,63.06666667,6.526666667,-262.4333333,26.218625,150,683.52,5.4375,0,,
East,2nd3rd,14.33333333,1.077222222,30.53333333,0.063322802,0.040601243,0.005003397,119.6666667,86.06666667,6.263333333,-245.6333333,550.7839167,,,21.89473684,0,9.46,
East,Pupae,13,1.598916667,32.73333333,0.055659936,0.048778445,0.004765076,166.6666667,71.9,6.123333333,-255.2666667,3060.91825,,,7.05,0.4,11.61916667,22.14666667
Golf,1st,14.16666667,1.476416667,6.7,0.019537114,0.056628972,0.003863388,51.66666667,73.5,6.62,-259.9,,151.5,603,7,0,,
Golf,2nd3rd,8.333333333,1.761666667,20.5,0.022600867,0.016113447,0.006526116,279,81.73333333,6.443333333,-241.4333333,2097.982417,,,10.64705882,0,7.256666667,
Golf,Pupae,12.16666667,2.893333333,24.63333333,0.036121889,0.009836992,0.004990935,336.3333333,77.4,6.983333333,-268,4418.460958,,,47.46153846,0.230769231,10.1575,13.8
Ice,1st,10.8,1.98,14.1,0.021680181,0.014144814,0.006769739,70.33333333,60.36666667,6.403333333,-253.9333333,66.73466667,145.6,1734.065,20.47058824,0,,
Ice,2nd3rd,17,1.182222222,20.86666667,0.026587795,0.025465955,0.006988995,88.33333333,87.33333333,6.366666667,-262.4333333,1681.693708,,,8.368421053,0,5.98,
Ice,Pupae,,1.516666667,23.7,0.02650835,0.016182879,0.00624051,107.6666667,85.43333333,6.633333333,-258.5666667,3556.471375,,,11.05555556,0.5,9.2375,16.385
NoOil,1st,26.66666667,2.65,45.93333333,0.061888437,0.053436488,0.015546659,478.6666667,70.6,6.496666667,-251.9333333,100.5305417,58.4,203.95,22.2,0,,
NoOil,2nd3rd,13,3.738518519,23.36666667,0.051684499,0.026237007,0.090200868,808.3333333,58.23333333,6.426666667,-240.9666667,2008.943958,,,64.5,0,10.085,
NoOil,Pupae,9.5,3.325777778,33.63333333,0.056029044,0.013440725,0.013968005,1113,69.33333333,6.526666667,-256.7333333,3655.601167,,,85.5,0.6,6.378333333,10.27916667
Oil,1st,10,3.215333333,20.16666667,0.034825256,0.031611287,0.011961464,661,77.9,,-224.4666667,44.84445833,132.5,547.6,,,,
Oil,2nd3rd,22.66666667,2.958666667,19.5,0.029449603,0.08120101,0.007416026,664.3333333,96.7,,-226.9666667,295.7297917,,,32.72222222,0,6.82962963,
Oil,Pupae,10,2.955060606,27.96666667,0.028872452,0.058715056,0.010099545,1408.666667,104.4666667,6.493333333,,3412.167292,,,11,0,4.196666667,11.13833333
Vulgaris,1st,25.66666667,2.449851852,22.93333333,0.02889146,0.019489033,0.102570507,45.66666667,82.96666667,6.473333333,-251.1333333,85.08695833,298.5,1950,17.76470588,0,,
Vulgaris,2nd3rd,21.16666667,2.287638889,33.4,0.03604286,0.011675721,0.013313279,96,79.33333333,6.123333333,-232.3666667,1785.458708,,,54.58823529,0,9.760833333,
Vulgaris,Pupae,15,1.703333333,63.06666667,0.049870468,0.030182948,0.044091503,178,83.6,6.916666667,-240.3666667,4937.554,,,34.20833333,0.666666667,29.16,44.22
Vulgaris small,1st,22.5,3.213,21.4,0.033277258,0.012323814,0.029576766,80.66666667,56.73333333,6.516666667,-253.5666667,80.16766667,238.2,3440,16.26666667,0,,
Vulgaris small,2nd3rd,13.83333333,1.475,33.03333333,0.030708663,0.035620019,0.004826581,231,93.96666667,6.396666667,-275.1666667,1056.916333,,,43.39285714,0,5.253333333,
Vulgaris small,Pupae,13.8,3.878,40.36666667,0.031816057,0.013115924,0.009897723,330,88.4,7.153333333,-251,3423.79825,,,10.67857143,0.785714286,14.21416667,33.3
Waterfall,1st,13.66666667,2.917638889,28.8,0.041257995,0.00770231,0.008025121,106.6666667,79.7,6.486666667,-257.4666667,,206.1,1384.12,1.766666667,0,,
Waterfall,2nd3rd,22.33333333,0.966478632,38.06666667,0.038769115,0.049038558,0.003864787,211,80.23333333,6.23,-226.9666667,1260.130833,,,71.30769231,0,3.9,
Waterfall,Pupae,17.33333333,0.946166667,49.2,0.040744473,0.025610017,0.004009311,272.6666667,79.93333333,6.97,-256.0333333,4468.284208,,,28.72727273,0.727272727,7.495,16.05916667
