,Pond2,Type,Autotrophic,Heterotrophic
1,East,"Algae, cyanobacteria, diatoms",283.7268986,80.23769653
3,Golf1,"Algae, cyanobacteria, diatoms",226.1432174,90.97215244
5,Golf2,"Algae, cyanobacteria, diatoms",310.9042926,110.0742332
7,Golf3,"Algae, cyanobacteria, diatoms",457.9998801,134.1546035
9,Ice,"Algae, cyanobacteria, diatoms",301.823015,162.7672135
11,NoOil,"Algae, cyanobacteria, diatoms",641.2341224,304.762503
13,Oil,"Algae, cyanobacteria, diatoms",765.1463523,229.8483572
15,Vulgaris small,"Algae, cyanobacteria, diatoms",881.1199317,441.1061981
17,Vulgaris1,"Algae, cyanobacteria, diatoms",1221.377128,684.2174489
19,Vulgaris2,"Algae, cyanobacteria, diatoms",611.8655596,608.6109055
21,Vulgaris3,"Algae, cyanobacteria, diatoms",1171.586577,410.894952
23,Waterfall,"Algae, cyanobacteria, diatoms",728.2973758,276.7299333
