"","Pond2","Type2","totalamount","percent"
"1","East","Algae, cyanobacteria, diatoms",205.294149157,38.8584188237627
"2","East","Bacteria",158.670445949,30.0334065483971
"3","Golf1","Algae, cyanobacteria, diatoms",151.373323911,36.652830095162
"4","Golf1","Bacteria",165.74204594,40.1320053791982
"5","Golf2","Algae, cyanobacteria, diatoms",193.119420696,35.022178740943
"6","Golf2","Bacteria",227.859105078,41.3222154303941
"7","Golf3","Algae, cyanobacteria, diatoms",299.007860407,39.3381350021669
"8","Golf3","Bacteria",293.146623219,38.567017682818
"9","Ice","Algae, cyanobacteria, diatoms",259.438331757,37.927902495168
"10","Ice","Bacteria",205.151896743,29.9916403396213
"11","NoOil","Algae, cyanobacteria, diatoms",517.81508406,41.8624568717892
"12","NoOil","Bacteria",428.18154132,34.6160856618224
"13","Oil","Algae, cyanobacteria, diatoms",526.61663997,37.4095982818373
"14","Oil","Bacteria",468.37806946,33.2724682294871
"15","Vulgaris small","Algae, cyanobacteria, diatoms",483.540370565,33.0071283693837
"16","Vulgaris small","Bacteria",838.685759244,57.2498393145428
"17","Vulgaris1","Algae, cyanobacteria, diatoms",1221.377128174,55.5048859792477
"18","Vulgaris1","Bacteria",684.217448875,31.0939271816856
"19","Vulgaris2","Algae, cyanobacteria, diatoms",611.865559609,45.2989132049474
"20","Vulgaris2","Bacteria",608.610905537,45.0579578349249
"21","Vulgaris3","Algae, cyanobacteria, diatoms",812.420811382,40.3254668135323
"22","Vulgaris3","Bacteria",770.0607179,38.2228735269069
"23","Waterfall","Algae, cyanobacteria, diatoms",464.553636432,34.5481399024374
"24","Waterfall","Bacteria",540.473672664,40.1941963046354
