Pond,Pond2,Autotrophic,Heterotrophic
East,East,283.7268986,80.23769653
Golf,Golf1,226.1432174,90.97215244
Golf,Golf2,310.9042926,110.0742332
Golf,Golf3,457.9998801,134.1546035
Ice,Ice,301.823015,162.7672135
NoOil,NoOil,641.2341224,304.762503
Oil,Oil,765.1463523,229.8483572
Vulgaris small,Vulgaris small,881.1199317,441.1061981
Vulgaris,Vulgaris1,1221.377128,684.2174489
Vulgaris,Vulgaris2,611.8655596,608.6109055
Vulgaris,Vulgaris3,1171.586577,410.894952
Waterfall,Waterfall,728.2973758,276.7299333
