Pond,Pond2,18w9,Autotrophic,Heterotrophic,,
East,East,heterotrophic,205.2941492,158.6704459,,
Golf,Golf1,heterotrophic,151.3733239,165.7420459,,
Golf,Golf2,heterotrophic,193.1194207,227.8591051,,
Golf,Golf3,heterotrophic,299.0078604,293.1466232,,
Ice,Ice,heterotrophic,259.4383318,205.1518967,,  
NoOil,NoOil,heterotrophic,641.2341224,304.762503,,
Oil,Oil,heterotrophic,526.61664,468.3780695,,
Vulgaris small,Vulgaris small,heterotrophic,483.5403706,838.6857592,,
Vulgaris,Vulgaris1,heterotrophic,1221.377128,684.2174489,,
Vulgaris,Vulgaris2,heterotrophic,611.8655596,608.6109055,,
Vulgaris,Vulgaris3,heterotrophic,812.4208114,770.0607179,,
Waterfall,Waterfall,heterotrophic,464.5536364,540.4736727,,
