Pond,Pond2,Biomarker18:1w9c,Autotrophic,Heterotrophic,,
East,East,heterotrophic,205.2941492,158.6704459,,
Golf,Golf1,heterotrophic,151.3733239,165.7420459,,
Golf,Golf2,heterotrophic,193.1194207,227.8591051,,
Golf,Golf3,heterotrophic,299.0078604,293.1466232,,
Ice,Ice,heterotrophic,259.4383318,205.1518967,,  
NoOil,NoOil,heterotrophic,641.2341224,304.762503,,
Oil,Oil,heterotrophic,526.61664,468.3780695,,
Vulgaris small,Vulgaris small,heterotrophic,483.5403706,838.6857592,,
Vulgaris,Vulgaris1,heterotrophic,1221.377128,684.2174489,,
Vulgaris,Vulgaris2,heterotrophic,611.8655596,608.6109055,,
Vulgaris,Vulgaris3,heterotrophic,812.4208114,770.0607179,,
Waterfall,Waterfall,heterotrophic,464.5536364,540.4736727,,
East,East,autotrophic,283.7268986,80.23769653,,
Golf,Golf1,autotrophic,226.1432174,90.97215244,,
Golf,Golf2,autotrophic,310.9042926,110.0742332,,
Golf,Golf3,autotrophic,457.9998801,134.1546035,,
Ice,Ice,autotrophic,301.823015,162.7672135,,
NoOil,NoOil,autotrophic,641.2341224,304.762503,,
Oil,Oil,autotrophic,765.1463523,229.8483572,,
Vulgaris small,Vulgaris small,autotrophic,881.1199317,441.1061981,,
Vulgaris,Vulgaris1,autotrophic,1221.377128,684.2174489,,
Vulgaris,Vulgaris2,autotrophic,611.8655596,608.6109055,,
Vulgaris,Vulgaris3,autotrophic,1171.586577,410.894952,,
Waterfall,Waterfall,autotrophic,728.2973758,276.7299333,,
