ID,Batch,Pond,Sample volume,Sample volume2,Total microbial Biomass,Adjusted biomass
1,2,Oil,0.009,9,1407.704611,156.4116234
2,2,NoOil,0.01,10,1236.943846,123.6943846
3,2,Waterfall,0.076,76,1344.656001,17.69284212
4,2,Golf,0.044,44,412.9921851,9.386186025
5,2,Golf,0.03,30,551.4203503,18.38067834
6,2,Vulgaris,0.019,19,2200.485789,115.8150415
7,2,Vulgaris,0.031,31,1350.729005,43.57190338
8,2,Vulgaris small,0.064,64,1464.957403,22.88995943
9,2,Ice,0.131,131,684.0302645,5.221605073
10,1,East,0.117,117,528.3131825,4.515497286
11,1,Golf,0.125,125,760.0966858,6.080773486
12,1,Vulgaris,0.174,174,2014.659409,11.57850235
