Pond,Sampling.Station,PreAFDM,NocageAFDM,CageAFDM,DaysPre,DaysTreatment,DaysTotal
East,N,27.80555556,47.05555556,59.38888889,15,25,40
East,NW,14,24.11111111,50.94444444,15,25,40
East,SW,37.02777778,25.65972222,74.22222222,15,25,40
NoOil,NE,9.527777778,15.65972222,14.65277778,12,18,30
NoOil,NW,46.5,21.13888889,26.42361111,12,18,30
NoOil,SW,,16.35416667,44.58333333,12,18,30
Oil,East,12.08333333,10.91666667,23.30555556,9,27,36
Oil,Center,16.30401235,15.88888889,27.95138889,9,27,36
Oil,West,12.22222222,8.166666667,41.5625,9,27,36
Golf,NE,8.166666667,61.88888889,45.94444444,14,16,30
Golf,NW,34.97222222,10.3125,27.44444444,14,16,30
Golf,SW,17.33333333,12.44444444,41.61111111,14,16,30
Vulgaris,NE,29.89583333,43.27777778,130.3333333,12,20,32
Vulgaris,SE,13.11111111,70.22222222,152.3333333,12,20,32
Vulgaris,West,25.22222222,129.5,85.83333333,12,20,32
Vulgaris small,East,16.30555556,59.38888889,68.44444444,15,20,35
Vulgaris small,NE,13.83333333,30.17361111,133.3888889,15,20,35
Vulgaris small,SW,13.63888889,28.88888889,75.66666667,15,20,35
Waterfall,NE,9.166666667,15.02777778,65.66666667,12,21,33
Waterfall,NW,15.83333333,18.40277778,31.5625,12,21,33
Waterfall,SE,7.5,29.02777778,36.59722222,12,21,33
Ice,East,,30.55555556,30.94444444,15,17,32
Ice,N,10.77777778,20.76388889,13.54166667,15,17,32
Ice,S,22.44444444,,92.05555556,15,17,32
