Date,Pond,Instar, Sampling station,FPOM_adjust,FPOM_liter,DOC,NH4,N03N02,TotalP,logTotalP,Conduc,logConduc,DoPerc,DomgL,pH,ORP,Depth
5/18/2018,East,1st,SW,1.36,3.885714286,19.4,53.979129,40.275416,16.538455,2.805688275,150,5.010635294,65.9,9.26,6.47,-254.4,11.5
5/18/2018,East,1st,NW,2.66,7.6,30.2,69.347648,48.777673,9.719788,2.274163808,157,5.056245805,75.5,10.71,6.54,-257.8,14.5
5/18/2018,East,1st,N,4.83,13.8,28.3,56.929631,43.891244,7.322315,1.990926535,,,47.8,6.44,6.57,-275.1,23
6/1/2018,East,2nd3rd,N,0.875,2.5,31.1,63.44575,41.936729,5.111931,1.631577219,106,4.663439094,86,10.72,6.27,-248.4,18.5
6/1/2018,East,2nd3rd,NW,0.945,2.7,29.5,64.060508,34.705303,5.400978,1.686580048,134,4.8978398,89.2,10.7,6.25,-254.4,9.5
6/1/2018,East,2nd3rd,SW,1.411666667,4.033333334,31,62.462147,45.161696,4.497283,1.503473437,119,4.779123493,83,9.62,6.27,-234.1,15
6/17/2018,East,Pupae,N,1.008,2.88,31.8,68.732844,55.42354,4.181884,1.430761863,145,4.976733742,82.5,8.55,6.12,-250,13
6/17/2018,East,Pupae,SW,1.0325,2.95,32.5,53.364456,29.917169,5.375474,1.681846756,190,5.247024072,59.6,5.94,6.14,-267.8,12
6/17/2018,East,Pupae,NW,2.75625,7.875,33.9,44.882507,60.994627,4.737871,1.555587879,165,5.105945474,73.6,7.34,6.11,-248,14
5/19/2018,Golf,1st,NE,1.1375,3.25,6.2,11.726426,54.250713,4.60525,1.527196957,22,3.091042453,78.6,10.38,6.63,-252.2,14.5
5/19/2018,Golf,1st,NW,1.428,4.08,5.7,19.921859,56.88959,1.226877,0.204471916,39,3.663561646,68.4,9.04,6.7,-254.3,14.5
5/19/2018,Golf,1st,SW,1.86375,5.325,8.2,26.963058,58.746613,5.758038,1.750596792,94,4.543294782,73.5,9.68,6.53,-273.2,13.5
6/2/2018,Golf,2nd3rd,SW,1.633333333,4.666666666,21.5,25.848957,14.41428,1.762444,0.566701482,300,5.703782475,77,7.57,6.52,-243,8
