Pond,Measurement,Date,Perimeter,Area
East,Beginning,5/18/2018,138.7,759.2
East,End,7/7/2018,127.25,711.96
NoOil,Beginning,5/15/2018,58.4,198.57
NoOil,End,6/14/2018,46,129.97
Oil,Beginning,5/13/2018,136,572.3
Oil,End,6/14/2018,125,424.99
Golf,Beginning,5/19/2018,151.5,613.5
Golf,End,6/18/2018,101.4,232.56
Waterfall,Beginning,5/16/2018,206.1,1769.31
Waterfall,End,6/16/2018,82.4,461.48
Vulgaris,Beginning,5/17/2018,298.5,1758.35
Vulgaris,End,6/21/2018,264.8,1031.05
Vulgaris.small,Beginning,5/20/2018,238.2,3181.26
Vulgaris.small,End,7/7/2018,226.3,2901.84
Ice,Beginning,5/20/2018,145.6,1422
Ice,End,6/21/2018,127.5,1063.29
