"","Pond","Sampling.Station","PreAFDM","NocageAFDM","CageAFDM","DaysPre","DaysTreatment","DaysTotal","Prod.ug.cm.day","Prod.mg.dm.day","Prod.ug.dm.day","GP.ug.C.day","GP.mg.dm.day","GP.ug.dm.day"
"1","East","N",27.80555556,47.05555556,59.38888889,15,25,40,1.2633333332,0.12633333332,126.33333332,0.4933333332,0.04933333332,49.33333332
"2","East","NW",14,24.11111111,50.94444444,15,25,40,1.4777777776,0.14777777776,147.77777776,1.0733333332,0.10733333332,107.33333332
"3","East","SW",37.02777778,25.65972222,74.22222222,15,25,40,1.4877777776,0.14877777776,148.77777776,1.9425,0.19425,194.25
"4","NoOil","NE",9.527777778,15.65972222,14.65277778,12,18,30,0.284722222333333,0.0284722222333333,28.4722222333333,-0.0559413577777779,-0.00559413577777779,-5.59413577777779
"5","NoOil","NW",46.5,21.13888889,26.42361111,12,18,30,-1.11535493833333,-0.111535493833333,-111.535493833333,0.293595678888889,0.0293595678888889,29.3595678888889
"6","NoOil","SW",NA,16.35416667,44.58333333,12,18,30,NA,NA,NA,1.56828703666667,0.156828703666667,156.828703666667
"7","Oil","East",12.08333333,10.91666667,23.30555556,9,27,36,0.41563786037037,0.041563786037037,41.563786037037,0.458847736666667,0.0458847736666667,45.8847736666667
"8","Oil","Center",16.30401235,15.88888889,27.95138889,9,27,36,0.431384316296296,0.0431384316296296,43.1384316296296,0.446759259259259,0.0446759259259259,44.6759259259259
"9","Oil","West",12.22222222,8.166666667,41.5625,9,27,36,1.08667695481481,0.108667695481481,108.667695481481,1.23688271603704,0.123688271603704,123.688271603704
"10","Golf","NE",8.166666667,61.88888889,45.94444444,14,16,30,2.3611111108125,0.23611111108125,236.11111108125,-0.996527778125,-0.0996527778125,-99.6527778125
"11","Golf","NW",34.97222222,10.3125,27.44444444,14,16,30,-0.47048611125,-0.047048611125,-47.048611125,1.0707465275,0.10707465275,107.07465275
"12","Golf","SW",17.33333333,12.44444444,41.61111111,14,16,30,1.51736111125,0.151736111125,151.736111125,1.822916666875,0.1822916666875,182.2916666875
"13","Vulgaris","NE",29.89583333,43.27777778,130.3333333,12,20,32,5.0218749985,0.50218749985,502.18749985,4.352777776,0.4352777776,435.2777776
"14","Vulgaris","SE",13.11111111,70.22222222,152.3333333,12,20,32,6.9611111095,0.69611111095,696.11111095,4.105555554,0.4105555554,410.5555554
"15","Vulgaris","West",25.22222222,129.5,85.83333333,12,20,32,3.0305555555,0.30305555555,303.05555555,-2.1833333335,-0.21833333335,-218.33333335
"16","Vulgaris small","East",16.30555556,59.38888889,68.44444444,15,20,35,2.606944444,0.2606944444,260.6944444,0.4527777775,0.04527777775,45.27777775
"17","Vulgaris small","NE",13.83333333,30.17361111,133.3888889,15,20,35,5.9777777785,0.59777777785,597.77777785,5.1607638895,0.51607638895,516.07638895
"18","Vulgaris small","SW",13.63888889,28.88888889,75.66666667,15,20,35,3.101388889,0.3101388889,310.1388889,2.338888889,0.2338888889,233.8888889
"19","Waterfall","NE",9.166666667,15.02777778,65.66666667,12,21,33,2.69047619061905,0.269047619061905,269.047619061905,2.41137566142857,0.241137566142857,241.137566142857
"20","Waterfall","NW",15.83333333,18.40277778,31.5625,12,21,33,0.749007936666667,0.0749007936666667,74.9007936666667,0.626653439047619,0.0626653439047619,62.6653439047619
"21","Waterfall","SE",7.5,29.02777778,36.59722222,12,21,33,1.38558201047619,0.138558201047619,138.558201047619,0.360449735238095,0.0360449735238095,36.0449735238095
"22","Ice","East",NA,30.55555556,30.94444444,15,17,32,NA,NA,NA,0.0228758164705884,0.00228758164705884,2.28758164705884
"23","Ice","N",10.77777778,20.76388889,13.54166667,15,17,32,0.162581699411765,0.0162581699411765,16.2581699411765,-0.424836601176471,-0.0424836601176471,-42.4836601176471
"24","Ice","S",22.44444444,NA,92.05555556,15,17,32,4.09477124235294,0.409477124235294,409.477124235294,NA,NA,NA
