"","Pond","Date","Perimeter","Area","meanDepth","sdDepth","AvgTemp","TS0","meanFPOM_liter","sdFPOM_liter","meanDOC","sdDOC","meanNH4","sdNH4","meanN03N02","sdN03N02","meanTotalP","sdTotalP","meanpH","sdpH","meanConduc","sdConduc","meanDoPerc","sdDoPerc"
"1","East",2018-05-18,138.7,759.2,16.3333333333333,5.96517672272443,1.38585714285714,0.404208333333333,8.42857142866667,5.008808567315,25.9666666666667,5.76570319504337,60.0854693333333,8.15581576256737,44.3147776666667,4.26692267314658,11.1935193333333,4.78155018346941,6.52666666666667,0.0513160143944691,153.5,4.94974746830583,63.0666666666667,14.0656792702426
"2","East",2018-06-01,NA,NA,14.3333333333333,4.53688586293873,2.60870158730159,38.148875,3.077777778,0.833555526315945,30.5333333333333,0.896288643983251,63.3228016666667,0.806242327766491,40.6012426666667,5.35459442465088,5.00339733333333,0.461520130499563,6.26333333333333,0.0115470053837923,119.666666666667,14.0118997046558,86.0666666666667,3.1005375877956
"3","East",2018-06-17,NA,NA,13,1,7.49449509803922,161.634333333333,4.56833333333333,2.863871214516,32.7333333333333,1.06926766215636,55.6599356666667,12.0897296879811,48.7784453333333,16.5701557410352,4.76507633333333,0.597259884511201,6.12333333333333,0.0152752523165191,166.666666666667,22.5462487641145,71.9,11.5442626442749
"4","East",2018-07-07,127.25,711.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Golf",2018-05-19,151.5,613.5,14.1666666666667,0.577350269189626,10.5728571428571,NA,4.21833333333333,1.04439376354579,6.7,1.32287565553229,19.5371143333333,7.6255989941612,56.628972,2.25925220126993,3.86338833333333,2.35491487135572,6.62,0.0854400374531753,51.6666666666667,37.6342043005207,73.5,5.09999999999999
"6","Golf",2018-06-02,NA,NA,8.33333333333333,1.52752523165195,9.36340476190476,104.87175,5.03333333333333,0.366666667,20.5,1.17898261225516,22.6008673333333,2.86087993981508,16.113447,1.61945201812805,6.526116,5.72856665276647,6.44333333333333,0.0929157324317756,279,27.4043792120894,81.7333333333333,6.38853139096407
"7","Golf",2018-06-11,NA,NA,12.1666666666667,5.00832640043891,12.00435,212.655166666667,8.26666666666667,1.38604152516759,24.6333333333333,2.01080415091409,36.1218893333333,6.22290213212696,9.83699166666667,2.88481278684845,4.990935,1.4619300659563,6.98333333333333,0.0152752523165195,336.333333333333,24.7857485933617,77.4,2.53574446662119
"8","Golf",2018-06-18,101.4,232.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Ice",2018-05-20,145.6,1422,24.1666666666667,2.3094010767585,1.641,6.00345833333333,5.65714285733333,0.0285714284999998,14.1,1.35277492584687,21.680181,2.08599300873709,14.1448136666667,12.7884722579677,6.76973866666667,1.12145864594569,6.40333333333333,0.366378674779706,70.3333333333333,2.08166599946613,60.3666666666667,4.28991064398005
"10","Ice",2018-06-04,NA,NA,17,10.4403065089106,5.4134765625,91.2813333333333,3.377777778,0.107151674983884,20.8666666666667,5.40030863315546,26.587795,4.54549847251135,25.4659553333333,1.85948476231464,6.988995,0.24467126836431,6.36666666666667,0.0757187779440036,88.3333333333333,2.08166599946613,87.3333333333333,4.61880215351701
"11","Ice",2018-06-12,NA,NA,NA,NA,10.6961435185185,180.684708333333,4.33333333333333,1.3908430703314,23.7,0.3605551275464,26.5083503333333,12.5798111963834,16.1828793333333,8.96058867868804,6.24051,0.903093348080363,6.63333333333333,0.00577350269189613,107.666666666667,2.08166599946613,85.4333333333333,3.96274315762873
"12","Ice",2018-06-21,127.5,1063.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","NoOil",2018-05-15,58.4,198.57,26.6666666666667,5.77350269189626,7.937375,2.64579166666667,7.57142857133333,1.39649707523459,23.3666666666667,1.02143689640297,51.684499,5.13715252881915,26.237007,11.6333935837919,90.200868,34.7285060719707,6.49666666666667,0.0808290376865474,478.666666666667,73.3848304033833,70.6,8.16823114266485
"14","NoOil",2018-05-27,NA,NA,13,1,8.18225,101.127625,10.6814814833333,8.45733908604702,33.6333333333333,1.27410099024109,56.0290436666667,14.4782575661936,13.4407246666667,14.8787269013152,13.968005,4.45539785992497,6.42666666666667,0.094516312525052,808.333333333333,34.8185774168522,58.2333333333333,4.7056703383613
"15","NoOil",2018-06-04,NA,NA,9.5,2.17944947177034,9.47448611111111,175.877291666667,9.502222222,2.71563647853903,45.9333333333333,8.8928810479694,61.888437,3.37236354222865,53.4364883333333,9.08772813197811,15.546659,6.47368395097235,6.52666666666667,0.352325606979302,1113,102.67911179982,69.3333333333333,16.2583311976763
"16","NoOil",2018-06-14,46,129.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Oil",2018-05-09,NA,NA,10,3,4.49811111111111,4.048875,9.18666666666667,1.02006535738321,20.1666666666667,0.416333199893227,34.825256,14.4635400893728,31.6112866666667,11.5914810763859,11.9614636666667,2.01657998167202,NA,NA,661,237.829771054845,77.9,11.0693269894786
"18","Oil",2018-05-13,136,572.3,22.6666666666667,4.04145188432738,3.36296666666667,18.501625,8.45333333333333,0.461880215351701,19.5,0.854400374531753,29.449603,3.18706200579201,81.2010103333333,41.8485158431491,7.41602566666667,7.53137785974879,NA,NA,664.333333333333,74.5743476896267,96.7,2.05182845286832
"19","Oil",2018-06-05,NA,NA,10,3.60555127546399,6.68502604166667,175.655208333333,8.443030303,1.20073852392968,27.9666666666667,1.79536440126603,28.872452,10.3208942633477,58.7150556666667,19.0662651507267,10.099545,1.72245619801027,6.49333333333333,0.0378593889720015,1408.66666666667,154.513214105892,104.466666666667,4.21584313433664
"20","Oil",2018-06-14,125,424.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Vulgaris",2018-05-17,298.5,1758.35,25.6666666666667,2.88675134594813,6.452,2.4195,9.18,0.294618397253125,22.9333333333333,1.34288247189891,28.8914603333333,0.0684379462092004,19.4890333333333,13.3930328702415,102.570506666667,44.9187839498953,6.47333333333333,0.037859388972002,45.6666666666667,6.80685928555405,82.9666666666667,0.929157324317753
"22","Vulgaris",2018-05-29,NA,NA,21.1666666666667,3.3291640592397,7.27680128205128,90.5659166666667,4.21428571433333,0.587415261427209,33.4,1.21243556529821,36.0428596666667,6.47381367703059,11.675721,9.40259809069791,13.3132786666667,1.19880864048326,6.12333333333333,0.00577350269189613,96,6,79.3333333333333,5.20032050294339
"23","Vulgaris",2018-06-13,NA,NA,15,2.64575131106459,9.8402109375,239.930875,11.08,7.4284857137912,63.0666666666667,7.32211262774162,49.8704683333333,6.13106645361281,30.182948,13.6316673221645,44.0915026666667,20.7715563785904,6.91666666666667,0.497225636239056,178,51.7397332811061,83.6,14.146024176425
"24","Vulgaris",2018-06-21,264.8,1031.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
