"","Perim_avg","Area_avg","Area_loss","meanDepth","meantemp","meanFPOM_liter","meanDOC","meanNH4","meanN03N02","meanlogTotalP","meanpH","meanlogConduc","meanDoPerc"
"Perim_avg",1,0.72,0.34,0.45,-0.02,-0.06,0.37,-0.32,-0.41,0.35,0.26,-0.58,0.42
"Area_avg",0.72,1,0.18,0.39,-0.19,-0.3,0.25,-0.32,-0.52,0.11,0.43,-0.43,0.18
"Area_loss",0.34,0.18,1,0.4,0.47,-0.38,0.48,-0.22,-0.41,-0.09,0.29,-0.38,0.2
"meanDepth",0.45,0.39,0.4,1,-0.06,-0.09,0.48,-0.07,-0.57,0.51,-0.19,-0.44,-0.03
"meantemp",-0.02,-0.19,0.47,-0.06,1,0.02,0.04,-0.29,-0.54,0.09,0.62,-0.14,-0.23
"meanFPOM_liter",-0.06,-0.3,-0.38,-0.09,0.02,1,0.22,0.25,0.35,0.69,-0.05,0.69,0.08
"meanDOC",0.37,0.25,0.48,0.48,0.04,0.22,1,0.55,-0.22,0.61,-0.12,-0.03,-0.2
"meanNH4",-0.32,-0.32,-0.22,-0.07,-0.29,0.25,0.55,1,0.3,0.34,-0.64,0.26,-0.6
"meanN03N02",-0.41,-0.52,-0.41,-0.57,-0.54,0.35,-0.22,0.3,1,-0.28,-0.45,0.66,0.38
"meanlogTotalP",0.35,0.11,-0.09,0.51,0.09,0.69,0.61,0.34,-0.28,1,-0.11,0.08,-0.25
"meanpH",0.26,0.43,0.29,-0.19,0.62,-0.05,-0.12,-0.64,-0.45,-0.11,1,-0.03,0.18
"meanlogConduc",-0.58,-0.43,-0.38,-0.44,-0.14,0.69,-0.03,0.26,0.66,0.08,-0.03,1,0.08
"meanDoPerc",0.42,0.18,0.2,-0.03,-0.23,0.08,-0.2,-0.6,0.38,-0.25,0.18,0.08,1
