ID,Site,Weatherperiod,DateStart,Timestart,Datetimestart,DateEnd,Timeend,Datetimeend,Days,Hours,Count,Comments,Count4hour,LnCount4
1,Vulgaris,1,6/7/2018,18:40,6/7/2018 18:40,6/7/2018,22:12,6/7/2018 22:12,0.147222222,3.53,0,,0,0
2,Bunny,1,6/7/2018,18:50,6/7/2018 18:50,6/7/2018,22:16,6/7/2018 22:16,0.143055556,3.43,0,,0,0
3,Dispersal,1,6/7/2018,18:05,6/7/2018 18:05,6/7/2018,22:21,6/7/2018 22:21,0.177777778,4.27,0,,0,0
4,Camp,1,6/7/2018,20:50,6/7/2018 20:50,6/7/2018,23:59,6/7/2018 23:59,0.13125,3.15,0,,0,0
5,Waterfall,1,6/7/2018,19:15,6/7/2018 19:15,6/7/2018,22:37,6/7/2018 22:37,0.140277778,3.37,0,,0,0
6,Forest,1,6/7/2018,19:30,6/7/2018 19:30,6/7/2018,22:49,6/7/2018 22:49,0.138194444,3.32,0,,0,0
7,Golf,1,6/7/2018,19:36,6/7/2018 19:36,6/7/2018,22:54,6/7/2018 22:54,0.1375,3.3,0,,0,0
8,KISS,1,6/7/2018,20:15,6/7/2018 20:15,6/7/2018,23:27,6/7/2018 23:27,0.133333333,3.2,0,,0,0
9,Oil,1,6/7/2018,19:45,6/7/2018 19:45,6/7/2018,23:08,6/7/2018 23:08,0.140972222,3.38,0,,0,0
10,Airport,1,6/7/2018,19:50,6/7/2018 19:50,6/7/2018,23:12,6/7/2018 23:12,0.140277778,3.37,0,,0,0
11,East,1,6/7/2018,19:57,6/7/2018 19:57,6/7/2018,23:17,6/7/2018 23:17,0.138888889,3.33,0,,0,0
12,Vulgaris,2,6/9/2018,17:35,6/9/2018 17:35,6/9/2018,20:35,6/9/2018 20:35,0.125,3,0,,0,0
13,Bunny,2,6/9/2018,17:38,6/9/2018 17:38,6/9/2018,20:40,6/9/2018 20:40,0.126388889,3.03,0,,0,0
14,Dispersal,2,6/9/2018,17:43,6/9/2018 17:43,6/9/2018,20:44,6/9/2018 20:44,0.125694444,3.02,0,,0,0
15,Camp,2,6/9/2018,17:56,6/9/2018 17:56,6/9/2018,22:20,6/9/2018 22:20,0.183333333,4.4,0,,0,0
16,Waterfall,2,6/9/2018,18:10,6/9/2018 18:10,6/9/2018,21:04,6/9/2018 21:04,0.120833333,2.9,0,,0,0
17,Forest,2,6/9/2018,18:22,6/9/2018 18:22,6/9/2018,21:16,6/9/2018 21:16,0.120833333,2.9,0,,0,0
18,Golf,2,6/9/2018,18:27,6/9/2018 18:27,6/9/2018,21:22,6/9/2018 21:22,0.121527778,2.92,0,,0,0
19,KISS,2,6/9/2018,18:50,6/9/2018 18:50,6/9/2018,21:46,6/9/2018 21:46,0.122222222,2.93,0,,0,0
20,Oil,2,6/9/2018,18:34,6/9/2018 18:34,6/9/2018,21:29,6/9/2018 21:29,0.121527778,2.92,0,,0,0
21,Airport,2,6/9/2018,18:37,6/9/2018 18:37,6/9/2018,21:33,6/9/2018 21:33,0.122222222,2.93,1,,1.363636364,0.860201265
22,East,2,6/9/2018,18:41,6/9/2018 18:41,6/9/2018,21:38,6/9/2018 21:38,0.122916667,2.95,0,,0,0
23,KISS,3,6/11/2018,17:25,6/11/2018 17:25,6/11/2018,20:49,6/11/2018 20:49,0.141666667,3.4,0,,0,0
24,East,3,6/11/2018,17:34,6/11/2018 17:34,6/11/2018,20:31,6/11/2018 20:31,0.122916667,2.95,5,,6.779661017,2.051512766
25,Airport,3,6/11/2018,17:38,6/11/2018 17:38,6/11/2018,20:36,6/11/2018 20:36,0.123611111,2.97,10,,13.48314607,2.672985633
26,Oil,3,6/11/2018,16:51,6/12/2018 16:51,6/12/2018,19:15,6/12/2018 19:15,0.1,2.4,17,,28.33333333,3.378724526
27,Golf,3,6/11/2018,17:55,6/11/2018 17:55,6/11/2018,20:50,6/11/2018 20:50,0.121527778,2.92,0,,0,0
28,Forest,3,6/11/2018,18:00,6/11/2018 18:00,6/11/2018,21:06,6/11/2018 21:06,0.129166667,3.1,0,,0,0
29,Waterfall,3,6/11/2018,18:14,6/11/2018 18:14,6/11/2018,21:19,6/11/2018 21:19,0.128472222,3.08,0,,0,0
30,Camp,3,6/11/2018,18:30,6/11/2018 18:30,6/11/2018,21:40,6/11/2018 21:40,0.131944444,3.17,0,,0,0
31,Dispersal,3,6/11/2018,18:43,6/11/2018 18:43,6/11/2018,21:59,6/11/2018 21:59,0.136111111,3.27,0,,0,0
32,Bunny,3,6/11/2018,18:47,6/11/2018 18:47,6/11/2018,22:04,6/11/2018 22:04,0.136805556,3.28,0,,0,0
33,Vulgaris,3,6/11/2018,18:50,6/11/2018 18:50,6/11/2018,22:07,6/11/2018 22:07,0.136805556,3.28,0,,0,0
34,Vulgaris,5,6/13/2018,16:50,6/13/2018 16:50,6/13/2018,23:16,6/13/2018 23:16,0.268055556,6.43,5,,3.10880829,1.413133033
35,Bunny,5,6/13/2018,17:00,6/13/2018 17:00,6/13/2018,23:13,6/13/2018 23:13,0.259027778,6.22,4,,2.573726542,1.273608901
36,Dispersal,5,6/13/2018,17:04,6/13/2018 17:04,6/13/2018,23:08,6/13/2018 23:08,0.252777778,6.07,3,,1.978021978,1.091259314
37,Camp,5,6/13/2018,17:17,6/13/2018 17:17,6/13/2018,22:55,6/13/2018 22:55,0.234722222,5.63,0,,0,0
38,Waterfall,5,6/13/2018,17:50,6/13/2018 17:50,6/13/2018,22:27,6/13/2018 22:27,0.192361111,4.62,0,,0,0
39,Forest,5,6/13/2018,18:08,6/13/2018 18:08,6/13/2018,22:24,6/13/2018 22:24,0.177777778,4.27,0,,0,0
40,Golf,5,6/13/2018,18:14,6/13/2018 18:14,6/13/2018,22:20,6/13/2018 22:20,0.170833333,4.1,0,,0,0
41,Oil,5,6/13/2018,18:25,6/13/2018 18:25,6/13/2018,21:31,6/13/2018 21:31,0.129166667,3.1,0,,0,0
42,Airport,5,6/13/2018,18:29,6/13/2018 18:29,6/13/2018,21:35,6/13/2018 21:35,0.129166667,3.1,0,,0,0
43,East,5,6/13/2018,18:34,6/13/2018 18:34,6/13/2018,21:42,6/13/2018 21:42,0.130555556,3.13,0,,0,0
44,KISS,5,6/13/2018,18:45,6/13/2018 18:45,6/13/2018,21:47,6/13/2018 21:47,0.126388889,3.03,0,,0,0
45,Vulgaris,6,6/16/2018,15:38,6/16/2018 15:38,6/16/2018,21:15,6/16/2018 21:15,0.234027778,5.62,20,,14.24332344,2.7241416
46,Bunny,6,6/16/2018,15:43,6/16/2018 15:43,6/16/2018,21:24,6/16/2018 21:24,0.236805556,5.68,33,,23.22580645,3.187418447
47,Dispersal,6,6/16/2018,15:46,6/16/2018 15:46,6/16/2018,21:27,6/16/2018 21:27,0.236805556,5.68,39,,27.44868035,3.348101775
48,Camp,6,6/16/2018,15:57,6/16/2018 15:57,6/16/2018,21:40,6/16/2018 21:40,0.238194444,5.72,138,,96.55976676,4.580465183
49,Waterfall,6,6/16/2018,16:11,6/16/2018 16:11,6/16/2018,21:55,6/16/2018 21:55,0.238888889,5.73,1391,,970.4651163,6.878805361
50,Forest,6,6/16/2018,16:26,6/16/2018 16:26,6/16/2018,22:16,6/16/2018 22:16,0.243055556,5.83,234,,160.4571429,5.084239738
51,Golf,6,6/16/2018,16:32,6/16/2018 16:32,6/16/2018,22:24,6/16/2018 22:24,0.244444444,5.87,154,,105,4.663439094
52,Oil,6,6/16/2018,16:43,6/16/2018 16:43,6/16/2018,22:30,6/16/2018 22:30,0.240972222,5.78,3001,,2075.619597,7.638496657
53,Airport,6,6/16/2018,16:47,6/16/2018 16:47,6/16/2018,22:36,6/16/2018 22:36,0.242361111,5.82,5142,,3536.045845,8.171047151
54,East,6,6/16/2018,16:51,6/16/2018 16:51,6/16/2018,22:42,6/16/2018 22:42,0.24375,5.85,379,,259.1452991,5.561240318
55,KISS,6,6/16/2018,16:40,6/16/2018 16:40,6/16/2018,22:52,6/16/2018 22:52,0.258333333,6.2,1040,,670.9677419,6.510210336
56,East,7,6/17/2018,15:24,6/17/2018 15:24,6/17/2018,20:00,6/17/2018 20:00,0.191666667,4.6,79,,68.69565217,4.244137937
57,Airport,7,6/17/2018,15:28,6/17/2018 15:28,6/17/2018,20:05,6/17/2018 20:05,0.192361111,4.62,137,,118.700361,4.784991628
