ID,Site,Weatherperiod,DateStart,TimeStart,Datetime_Start,DateEnd,TimeEnd,Datetime_End,Totaldays,Totalhours,Count,Count3.5,LogCount3.5,LnCount3.5,WindSpeedAvg,WindSpeedWSonly,WindDirection,TempAvg,Tempmin,Tempmax,Rhavg,BaroAvg,Scatcount,Scatcategory,Scatpair,Habitatamount,Habitatcategory,Habitatpair,BMHabitat,BMHabitat2,BMHabitat3
15,Waterfall,6,6/6/2017,18:11,6/6/2017 18:11,6/6/2017,21:49,6/6/2017 21:49,0.151388889,3.63,95,92,1.963787827,4.521788577,3.986111111,,130,10.75,8.6,11,56,1014,101,High,4,8034,High,1,HighHigh,HighHigh,1
17,KISS,6,6/6/2017,19:45,6/6/2017 19:45,6/6/2017,21:00,6/6/2017 21:00,0.052083333,1.25,67,188,2.274157849,5.236441963,3.347222223,,130,11,11,11,54,1014,100,High,2,8675,Low,3,HighLow,HighLow,2
12,Golf,6,6/6/2017,17:48,6/6/2017 17:48,6/6/2017,21:28,6/6/2017 21:28,0.152777778,3.67,301,287,2.457881897,5.659482216,4.5,,190,10.75,10,11,56,1014,0,Low,3,27609,High,2,LowHigh,LowHigh,3
13,Kforest,6,6/6/2017,17:53,6/6/2017 17:53,6/6/2017,21:34,6/6/2017 21:34,0.153472222,3.68,397,377,2.57634135,5.932245187,4.5,,190,10.75,10,11,56,1014,19,Med,3,2331,Low,2,MedLow,LowLow,4
57,VV1,26,6/18/2017,18:56,6/18/2017 18:56,6/18/2017,22:00,6/18/2017 22:00,0.127777778,3.07,114,130,2.113943352,4.86753445,5.563157895,3.391578947,101.0894737,9.619789474,7.995,11.102,50.28421053,1003,71,High,1,12617.745,High,5,HighHigh,HighHigh,1
59,VV2,26,6/18/2017,18:50,6/18/2017 18:50,6/18/2017,22:00,6/18/2017 22:00,0.131944444,3.17,0,0,0,0,5.6375,3.4485,101.09,9.68415,7.995,11.102,50.01,1003.25,31,Med,1,6971,Low,5,MedLow,HighLow,2
61,Seatomato,26,6/18/2017,18:20,6/18/2017 18:20,6/18/2017,21:30,6/18/2017 21:30,0.131944444,3.17,41,45,1.653212514,3.80666249,4.4545,2.0645,97.225,11.02935,9.632,12.775,47.56,1003.333333,35,Med,4,8857,High,6,MedHigh,LowHigh,3
62,Camp,26,6/18/2017,17:15,6/18/2017 17:15,6/18/2017,22:30,6/18/2017 22:30,0.21875,5.25,143,95,1.977723605,4.553876892,4.136875,1.8253125,94.1125,10.914875,8.717,13.209,48.471875,1003.4,20,Med,5,1495,Low,6,MedLow,LowLow,4
73,Waterfall,31,6/21/2017,18:15,6/21/2017 18:15,6/21/2017,21:33,6/21/2017 21:33,0.1375,3.3,8,8,0.903089987,2.079441542,3.6985,1.6605,52.855,8.1458,7.619,8.643,59.515,1005,101,High,4,8034,High,1,HighHigh,HighHigh,1
72,Waterfall up,31,6/21/2017,18:05,6/21/2017 18:05,6/21/2017,21:29,6/21/2017 21:29,0.141666667,3.4,7,7,0.84509804,1.945910149,3.865454545,1.760909091,54.36818182,8.174045455,7.619,8.643,59.45,1005,74,High,5,402,Low,1,HighLow,HighLow,2
70,Golf,31,6/21/2017,17:50,6/21/2017 17:50,6/21/2017,21:15,6/21/2017 21:15,0.142361111,3.42,6,6,0.77815125,1.791759469,4.375,,72.5,9.25,8,10,55.25,1005,0,Low,3,27609,High,2,LowHigh,LowHigh,3
71,Kforest,31,6/21/2017,17:55,6/21/2017 17:55,6/21/2017,21:20,6/21/2017 21:20,0.142361111,3.42,15,15,1.176091259,2.708050201,4.62962963,,73.33333333,9,8,10,59.33333333,1005,19,Med,3,2331,Low,2,MedLow,LowLow,4
78,VV1,33,6/22/2017,18:20,6/22/2017 18:20,6/22/2017,21:55,6/22/2017 21:55,0.149305556,3.58,410,400,2.602059991,5.991464547,3.545652174,1.772608696,59.38695652,10.68173913,9.213,11.929,48.83478261,1008.5,71,High,1,12617.745,High,5,HighHigh,HighHigh,1
79,Bunny Hill,33,6/22/2017,18:25,6/22/2017 18:25,6/22/2017,22:05,6/22/2017 22:05,0.152777778,3.67,88,84,1.924279286,4.430816799,3.545652174,1.772608696,59.38695652,10.68173913,9.213,11.929,48.83478261,1008.5,113,High,,3580.25,Low,4,HighLow,HighLow,2
75,Seatomato,33,6/22/2017,17:50,6/22/2017 17:50,6/22/2017,21:20,6/22/2017 21:20,0.145833333,3.5,241,241,2.382017043,5.484796933,4.805,2.494090909,59.71818182,13.20504545,11.224,14.864,42.93636364,1008.25,35,Med,4,8857,High,6,MedHigh,LowHigh,3
80,Camp,33,6/22/2017,18:35,6/22/2017 18:35,6/22/2017,22:10,6/22/2017 22:10,0.149305556,3.58,9,9,0.954242509,2.197224577,4.393181818,2.220454545,59.09090909,12.30204545,9.46,14.29,45.60909091,1008.5,20,Med,5,1495,Low,6,MedLow,LowLow,4
90,VV1,37,6/24/2017,18:50,6/24/2017 18:50,6/24/2017,22:22,6/24/2017 22:22,0.147222222,3.53,518,513,2.710117365,6.240275845,2.676818182,1.121818182,68.99545455,12.90277273,10.81,14.266,41.63181818,1014,71,High,1,12617.745,High,5,HighHigh,HighHigh,1
92,Bunny Hill,37,6/24/2017,19:02,6/24/2017 19:02,6/24/2017,22:28,6/24/2017 22:28,0.143055556,3.43,177,180,2.255272505,5.192956851,2.654090909,1.121818182,68.1,12.78604545,10.761,14.266,41.77272727,1014,113,High,,3580.25,Low,4,HighLow,HighLow,2
88,Seatomato,37,6/24/2017,18:25,6/24/2017 18:25,6/24/2017,21:46,6/24/2017 21:46,0.139583333,3.35,24,25,1.397940009,3.218875825,3.867272727,1.807272727,70.01363636,14.97904545,11.929,16.32,39.59545455,1014,35,Med,4,8857,High,6,MedHigh,LowHigh,3
93,Camp,37,6/24/2017,19:20,6/24/2017 19:20,6/24/2017,22:45,6/24/2017 22:45,0.142361111,3.42,195,200,2.301029996,5.298317367,3.5,1.557142857,69.47142857,13.93038095,11.224,16.106,41.83333333,1014,20,Med,5,1495,Low,6,MedLow,LowLow,4
102,Moz valley,41,6/28/2017,17:23,6/28/2017 17:23,6/28/2017,20:38,6/28/2017 20:38,0.135416667,3.25,55,59,1.770852012,4.077537444,4.625714286,2.754761905,32.9,12.09219048,10.247,13.858,51.03809524,1009,81,High,,7469.75,High,4,HighHigh,HighHigh,1
108,Waterfall,41,6/28/2017,18:21,6/28/2017 18:21,6/28/2017,21:30,6/28/2017 21:30,0.13125,3.15,418,464,2.666517981,6.139884552,3.6745,2.0135,25.425,13.06705,12.147,15.605,50.35,1009,101,High,4,8034,High,1,HighHigh,HighHigh,1
105,Bunny Hill,41,6/28/2017,17:42,6/28/2017 17:42,6/28/2017,20:56,6/28/2017 20:56,0.134722222,3.23,149,161,2.206825876,5.081404365,4.577142857,2.803333333,30.4952381,11.75828571,9.903,13.786,51.92380952,1009,113,High,,3580.25,Low,4,HighLow,HighLow,2
113,KISS,41,6/28/2017,19:03,6/28/2017 19:03,6/28/2017,22:13,6/28/2017 22:13,0.131944444,3.17,47,52,1.716003344,3.951243719,5.138888889,,253.3333333,11.66666667,11,12,59.33333333,1009.333333,100,High,2,8675,Low,3,HighLow,HighLow,2
112,Oil,41,6/28/2017,18:57,6/28/2017 18:57,6/28/2017,22:07,6/28/2017 22:07,0.131944444,3.17,771,852,2.930439595,6.747586527,5.138888889,,253.3333333,11.66666667,11,12,59.33333333,1009.333333,10,Low,2,11742.1,High,3,LowHigh,LowHigh,3
107,Seatomato,41,6/28/2017,18:07,6/28/2017 18:07,6/28/2017,21:19,6/28/2017 21:19,0.133333333,3.2,428,468,2.670245853,6.148468296,3.775,2.064,26.195,13.23395,12.219,15.605,49.845,1009,35,Med,4,8857,High,6,MedHigh,LowHigh,3
106,Camp,41,6/28/2017,17:58,6/28/2017 17:58,6/28/2017,21:09,6/28/2017 21:09,0.132638889,3.18,555,610,2.785329835,6.413458957,3.8755,2.1395,26.965,13.4151,12.219,15.939,49.3,1009,20,Med,5,1495,Low,6,MedLow,LowLow,4
110,Kforest,41,6/28/2017,18:43,6/28/2017 18:43,6/28/2017,21:53,6/28/2017 21:53,0.131944444,3.17,264,292,2.465382851,5.676753802,5.270833334,,252.5,11.75,11,12,59,1009.25,19,Med,3,2331,Low,2,MedLow,LowLow,4
125,Moz valley,42,6/29/2017,19:13,6/29/2017 19:13,6/29/2017,22:24,6/29/2017 22:24,0.132638889,3.18,44,48,1.681241237,3.871201011,4.857,2.795,49.975,8.24875,7.015,9.879,64.595,1009,81,High,,7469.75,High,4,HighHigh,HighHigh,1
124,VV1,42,6/29/2017,19:07,6/29/2017 19:07,6/29/2017,22:20,6/29/2017 22:20,0.134027778,3.22,7,8,0.903089987,2.079441542,4.857,2.795,49.975,8.24875,7.015,9.879,64.595,1009,71,High,1,12617.745,High,5,HighHigh,HighHigh,1
114,KISS,42,6/29/2017,17:39,6/29/2017 17:39,6/29/2017,20:47,6/29/2017 20:47,0.130555556,3.13,59,66,1.819543936,4.189654742,5.277777778,,57.5,13.5,12,15,49.5,1009,100,High,2,8675,Low,3,HighLow,HighLow,2
123,VV2,42,6/29/2017,19:02,6/29/2017 19:02,6/29/2017,22:15,6/29/2017 22:15,0.134027778,3.22,0,0,0,0,4.913333333,2.805714286,50.13333333,8.32052381,7.015,9.879,64.3952381,1009,31,Med,1,6971,Low,5,MedLow,HighLow,2
116,Golf,42,6/29/2017,17:53,6/29/2017 17:53,6/29/2017,21:03,6/29/2017 21:03,0.131944444,3.17,11,12,1.079181246,2.48490665,5.277777778,,57.5,13.5,12,15,49.5,1009,0,Low,3,27609,High,2,LowHigh,LowHigh,3
115,Oil,42,6/29/2017,17:43,6/29/2017 17:43,6/29/2017,20:54,6/29/2017 20:54,0.132638889,3.18,98,108,2.033423755,4.682131227,5.277777778,,57.5,13.5,12,15,49.5,1009,10,Low,2,11742.1,High,3,LowHigh,LowHigh,3
121,Camp,42,6/29/2017,18:38,6/29/2017 18:38,6/29/2017,21:50,6/29/2017 21:50,0.133333333,3.2,62,68,1.832508913,4.219507705,5.99,3.649,52.92,11.71035,9.583,13.642,54.31,1009,20,Med,5,1495,Low,6,MedLow,LowLow,4
117,Kforest,42,6/29/2017,17:59,6/29/2017 17:59,6/29/2017,21:09,6/29/2017 21:09,0.131944444,3.17,32,35,1.544068044,3.555348061,5.324074074,,56.66666667,13,12,14,51,1009,19,Med,3,2331,Low,2,MedLow,LowLow,4
129,VV1,44,7/2/2017,17:38,7/2/2017 17:38,7/2/2017,21:06,7/2/2017 21:06,0.144444444,3.47,0,0,0,0,7.504090909,4.576363636,240.9181818,5.556681818,4.636,6.611,47.56363636,1010.75,71,High,1,12617.745,High,5,HighHigh,HighHigh,1
133,Waterfall,44,7/2/2017,18:21,7/2/2017 18:21,7/2/2017,21:48,7/2/2017 21:48,0.14375,3.45,0,0,0,0,7.275,3.865909091,244.1681818,6.203954545,4.766,7.444,42.99545455,1010.75,101,High,4,8034,High,1,HighHigh,HighHigh,1
130,Bunny Hill,44,7/2/2017,17:43,7/2/2017 17:43,7/2/2017,21:12,7/2/2017 21:12,0.145138889,3.48,0,0,0,0,7.504090909,4.576363636,240.9181818,5.556681818,4.636,6.611,47.56363636,1010.75,113,High,,3580.25,Low,4,HighLow,HighLow,2
134,Waterfall up,44,7/2/2017,18:32,7/2/2017 18:32,7/2/2017,22:00,7/2/2017 22:00,0.144444444,3.47,0,0,0,0,7.160909091,3.728636364,244.7409091,6.109909091,4.766,7.444,43.1,1010.75,74,High,5,402,Low,1,HighLow,HighLow,2
136,Golf,44,7/2/2017,18:49,7/2/2017 18:49,7/2/2017,22:17,7/2/2017 22:17,0.144444444,3.47,0,0,0,0,7.847222222,,267.5,6.5,6,7,41.75,1010.75,0,Low,3,27609,High,2,LowHigh,LowHigh,3
132,Seatomato,44,7/2/2017,18:10,7/2/2017 18:10,7/2/2017,21:36,7/2/2017 21:36,0.143055556,3.43,0,0,0,0,7.503636364,4.003181818,243.9136364,6.295863636,4.921,7.444,43.01363636,1011,35,Med,4,8857,High,6,MedHigh,LowHigh,3
131,Camp,44,7/2/2017,18:04,7/2/2017 18:04,7/2/2017,21:26,7/2/2017 21:26,0.140277778,3.37,0,0,0,0,7.618181818,4.071818182,243.7227273,6.403681818,5.05,7.444,42.99090909,1011,20,Med,5,1495,Low,6,MedLow,LowLow,4
135,Kforest,44,7/2/2017,18:43,7/2/2017 18:43,7/2/2017,22:11,7/2/2017 22:11,0.144444444,3.47,0,0,0,0,7.847222222,,267.5,6.5,6,7,41.75,1010.75,19,Med,3,2331,Low,2,MedLow,LowLow,4
150,Moz valley,45,7/3/2017,19:16,7/3/2017 19:16,7/3/2017,22:41,7/3/2017 22:41,0.142361111,3.42,21,22,1.342422681,3.091042453,4.601428571,2.349047619,190.8666667,5.46652381,3.459,8.02,69.15238095,1002,81,High,,7469.75,High,4,HighHigh,HighHigh,1
144,Waterfall,45,7/3/2017,18:33,7/3/2017 18:33,7/3/2017,21:49,7/3/2017 21:49,0.136111111,3.27,2,2,0.301029996,0.693147181,5.896190476,2.469047619,188.7238095,7.849095238,6.204,9.682,55.57619048,1002,101,High,4,8034,High,1,HighHigh,HighHigh,1
148,VV2,45,7/3/2017,19:05,7/3/2017 19:05,7/3/2017,22:28,7/3/2017 22:28,0.140972222,3.38,0,0,0,0,4.735454545,2.425,185.9545455,5.790045455,3.459,8.419,66.06363636,1002,31,Med,1,6971,Low,5,MedLow,HighLow,2
143,Waterfall up,45,7/3/2017,18:23,7/3/2017 18:23,7/3/2017,21:47,7/3/2017 21:47,0.141666667,3.4,0,0,0,0,5.765454545,2.402727273,182.3772727,7.974772727,6.204,10.614,54.70454545,1002,74,High,5,402,Low,1,HighLow,HighLow,2
140,Oil,45,7/3/2017,18:00,7/3/2017 18:00,7/3/2017,21:16,7/3/2017 21:16,0.136111111,3.27,0,0,0,0,6.175925926,,306.6666667,7.666666667,7,8,61.66666667,1002,10,Low,2,11742.1,High,3,LowHigh,LowHigh,3
145,Seatomato,45,7/3/2017,18:43,7/3/2017 18:43,7/3/2017,21:59,7/3/2017 21:59,0.136111111,3.27,0,0,0,0,5.345238095,2.445238095,190.3285714,7.679857143,6.128,9.089,56.83809524,1002,35,Med,4,8857,High,6,MedHigh,LowHigh,3
146,Camp,45,7/3/2017,19:30,7/3/2017 19:30,7/3/2017,23:00,7/3/2017 23:00,0.145833333,3.5,0,0,0,0,3.660909091,1.395454545,182.7681818,6.990727273,5.539,8.02,62.34545455,1002,20,Med,5,1495,Low,6,MedLow,LowLow,4
142,Kforest,45,7/3/2017,18:13,7/3/2017 18:13,7/3/2017,21:32,7/3/2017 21:32,0.138194444,3.32,4,4,0.602059991,1.386294361,6.175925926,,306.6666667,7.666666667,7,8,61.66666667,1002,19,Med,3,2331,Low,2,MedLow,LowLow,4
153,VV1,46,7/5/2017,17:52,7/5/2017 17:52,7/5/2017,21:01,7/5/2017 21:01,0.13125,3.15,0,0,0,0,8.3295,5.41,101.87,6.72645,5.745,7.945,53.455,1005,71,High,1,12617.745,High,5,HighHigh,HighHigh,1
157,Waterfall,46,7/5/2017,18:33,7/5/2017 18:33,7/5/2017,21:41,7/5/2017 21:41,0.130555556,3.13,0,0,0,0,5.6375,2.9185,100.12,8.899,7.066,10.492,48.255,1005,101,High,4,8034,High,1,HighHigh,HighHigh,1
152,VV2,46,7/5/2017,17:48,7/5/2017 17:48,7/5/2017,20:56,7/5/2017 20:56,0.130555556,3.13,0,0,0,0,8.3295,5.41,101.87,6.72645,5.745,7.945,53.455,1005,31,Med,1,6971,Low,5,MedLow,HighLow,2
158,Waterfall up,46,7/5/2017,18:42,7/5/2017 18:42,7/5/2017,21:52,7/5/2017 21:52,0.131944444,3.17,0,0,0,0,5.537,2.843,99.7,8.7981,7.066,10.492,48.68,1005.25,74,High,5,402,Low,1,HighLow,HighLow,2
160,Golf,46,7/5/2017,18:58,7/5/2017 18:58,7/5/2017,22:08,7/5/2017 22:08,0.131944444,3.17,4,4,0.602059991,1.386294361,3.611111111,,260,8.666666667,7,10,46.66666667,1005.333333,0,Low,3,27609,High,2,LowHigh,LowHigh,3
