ID,Site,Weatherperiod,DateStart,TimeStart,Datetime_Start,DateEnd,TimeEnd,Datetime_End,Totaldays,Totalhours,Count,Count3.5,LogCount3.5,LnCount3.5,Habitatcategory,Habitatpair,BMhabitat,BMhabitat2,ID2,Site2,Count2,Count2,Count3.52,LogCount3.52,LnCount3.52,Habitatamount2,Habitatcategory2,BMhabitat22,BMhabitat222
15,Waterfall,6,6/6/2017,18:11,6/6/2017 18:11,6/6/2017,21:49,6/6/2017 21:49,0.151388889,3.63,95,92,1.963787827,4.521788577,High,1,HighHigh,HighHigh,14,Waterfall up,0.153472222,80,76,1.886490725,4.343805422,402,Low,HighLow,HighLow
27,Waterfall,11,6/10/2017,18:13,6/10/2017 18:13,6/10/2017,21:35,6/10/2017 21:35,0.140277778,3.37,17,18,1.255272505,2.890371758,High,1,HighHigh,HighHigh,28,Waterfall up,0.139583333,12,13,1.146128036,2.63905733,402,Low,HighLow,HighLow
45,Waterfall,18,6/15/2017,18:30,6/15/2017 18:30,6/15/2017,21:57,6/15/2017 21:57,0.14375,3.45,141,143,2.155336037,4.96284463,High,1,HighHigh,HighHigh,44,Waterfall up,0.138194444,28,30,1.491361694,3.433987204,402,Low,HighLow,HighLow
73,Waterfall,31,6/21/2017,18:15,6/21/2017 18:15,6/21/2017,21:33,6/21/2017 21:33,0.1375,3.3,8,8,0.903089987,2.079441542,High,1,HighHigh,HighHigh,72,Waterfall up,0.141666667,7,7,0.903089987,2.079441542,402,Low,HighLow,HighLow
87,Waterfall,37,6/24/2017,18:07,6/24/2017 18:07,6/24/2017,21:38,6/24/2017 21:38,0.146527778,3.52,164,163,2.212187604,5.093750201,High,1,HighHigh,HighHigh,86,Waterfall up,0.142361111,55,56,1.755874856,4.043051268,402,Low,HighLow,HighLow
95,Waterfall,38,6/25/2017,18:15,6/25/2017 18:15,6/25/2017,21:37,6/25/2017 21:37,0.140277778,3.37,161,167,2.222716471,5.117993812,High,1,HighHigh,HighHigh,94,Waterfall up,0.129861111,14,16,1.230448921,2.833213344,402,Low,HighLow,HighLow
108,Waterfall,41,6/28/2017,18:21,6/28/2017 18:21,6/28/2017,21:30,6/28/2017 21:30,0.13125,3.15,418,464,2.666517981,6.139884552,High,1,HighHigh,HighHigh,109,Waterfall up,0.131944444,220,243,2.387389826,5.497168225,402,Low,HighLow,HighLow
119,Waterfall,42,6/29/2017,18:19,6/29/2017 18:19,6/29/2017,21:29,6/29/2017 21:29,0.131944444,3.17,8,9,0.954242509,2.197224577,High,1,HighHigh,HighHigh,118,Waterfall up,0.13125,2,2,0.477121255,1.098612289,402,Low,HighLow,HighLow
133,Waterfall,44,7/2/2017,18:21,7/2/2017 18:21,7/2/2017,21:48,7/2/2017 21:48,0.14375,3.45,0,0,0,0,High,1,HighHigh,HighHigh,134,Waterfall up,0.144444444,0,0,0,0,402,Low,HighLow,HighLow
144,Waterfall,45,7/3/2017,18:33,7/3/2017 18:33,7/3/2017,21:49,7/3/2017 21:49,0.136111111,3.27,2,2,0.301029996,0.693147181,High,1,HighHigh,HighHigh,143,Waterfall up,0.141666667,0,0,0,0,402,Low,HighLow,HighLow
