ID,Site,Scatpair,Weatherperiod,DateStart,TimeStart,Datetime_Start,DateEnd,TimeEnd,Datetime_End,Count3.5,LogCount3.5,LnCount3.5,Scatcategory,ID2,Site2,Count3.52,LogCount3.52,LnCount3.52,Scatcategory2
3,KISS,2,1,6/2/2017,18:07,6/2/2017 18:07,6/2/2017,21:10,6/2/2017 21:10,1,0,0,High,1,Oil,120,2.079181246,4.787491743,Low
26,KISS,2,10,6/9/2017,18:10,6/9/2017 18:10,6/9/2017,21:25,6/9/2017 21:25,23,1.361727836,3.135494216,High,25,Oil,38,1.579783597,3.63758616,Low
40,KISS,2,17,6/14/2017,18:42,6/14/2017 18:42,6/14/2017,21:46,6/14/2017 21:46,49,1.69019608,3.891820298,High,41,Oil,712,2.852479994,6.568077911,Low
67,KISS,2,29,6/20/2017,18:36,6/20/2017 18:36,6/20/2017,21:17,6/20/2017 21:17,108,2.033423755,4.682131227,High,66,Oil,305,2.484299839,5.720311777,Low
100,KISS,2,39,6/26/2017,18:00,6/26/2017 18:00,6/26/2017,21:00,6/26/2017 21:00,16,1.204119983,2.772588722,High,97,Oil,136,2.133538908,4.912654886,Low
113,KISS,2,41,6/28/2017,19:03,6/28/2017 19:03,6/28/2017,22:13,6/28/2017 22:13,52,1.716003344,3.951243719,High,112,Oil,852,2.930439595,6.747586527,Low
114,KISS,2,42,6/29/2017,17:39,6/29/2017 17:39,6/29/2017,20:47,6/29/2017 20:47,66,1.819543936,4.189654742,High,115,Oil,108,2.033423755,4.682131227,Low
138,KISS,2,44,7/2/2017,19:03,7/2/2017 19:03,7/2/2017,22:31,7/2/2017 22:31,0,0,0,High,137,Oil,0,0,0,Low
139,KISS,2,45,7/3/2017,17:53,7/3/2017 17:53,7/3/2017,21:08,7/3/2017 21:08,0,0,0,High,140,Oil,0,0,0,Low
162,KISS,2,46,7/5/2017,19:10,7/5/2017 19:10,7/5/2017,22:30,7/5/2017 22:30,0,0,0,High,161,Oil,5,0.698970004,1.609437912,Low
