ID,Site,ClosestWS,Weatherperiod,DateStart,TimeStart,Datetime_Start,DateEnd,TimeEnd,Datetime_End,Totaldays,Totalhours,Count,Count3.5,LogCount3.5,LnCount3.5,WindSpeedAvg,WindSpeedWSonly,WindDirection,TempAvg,Tempmin,Tempmax,Rhavg,BaroAvg,Scatcount,Scatcategory,Scatpair,Habitatamount,Habitatcategory,Habitatpair,BMHabitat,BMHabitat2
2,Kennels,DanishMet/nearAirport,1,6/2/2017,18:00,6/2/2017 18:00,6/2/2017,21:05,6/2/2017 21:05,0.128472222,3.08,1,1,0,0,3.777777778,,83.33333333,15.33333333,14,16,24,1014.666667,100,High,,0,Low,,HighLow,
3,KISS,DanishMet/nearAirport,1,6/2/2017,18:07,6/2/2017 18:07,6/2/2017,21:10,6/2/2017 21:10,0.127083333,3.05,1,1,0,0,3.777777778,,83.33333333,15.33333333,14,16,24,1014.666667,100,High,2,8675,Low,3,HighLow,HighLow
1,Oil,DanishMet/nearAirport,1,6/2/2017,17:45,6/2/2017 17:45,6/2/2017,20:50,6/2/2017 20:50,0.128472222,3.08,106,120,2.079181246,4.787491743,3.604166667,,87.5,15.5,14,16,23.75,1014.75,10,Low,2,11742.1,High,3,LowHigh,LowHigh
4,Golf,DanishMet,2,6/4/2017,18:00,6/4/2017 18:00,6/4/2017,20:00,6/4/2017 20:00,0.083333333,2,0,0,0,0,5.138888889,,95,9.5,9,10,52,1015,0,Low,3,27609,High,2,LowHigh,LowHigh
5,Kforest,DanishMet,2,6/4/2017,18:00,6/4/2017 18:00,6/4/2017,20:00,6/4/2017 20:00,0.083333333,2,3,5,0.698970004,1.609437912,5.138888889,,95,9.5,9,10,52,1015,19,Med,3,2331,Low,2,MedLow,LowLow
6,KISS,DanishMet,3,6/5/2017,15:40,6/5/2017 15:40,6/5/2017,21:20,6/5/2017 21:20,0.236111111,5.67,0,0,0,0,8.574074074,,253.3333333,9.5,8,10,58,1017.833333,100,High,2,8675,Low,3,HighLow,HighLow
9,Golf,DanishMet,4,6/5/2017,18:25,6/5/2017 18:25,6/5/2017,22:10,6/5/2017 22:10,0.15625,3.75,1,1,0,0,7.972222222,,267.5,8.75,8,10,57.75,1018,0,Low,3,27609,High,2,LowHigh,LowHigh
10,Kforest,DanishMet,4,6/5/2017,18:30,6/5/2017 18:30,6/5/2017,22:15,6/5/2017 22:15,0.15625,3.75,0,0,0,0,7.972222222,,267.5,8.75,8,10,57.75,1018,19,Med,3,2331,Low,2,MedLow,LowLow
7,Oil,DanishMet,4,6/5/2017,18:10,6/5/2017 18:10,6/5/2017,22:00,6/5/2017 22:00,0.159722222,3.83,0,0,0,0,7.972222222,,267.5,8.75,8,10,57.75,1018,10,Low,2,11742.1,High,3,LowHigh,LowHigh
8,River over,Waterfall,4,6/5/2017,18:20,6/5/2017 18:20,6/5/2017,22:00,6/5/2017 22:00,0.152777778,3.67,0,0,0,0,7.972222222,,267.5,8.75,6.6,10,57.75,1018,10,Low,,0,High,,LowHigh,
11,Camp,Waterfall,5,6/6/2017,9:00,6/6/2017 9:00,6/6/2017,11:00,6/6/2017 11:00,0.083333333,2,28,49,1.69019608,3.891820298,1.555555556,,0,8.5,6.6,9,53.5,1016.5,20,Med,5,1495,Low,6,MedLow,LowLow
12,Golf,DanishMet,6,6/6/2017,17:48,6/6/2017 17:48,6/6/2017,21:28,6/6/2017 21:28,0.152777778,3.67,301,287,2.457881897,5.659482216,4.5,,190,10.75,10,11,56,1014,0,Low,3,27609,High,2,LowHigh,LowHigh
13,Kforest,DanishMet,6,6/6/2017,17:53,6/6/2017 17:53,6/6/2017,21:34,6/6/2017 21:34,0.153472222,3.68,397,377,2.57634135,5.932245187,4.5,,190,10.75,10,11,56,1014,19,Med,3,2331,Low,2,MedLow,LowLow
17,KISS,DanishMet,6,6/6/2017,19:45,6/6/2017 19:45,6/6/2017,21:00,6/6/2017 21:00,0.052083333,1.25,67,188,2.274157849,5.236441963,3.347222223,,130,11,11,11,54,1014,100,High,2,8675,Low,3,HighLow,HighLow
16,Seatomato,Waterfall,6,6/6/2017,18:21,6/6/2017 18:21,6/6/2017,22:00,6/6/2017 22:00,0.152083333,3.65,24,23,1.361727836,3.135494216,3.986111111,,130,10.75,8.6,11,56,1014,35,Med,4,8857,High,6,MedHigh,LowHigh
15,Waterfall,Waterfall,6,6/6/2017,18:11,6/6/2017 18:11,6/6/2017,21:49,6/6/2017 21:49,0.151388889,3.63,95,92,1.963787827,4.521788577,3.986111111,,130,10.75,8.6,11,56,1014,101,High,4,8034,High,1,HighHigh,HighHigh
14,Waterfall up,Waterfall,6,6/6/2017,18:05,6/6/2017 18:05,6/6/2017,21:46,6/6/2017 21:46,0.153472222,3.68,80,76,1.880813592,4.33073334,3.986111111,,130,10.75,8.6,11,56,1014,74,High,5,402,Low,1,HighLow,HighLow
18,KISS,DanishMet,7,6/8/2017,13:20,6/8/2017 13:20,6/8/2017,17:30,6/8/2017 17:30,0.173611111,4.17,30,25,1.397940009,3.218875825,4.5,,252.5,13,12,14,47,1006.25,100,High,2,8675,Low,3,HighLow,HighLow
19,Seatomato,Waterfall,8,6/8/2017,18:05,6/8/2017 18:05,6/8/2017,21:05,6/8/2017 21:05,0.125,3,8,9,0.954242509,2.197224577,4.462962963,,260,9.333333333,6.6,11,69.66666667,1006.666667,35,Med,4,8857,High,6,MedHigh,LowHigh
21,VV1,Vulgaris,8,6/8/2017,18:40,6/8/2017 18:40,6/8/2017,21:40,6/8/2017 21:40,0.125,3,32,37,1.568201724,3.610917913,4.462962963,,260,7.03,5.28,9.23,69.66666667,1006.666667,71,High,1,12617.745,High,5,HighHigh,HighHigh
20,VV2,Vulgaris,8,6/8/2017,18:35,6/8/2017 18:35,6/8/2017,21:35,6/8/2017 21:35,0.125,3,6,7,0.84509804,1.945910149,4.462962963,,260,7.03,5.28,9.23,69.66666667,1006.666667,31,Med,1,6971,Low,5,MedLow,HighLow
22,KISS,DanishMet,9,6/9/2017,9:30,6/9/2017 9:30,6/9/2017,12:00,6/9/2017 12:00,0.104166667,2.5,2,3,0.477121255,1.098612289,3.259259259,,250,7,6,8,71,1008,100,High,2,8675,Low,3,HighLow,HighLow
24,Golf,DanishMet,10,6/9/2017,17:44,6/9/2017 17:44,6/9/2017,21:55,6/9/2017 21:55,0.174305556,4.18,0,0,0,0,6.066666667,,80,12.8,10,14,28.8,1007,0,Low,3,27609,High,2,LowHigh,LowHigh
23,Kforest,DanishMet,10,6/9/2017,17:35,6/9/2017 17:35,6/9/2017,21:48,6/9/2017 21:48,0.175694444,4.22,10,8,0.903089987,2.079441542,6.066666667,,80,12.8,10,14,28.8,1007,19,Med,3,2331,Low,2,MedLow,LowLow
26,KISS,DanishMet,10,6/9/2017,18:10,6/9/2017 18:10,6/9/2017,21:25,6/9/2017 21:25,0.135416667,3.25,21,23,1.361727836,3.135494216,7.027777778,,80,13.33333333,12,14,27.33333333,1007,100,High,2,8675,Low,3,HighLow,HighLow
25,Oil,DanishMet,10,6/9/2017,17:52,6/9/2017 17:52,6/9/2017,21:37,6/9/2017 21:37,0.15625,3.75,41,38,1.579783597,3.63758616,6.041666667,,82.5,13.5,12,14,27.25,1007,10,Low,2,11742.1,High,3,LowHigh,LowHigh
29,Seatomato,Waterfall,11,6/10/2017,18:35,6/10/2017 18:35,6/10/2017,21:55,6/10/2017 21:55,0.138888889,3.33,24,25,1.397940009,3.218875825,5.104761905,2.757142857,57.5,13.57752381,11.6,15,32.76666667,1002.5,35,Med,4,8857,High,6,MedHigh,LowHigh
27,Waterfall,Waterfall,11,6/10/2017,18:13,6/10/2017 18:13,6/10/2017,21:35,6/10/2017 21:35,0.140277778,3.37,17,18,1.255272505,2.890371758,5.032727273,2.746363636,76.66666667,13.86654545,12.6,15,31.47727273,1002.333333,101,High,4,8034,High,1,HighHigh,HighHigh
28,Waterfall up,Waterfall,11,6/10/2017,18:24,6/10/2017 18:24,6/10/2017,21:45,6/10/2017 21:45,0.139583333,3.35,12,13,1.113943352,2.564949357,5.056666667,2.757142857,76.66666667,13.82019048,12.6,15,31.68571429,1002.333333,74,High,5,402,Low,1,HighLow,HighLow
30,KISS,DanishMet,12,6/11/2017,10:00,6/11/2017 10:00,6/11/2017,19:05,6/11/2017 19:05,0.378472222,9.08,83,32,1.505149978,3.465735903,5.540123457,,207.7777778,12.22222222,11,15,54.66666667,1007.555556,100,High,2,8675,Low,3,HighLow,HighLow
31,KISS,DanishMet,13,6/12/2017,12:14,6/12/2017 12:14,6/12/2017,17:41,6/12/2017 17:41,0.227083333,5.45,104,67,1.826074803,4.204692619,4.016666667,,60,16.4,15,17,30.2,1009.4,100,High,2,8675,Low,3,HighLow,HighLow
33,Golf,DanishMet,14,6/12/2017,17:57,6/12/2017 17:57,6/12/2017,21:21,6/12/2017 21:21,0.141666667,3.4,106,109,2.037426498,4.691347882,3.944444444,,93.33333333,16,15,17,33.33333333,1009,0,Low,3,27609,High,2,LowHigh,LowHigh
34,Kforest,DanishMet,14,6/12/2017,18:02,6/12/2017 18:02,6/12/2017,21:27,6/12/2017 21:27,0.142361111,3.42,161,165,2.217483944,5.105945474,3.944444444,,93.33333333,16,15,17,33.33333333,1009,19,Med,3,2331,Low,2,MedLow,LowLow
32,Oil,DanishMet,14,6/12/2017,17:45,6/12/2017 17:45,6/12/2017,21:12,6/12/2017 21:12,0.14375,3.45,1120,1136,3.055378331,7.035268599,4.375,,95,16.25,15,17,32.5,1009,10,Low,2,11742.1,High,3,LowHigh,LowHigh
35,KISS,DanishMet,15,6/13/2017,12:11,6/13/2017 12:11,6/13/2017,16:50,6/13/2017 16:50,0.19375,4.65,190,143,2.155336037,4.96284463,3.605555555,,60,16.6,16,17,31.6,1007.4,100,High,2,8675,Low,3,HighLow,HighLow
39,Bunny Hill,Vulgaris,16,6/13/2017,18:25,6/13/2017 18:25,6/13/2017,21:26,6/13/2017 21:26,0.125694444,3.02,469,544,2.7355989,6.298949247,4.177,2.2905,30.18,11.5182,10.492,12.509,41.345,1007.333333,113,High,,3580.25,Low,4,HighLow,HighLow
36,Moz valley,Vulgaris,16,6/13/2017,18:05,6/13/2017 18:05,6/13/2017,21:07,6/13/2017 21:07,0.126388889,3.03,270,312,2.494154594,5.743003188,4.2275,2.265,33.05,11.67825,10.492,12.92,40.575,1007.333333,81,High,,7469.75,High,4,HighHigh,HighHigh
38,VV1,Vulgaris,16,6/13/2017,18:20,6/13/2017 18:20,6/13/2017,21:21,6/13/2017 21:21,0.125694444,3.02,61,71,1.851258349,4.262679877,4.184736842,2.278421053,30.65789474,11.55421053,10.492,12.509,41.12105263,1007.333333,71,High,1,12617.745,High,5,HighHigh,HighHigh
37,VV2,Vulgaris,16,6/13/2017,18:15,6/13/2017 18:15,6/13/2017,21:17,6/13/2017 21:17,0.126388889,3.03,231,267,2.426511261,5.587248658,4.184736842,2.278421053,30.65789474,11.55421053,10.492,12.509,41.12105263,1007.333333,31,Med,1,6971,Low,5,MedLow,HighLow
42,Golf,DanishMet,17,6/14/2017,18:55,6/14/2017 18:55,6/14/2017,22:05,6/14/2017 22:05,0.131944444,3.17,259,286,2.456366033,5.655991811,5.148148148,,83.33333333,14.66666667,13,16,27.66666667,1004.666667,0,Low,3,27609,High,2,LowHigh,LowHigh
43,Kforest,DanishMet,17,6/14/2017,19:01,6/14/2017 19:01,6/14/2017,20:20,6/14/2017 20:20,0.054861111,1.32,74,197,2.294466226,5.283203729,5.666666667,,80,16,16,16,23,1004,19,Med,3,2331,Low,2,MedLow,LowLow
40,KISS,DanishMet,17,6/14/2017,18:42,6/14/2017 18:42,6/14/2017,21:46,6/14/2017 21:46,0.127777778,3.07,43,49,1.69019608,3.891820298,5.277777778,,82.5,15.25,13,17,25.75,1004.5,100,High,2,8675,Low,3,HighLow,HighLow
41,Oil,DanishMet,17,6/14/2017,18:48,6/14/2017 18:48,6/14/2017,21:55,6/14/2017 21:55,0.129861111,3.12,634,712,2.852479994,6.568077911,5.277777778,,82.5,15.25,13,17,25.75,1004.5,10,Low,2,11742.1,High,3,LowHigh,LowHigh
46,Seatomato,Waterfall,18,6/15/2017,18:40,6/15/2017 18:40,6/15/2017,22:05,6/15/2017 22:05,0.142361111,3.42,129,132,2.120573931,4.882801923,4.553333333,2.684761905,30.2,15.26766667,11.175,17.344,30.81428571,1002.5,35,Med,4,8857,High,6,MedHigh,LowHigh
45,Waterfall,Waterfall,18,6/15/2017,18:30,6/15/2017 18:30,6/15/2017,21:57,6/15/2017 21:57,0.14375,3.45,141,143,2.155336037,4.96284463,4.575,2.7,30.61363636,15.35445455,11.175,17.344,30.55454545,1002.5,101,High,4,8034,High,1,HighHigh,HighHigh
