Year,Site,Date,Eggs,Winglength
2012,Black,6/12/12,65,2.40
2012,East,6/12/12,56,4.64
2012,East,6/12/12,61,5.20
2012,East,6/12/12,82,5.60
2012,East,6/12/12,56,
2012,Piler,6/12/12,47,3.92
2012,Piler,6/12/12,52,4.08
2012,Piler,6/12/12,72,4.16
2012,Piler,6/12/12,48,4.24
2012,Piler,6/12/12,47,4.32
2012,Piler,6/12/12,65,4.40
2012,Piler,6/12/12,97,4.64
2012,Piler,6/12/12,84,4.72
2012,Piler,6/12/12,104,4.96
2012,VV1,6/12/12,45,3.84
2012,VV1,6/12/12,66,4.16
2012,VV1,6/12/12,62,4.24
2012,VV1,6/12/12,70,4.32
2012,VV1,6/12/12,61,4.48
2012,VV1,6/12/12,72,4.48
2012,VV1,6/12/12,46,4.64
2012,VV1,6/12/12,76,4.64
2012,VV1,6/12/12,77,4.64
2012,VV1,6/12/12,89,4.64
2012,VV1,6/12/12,92,4.64
2012,VV1,6/12/12,110,4.72
2012,VV1,6/12/12,60,4.80
2012,VV1,6/12/12,77,4.80
2012,VV1,6/12/12,98,4.80
2012,VV1,6/12/12,97,4.96
2012,VV1,6/12/12,85,5.04
2012,VV1,6/12/12,86,5.20
2012,VV1,6/12/12,82,5.28
2012,VV1,6/12/12,64,5.36
2012,VV1,6/12/12,88,5.36
2012,VV1,6/12/12,92,5.52
2012,VV1,6/12/12,101,5.52
2012,VV1,6/12/12,81,5.92
2012,Black,6/18/12,51,2.64
2012,Black,6/18/12,37,2.88
2012,Black,6/18/12,5,3.28
2012,Black,6/18/12,77,3.28
2012,Black,6/18/12,34,3.52
2012,Black,6/18/12,48,3.60
2012,Black,6/18/12,44,4.00
2012,Black,6/18/12,40,4.32
2012,Black,6/18/12,52,4.32
2012,Black,6/18/12,32,4.48
2012,Black,6/18/12,32,4.64
2012,Black,6/18/12,43,4.64
2012,Black,6/18/12,65,4.64
2012,Black,6/18/12,61,4.80
2012,Black,6/18/12,52,4.88
2012,Black,6/18/12,75,4.88
2012,Black,6/18/12,77,4.88
2012,Black,6/18/12,71,5.04
2012,Black,6/18/12,86,5.04
2012,Black,6/18/12,88,5.28
2012,East,6/18/12,39,4.48
2012,East,6/18/12,52,4.72
2012,East,6/18/12,66,4.72
2012,East,6/18/12,62,4.80
2012,East,6/18/12,70,5.28
2012,East,6/18/12,31,5.36
2012,East,6/18/12,53,5.44
2012,East,6/18/12,78,
2012,Piler,6/18/12,44,3.44
2012,Piler,6/18/12,46,3.60
2012,Piler,6/18/12,34,3.76
2012,Piler,6/18/12,48,3.76
2012,Piler,6/18/12,42,3.84
2012,Piler,6/18/12,32,3.92
2012,Piler,6/18/12,43,3.92
2012,Piler,6/18/12,46,3.92
2012,Piler,6/18/12,41,4.00
2012,Piler,6/18/12,55,4.00
2012,Piler,6/18/12,56,4.00
2012,Piler,6/18/12,67,4.00
2012,Piler,6/18/12,32,4.08
2012,Piler,6/18/12,40,4.08
2012,Piler,6/18/12,50,4.08
2012,Piler,6/18/12,62,4.08
2012,Piler,6/18/12,60,4.16
2012,Piler,6/18/12,62,4.16
2012,Piler,6/18/12,65,4.16
2012,Piler,6/18/12,68,4.16
2012,Piler,6/18/12,72,4.16
2012,Piler,6/18/12,40,4.24
2012,Piler,6/18/12,51,4.24
2012,Piler,6/18/12,68,4.24
2012,Piler,6/18/12,72,4.24
2012,Piler,6/18/12,78,4.24
2012,Piler,6/18/12,92,4.24
2012,Piler,6/18/12,10,4.32
2012,Piler,6/18/12,48,4.32
2012,Piler,6/18/12,54,4.32
2012,Piler,6/18/12,65,4.32
2012,Piler,6/18/12,66,4.32
2012,Piler,6/18/12,70,4.32
2012,Piler,6/18/12,82,4.32
2012,Piler,6/18/12,85,4.32
2012,Piler,6/18/12,49,4.40
2012,Piler,6/18/12,73,4.40
2012,Piler,6/18/12,76,4.40
2012,Piler,6/18/12,77,4.40
2012,Piler,6/18/12,81,4.40
2012,Piler,6/18/12,88,4.40
2012,Piler,6/18/12,64,4.48
2012,Piler,6/18/12,75,4.48
2012,Piler,6/18/12,40,4.56
2012,Piler,6/18/12,76,4.64
2012,Piler,6/18/12,59,4.72
2012,Piler,6/18/12,63,4.96
2012,VV1,6/18/12,22,3.04
2012,VV1,6/18/12,58,3.28
2012,VV1,6/18/12,25,3.36
2012,VV1,6/18/12,33,3.36
2012,VV1,6/18/12,36,3.44
2012,VV1,6/18/12,39,3.52
2012,VV1,6/18/12,28,3.60
2012,VV1,6/18/12,34,3.60
2012,VV1,6/18/12,36,3.60
2012,VV1,6/18/12,42,3.60
2012,VV1,6/18/12,57,3.60
2012,VV1,6/18/12,60,3.60
2012,VV1,6/18/12,33,3.68
2012,VV1,6/18/12,36,3.68
2012,VV1,6/18/12,42,3.68
2012,VV1,6/18/12,46,3.68
2012,VV1,6/18/12,27,3.76
2012,VV1,6/18/12,31,3.76
2012,VV1,6/18/12,35,3.76
2012,VV1,6/18/12,36,3.76
2012,VV1,6/18/12,39,3.76
2012,VV1,6/18/12,53,3.76
2012,VV1,6/18/12,60,3.76
2012,VV1,6/18/12,70,3.76
2012,VV1,6/18/12,39,3.84
2012,VV1,6/18/12,44,3.84
2012,VV1,6/18/12,46,3.84
2012,VV1,6/18/12,51,3.84
2012,VV1,6/18/12,58,3.84
2012,VV1,6/18/12,35,3.92
2012,VV1,6/18/12,43,3.92
2012,VV1,6/18/12,47,3.92
2012,VV1,6/18/12,29,4.00
2012,VV1,6/18/12,35,4.00
2012,VV1,6/18/12,36,4.00
2012,VV1,6/18/12,44,4.00
2012,VV1,6/18/12,47,4.00
2012,VV1,6/18/12,50,4.00
2012,VV1,6/18/12,51,4.00
2012,VV1,6/18/12,52,4.00
2012,VV1,6/18/12,52,4.00
2012,VV1,6/18/12,53,4.00
2012,VV1,6/18/12,56,4.00
2012,VV1,6/18/12,57,4.00
2012,VV1,6/18/12,58,4.00
2012,VV1,6/18/12,59,4.00
2012,VV1,6/18/12,59,4.00
2012,VV1,6/18/12,60,4.00
2012,VV1,6/18/12,62,4.00
2012,VV1,6/18/12,63,4.00
2012,VV1,6/18/12,64,4.00
2012,VV1,6/18/12,66,4.00
2012,VV1,6/18/12,70,4.00
2012,VV1,6/18/12,76,4.00
2012,VV1,6/18/12,80,4.00
2012,VV1,6/18/12,41,4.08
2012,VV1,6/18/12,60,4.08
2012,VV1,6/18/12,61,4.08
2012,VV1,6/18/12,63,4.08
2012,VV1,6/18/12,69,4.08
2012,VV1,6/18/12,72,4.08
2012,VV1,6/18/12,75,4.08
2012,VV1,6/18/12,80,4.08
2012,VV1,6/18/12,84,4.08
2012,VV1,6/18/12,24,4.16
2012,VV1,6/18/12,45,4.16
2012,VV1,6/18/12,48,4.16
2012,VV1,6/18/12,48,4.16
2012,VV1,6/18/12,52,4.16
2012,VV1,6/18/12,54,4.16
2012,VV1,6/18/12,54,4.16
2012,VV1,6/18/12,54,4.16
2012,VV1,6/18/12,57,4.16
2012,VV1,6/18/12,58,4.16
2012,VV1,6/18/12,58,4.16
2012,VV1,6/18/12,60,4.16
2012,VV1,6/18/12,64,4.16
2012,VV1,6/18/12,66,4.16
2012,VV1,6/18/12,67,4.16
2012,VV1,6/18/12,68,4.16
2012,VV1,6/18/12,68,4.16
2012,VV1,6/18/12,73,4.16
2012,VV1,6/18/12,73,4.16
2012,VV1,6/18/12,73,4.16
2012,VV1,6/18/12,74,4.16
2012,VV1,6/18/12,75,4.16
2012,VV1,6/18/12,79,4.16
2012,VV1,6/18/12,84,4.16
2012,VV1,6/18/12,87,4.16
2012,VV1,6/18/12,50,4.24
2012,VV1,6/18/12,51,4.24
2012,VV1,6/18/12,54,4.24
2012,VV1,6/18/12,54,4.24
2012,VV1,6/18/12,56,4.24
2012,VV1,6/18/12,57,4.24
2012,VV1,6/18/12,58,4.24
2012,VV1,6/18/12,59,4.24
2012,VV1,6/18/12,60,4.24
2012,VV1,6/18/12,60,4.24
2012,VV1,6/18/12,61,4.24
2012,VV1,6/18/12,62,4.24
2012,VV1,6/18/12,65,4.24
2012,VV1,6/18/12,66,4.24
2012,VV1,6/18/12,67,4.24
2012,VV1,6/18/12,69,4.24
2012,VV1,6/18/12,71,4.24
2012,VV1,6/18/12,82,4.24
2012,VV1,6/18/12,94,4.24
2012,VV1,6/18/12,33,4.32
2012,VV1,6/18/12,56,4.32
2012,VV1,6/18/12,60,4.32
2012,VV1,6/18/12,63,4.32
2012,VV1,6/18/12,66,4.32
2012,VV1,6/18/12,70,4.32
2012,VV1,6/18/12,73,4.32
2012,VV1,6/18/12,73,4.32
2012,VV1,6/18/12,77,4.32
2012,VV1,6/18/12,81,4.32
2012,VV1,6/18/12,90,4.32
2012,VV1,6/18/12,94,4.32
2012,VV1,6/18/12,34,4.40
2012,VV1,6/18/12,37,4.40
2012,VV1,6/18/12,37,4.40
2012,VV1,6/18/12,43,4.40
2012,VV1,6/18/12,45,4.40
2012,VV1,6/18/12,47,4.40
2012,VV1,6/18/12,47,4.40
2012,VV1,6/18/12,50,4.40
2012,VV1,6/18/12,52,4.40
2012,VV1,6/18/12,53,4.40
2012,VV1,6/18/12,54,4.40
2012,VV1,6/18/12,54,4.40
2012,VV1,6/18/12,56,4.40
2012,VV1,6/18/12,57,4.40
2012,VV1,6/18/12,58,4.40
2012,VV1,6/18/12,64,4.40
2012,VV1,6/18/12,64,4.40
2012,VV1,6/18/12,66,4.40
2012,VV1,6/18/12,67,4.40
2012,VV1,6/18/12,68,4.40
2012,VV1,6/18/12,69,4.40
2012,VV1,6/18/12,70,4.40
2012,VV1,6/18/12,71,4.40
2012,VV1,6/18/12,71,4.40
2012,VV1,6/18/12,72,4.40
2012,VV1,6/18/12,78,4.40
2012,VV1,6/18/12,79,4.40
2012,VV1,6/18/12,79,4.40
2012,VV1,6/18/12,81,4.40
2012,VV1,6/18/12,82,4.40
2012,VV1,6/18/12,83,4.40
2012,VV1,6/18/12,84,4.40
2012,VV1,6/18/12,86,4.40
2012,VV1,6/18/12,88,4.40
2012,VV1,6/18/12,119,4.40
2012,VV1,6/18/12,38,4.48
2012,VV1,6/18/12,45,4.48
2012,VV1,6/18/12,50,4.48
2012,VV1,6/18/12,58,4.48
2012,VV1,6/18/12,65,4.48
2012,VV1,6/18/12,65,4.48
2012,VV1,6/18/12,65,4.48
2012,VV1,6/18/12,66,4.48
2012,VV1,6/18/12,67,4.48
2012,VV1,6/18/12,69,4.48
2012,VV1,6/18/12,70,4.48
2012,VV1,6/18/12,72,4.48
2012,VV1,6/18/12,75,4.48
2012,VV1,6/18/12,77,4.48
2012,VV1,6/18/12,77,4.48
2012,VV1,6/18/12,78,4.48
2012,VV1,6/18/12,78,4.48
2012,VV1,6/18/12,79,4.48
2012,VV1,6/18/12,85,4.48
2012,VV1,6/18/12,90,4.48
2012,VV1,6/18/12,90,4.48
2012,VV1,6/18/12,91,4.48
2012,VV1,6/18/12,101,4.48
2012,VV1,6/18/12,46,4.56
2012,VV1,6/18/12,52,4.56
2012,VV1,6/18/12,61,4.56
2012,VV1,6/18/12,66,4.56
2012,VV1,6/18/12,89,4.56
2012,VV1,6/18/12,90,4.56
2012,VV1,6/18/12,91,4.56
2012,VV1,6/18/12,93,4.56
2012,VV1,6/18/12,97,4.56
2012,VV1,6/18/12,100,4.56
2012,VV1,6/18/12,103,4.56
2012,VV1,6/18/12,45,4.64
2012,VV1,6/18/12,57,4.64
2012,VV1,6/18/12,67,4.64
2012,VV1,6/18/12,68,4.64
2012,VV1,6/18/12,68,4.64
2012,VV1,6/18/12,69,4.64
2012,VV1,6/18/12,82,4.64
2012,VV1,6/18/12,88,4.64
2012,VV1,6/18/12,29,4.72
2012,VV1,6/18/12,46,4.72
2012,VV1,6/18/12,50,4.72
2012,VV1,6/18/12,67,4.72
2012,VV1,6/18/12,69,4.72
2012,VV1,6/18/12,78,4.72
2012,VV1,6/18/12,99,4.72
2012,VV1,6/18/12,41,4.80
2012,VV1,6/18/12,43,4.80
2012,VV1,6/18/12,49,4.80
2012,VV1,6/18/12,52,4.80
2012,VV1,6/18/12,57,4.80
2012,VV1,6/18/12,58,4.80
2012,VV1,6/18/12,59,4.80
2012,VV1,6/18/12,61,4.80
2012,VV1,6/18/12,62,4.80
2012,VV1,6/18/12,62,4.80
2012,VV1,6/18/12,63,4.80
2012,VV1,6/18/12,64,4.80
2012,VV1,6/18/12,66,4.80
2012,VV1,6/18/12,68,4.80
2012,VV1,6/18/12,69,4.80
2012,VV1,6/18/12,71,4.80
2012,VV1,6/18/12,73,4.80
2012,VV1,6/18/12,79,4.80
2012,VV1,6/18/12,82,4.80
2012,VV1,6/18/12,82,4.80
2012,VV1,6/18/12,83,4.80
2012,VV1,6/18/12,90,4.80
2012,VV1,6/18/12,93,4.80
2012,VV1,6/18/12,104,4.80
2012,VV1,6/18/12,108,4.80
