Year,Site,Date,Gravid,NotGravid,Total
2012,Black,6/12/2012,1,74,75
2012,Black,6/18/2012,20,89,109
2012,Black,6/25/2012,8,27,35
2017,Bunny hill,6/18/2017,0,11,11
2017,Bunny hill,6/20/2017,1,9,10
2017,Bunny hill,6/21/2017,0,47,47
2017,Bunny hill,7/6/2017,0,10,10
2017,Bunny hill,7/10/2017,1,1,2
2017,Camp,6/21/2017,0,2,2
2017,Camp,6/23/2017,0,9,9
2017,Camp,6/30/2017,0,3,3
2017,Camp,7/6/2017,0,0,0
2012,East,6/12/2012,4,66,70
2012,East,6/18/2012,8,23,31
2012,East,6/25/2012,6,27,33
2017,Golf,6/18/2017,2,27,29
2017,Golf,6/24/2017,4,20,24
2017,Golf,6/30/2017,9,42,51
2017,Golf,7/6/2017,3,17,20
2017,Golf,7/10/2017,2,8,10
2012,Ice,6/18/2012,1,50,51
2012,Ice,6/25/2012,0,17,17
2017,Kforest,6/18/2017,0,20,20
2017,Kforest,6/24/2017,1,10,11
2017,Kforest,6/30/2017,0,8,8
2017,Kforest,7/5/2017,0,2,2
2017,Kforest,7/10/2017,0,1,1
2017,Moz valley,6/18/2017,0,2,2
2017,Moz valley,6/21/2017,0,40,40
2017,Moz valley,6/30/2017,2,25,27
2017,Moz valley,7/6/2017,1,2,3
2017,Moz valley,7/10/2017,0,97,97
2017,Oil,6/16/2017,1,10,11
2017,Oil,6/22/2017,0,55,55
2017,Oil,6/30/2017,2,25,27
2017,Oil,7/6/2017,6,16,22
2017,Oil,7/10/2017,1,12,13
2012,Piler,6/12/2012,9,588,597
2012,Piler,6/18/2012,51,488,539
2012,Piler,6/25/2012,24,494,518
2017,Seatom,6/18/2017,0,67,67
2017,Seatom,6/23/2017,0,15,15
2017,Seatom,6/30/2017,0,8,8
2017,Seatom,7/10/2017,0,17,17
2012,VV1,6/12/2012,24,430,454
2012,VV1,6/18/2012,307,183,490
2012,VV1,6/25/2012,138,388,526
2017,VV1,6/16/2017,0,1,1
2017,VV1,6/18/2017,0,101,101
2017,VV1,6/21/2017,0,6,6
2017,VV1,6/23/2017,0,5,5
2017,VV1,6/30/2017,0,48,48
2017,VV1,7/6/2017,0,6,6
2017,VV1,7/10/2017,0,4,4
2017,VV2,6/18/2017,0,0,0
2017,VV2,6/30/2017,0,5,5
2017,VV2,7/6/2017,0,18,18
2017,VV2,7/10/2017,0,2,2
2017,Waterfall,6/18/2017,1,61,62
2017,Waterfall,6/23/2017,1,9,10
2017,Waterfall,6/30/2017,0,14,14
2017,Waterfall,7/5/2017,0,1,1
2017,Waterfall,7/10/2017,0,1,1
2017,Waterfall,7/15/2017,0,3,3
2017,Waterfall up,6/18/2017,0,8,8
2017,Waterfall up,6/23/2017,0,0,0
2017,Waterfall up,6/30/2017,0,4,4
2017,Waterfall up,7/5/2017,0,1,1
2017,Waterfall up,7/10/2017,0,2,2
