Date,Day,Site,Year,Adultcumulative
8-May-12,8-May-17,Black,2012,0
11-May-12,11-May-17,Black,2012,0
14-May-12,14-May-17,Black,2012,0
16-May-12,16-May-17,Black,2012,0
18-May-12,18-May-17,Black,2012,0
21-May-12,21-May-17,Black,2012,0
23-May-12,23-May-17,Black,2012,0
28-May-12,28-May-17,Black,2012,0
8-May-12,8-May-17,East,2012,0
11-May-12,11-May-17,East,2012,0
14-May-12,14-May-17,East,2012,0
16-May-12,16-May-17,East,2012,0
18-May-12,18-May-17,East,2012,0
21-May-12,21-May-17,East,2012,0
23-May-12,23-May-17,East,2012,0
28-May-12,28-May-17,East,2012,0
31-May-12,31-May-17,East,2012,0
8-May-12,8-May-17,Ice,2012,0
14-May-12,14-May-17,Ice,2012,0
21-May-12,21-May-17,Ice,2012,0
28-May-12,28-May-17,Ice,2012,0
31-May-12,31-May-17,Ice,2012,0
4-Jun-12,4-Jun-17,Ice,2012,0
12-Jun-12,12-Jun-17,Ice,2012,0
17-May-17,17-May-17,Ice,2017,0
23-May-17,23-May-17,Ice,2017,0
29-May-17,29-May-17,Ice,2017,0
4-Jun-17,4-Jun-17,Ice,2017,0
17-May-17,17-May-17,Oil,2017,0
19-May-17,19-May-17,Oil,2017,0
22-May-17,22-May-17,Oil,2017,0
25-May-17,25-May-17,Oil,2017,0
28-May-17,28-May-17,Oil,2017,0
8-May-12,8-May-17,Vulgaris,2012,0
11-May-12,11-May-17,Vulgaris,2012,0
14-May-12,14-May-17,Vulgaris,2012,0
16-May-12,16-May-17,Vulgaris,2012,0
18-May-12,18-May-17,Vulgaris,2012,0
21-May-12,21-May-17,Vulgaris,2012,0
23-May-12,23-May-17,Vulgaris,2012,0
28-May-12,28-May-17,Vulgaris,2012,0
17-May-17,17-May-17,Vulgaris,2017,0
17-May-17,17-May-17,Vulgaris,2017,0
20-May-17,20-May-17,Vulgaris,2017,0
23-May-17,23-May-17,Vulgaris,2017,0
26-May-17,26-May-17,Vulgaris,2017,0
29-May-17,29-May-17,Vulgaris,2017,0
20-May-17,20-May-17,Vulgaris road,2017,0
23-May-17,23-May-17,Vulgaris road,2017,0
26-May-17,26-May-17,Vulgaris road,2017,0
29-May-17,29-May-17,Vulgaris road,2017,0
1-Jun-17,1-Jun-17,Vulgaris road,2017,0
20-May-17,20-May-17,Vulgaris small,2017,0
23-May-17,23-May-17,Vulgaris small,2017,0
26-May-17,26-May-17,Vulgaris small,2017,0
29-May-17,29-May-17,Vulgaris small,2017,0
1-Jun-17,1-Jun-17,Vulgaris small,2017,0
4-Jun-17,4-Jun-17,Vulgaris small,2017,0
7-Jun-17,7-Jun-17,Vulgaris small,2017,0
7-Jun-17,7-Jun-17,Ice,2017,0.3
8-Jun-17,8-Jun-17,Ice,2017,0.3
1-Jun-17,1-Jun-17,Vulgaris,2017,0.3
