"","Site","Year","SiteYear","N.x","Winglength","sd.x","se.x","ci.x","N.y","AdultMass","sd.y","se.y","ci.y"
"1","Black",2012,"Black2012",47,NA,NA,NA,NA,47,1.18257446808511,0.1835424065063,0.0267724115645446,0.0538900694107314
"2","East",2012,"East2012",86,NA,NA,NA,NA,86,1.18796511627907,0.280967339432243,0.0302974873905706,0.0602395218558673
"3","East",2017,"East2017",6,9.21666666666667,0.407021702943058,0.166165914408194,0.427143081279601,6,0.626666666666667,0.138948431681206,0.0567254596964871,0.145817436313909
"4","Ice",2017,"Ice2017",24,10.7041666666667,0.366510177409751,0.0748135766825691,0.154763674767066,24,1.7,0.440750348343841,0.0899677881163626,0.186112549579482
"5","JuncusTown",2017,"JuncusTown2017",24,8.925,0.532630877976402,0.108722822691066,0.224910294586115,24,0.692083333333333,0.150187684514111,0.0306569327258059,0.0634186971953432
"6","Mozvalley",2017,"Mozvalley2017",24,9.77083333333333,0.336838455238615,0.0687568617568265,0.142234405341789,24,0.818333333333333,0.210251746964084,0.042917458132564,0.0887815263857695
"7","NoOil",2017,"NoOil2017",20,8.625,0.724659629720994,0.162038819260597,0.33915114646035,20,0.544,0.217168379980047,0.0485603260198889,0.101637930449537
"8","Oil",2017,"Oil2017",23,10.1434782608696,0.667305359402835,0.139142786013028,0.288564476505552,23,1.20739130434783,0.525116587845061,0.109494377626163,0.227077440845813
"9","SBS",2017,"SBS2017",24,9.74166666666667,0.433305461756952,0.0884481070054653,0.182968849684014,24,0.867083333333333,0.141589706290875,0.0289018777702651,0.05978808940486
"10","SeahorseWetland",2017,"SeahorseWetland2017",24,9.7875,0.605275718703612,0.123551388710018,0.25558552053282,24,0.8275,0.15801073161133,0.0322538055276349,0.0667220802697179
"11","Target",2017,"Target2017",24,10.3291666666667,0.595256003871383,0.121506122984421,0.251354566024236,24,1.18041666666667,0.230188564794863,0.0469870440309165,0.0972001062256503
"12","Vulgaris road",2017,"Vulgaris road2017",24,9.6625,0.582955364090373,0.118995265403317,0.246160461380406,24,0.971666666666667,0.226075529254133,0.0461474741668564,0.0954633236368839
"13","Vulgaris small",2017,"Vulgaris small2017",24,10.1291666666667,0.433869512207517,0.0885632433215544,0.183207027300528,24,1.165,0.372079935310774,0.0759504987532641,0.157115577261062
"14","Vulgaris",2012,"Vulgaris2012",103,NA,NA,NA,NA,103,1.1998640776699,0.390906062848154,0.0385171188736217,0.0763985226593315
"15","Vulgaris",2017,"Vulgaris2017",24,9.49166666666667,0.777351504995546,0.158676211501971,0.328246752516016,24,0.880416666666667,0.486625283628653,0.099331970068945,0.20548383584104
