Site,Year,SiteYear,Nwing,Winglength,sd.x,se.x,ci.x,N.y,AdultMass,sd.y,se.y,ci.y,,
Black,2012,Black2012,47,NA,NA,NA,NA,47,1.1825745,0.1835424,0.02677241,0.05389007,,
East,2012,East2012,86,NA,NA,NA,NA,86,1.1879651,0.2809673,0.03029749,0.06023952,,
East,2017,East2017,6,9.216667,0.4070217,0.16616591,0.4271431,6,0.6266667,0.1389484,0.05672546,0.14581744,,
Ice,2017,Ice2017,24,10.704167,0.3665102,0.07481358,0.1547637,24,1.7,0.4407503,0.08996779,0.18611255,,
JuncusTown,2017,JuncusTown2017,24,8.925,0.5326309,0.10872282,0.2249103,24,0.6920833,0.1501877,0.03065693,0.0634187,,
Mozvalley,2017,Mozvalley2017,24,9.770833,0.3368385,0.06875686,0.1422344,24,0.8183333,0.2102517,0.04291746,0.08878153,,
NoOil,2017,NoOil2017,20,8.625,0.7246596,0.16203882,0.3391511,20,0.544,0.2171684,0.04856033,0.10163793,,
Oil,2017,Oil2017,24,10.143478,0.6673054,0.13914279,0.2885645,23,1.2073913,0.5251166,0.10949438,0.22707744,,
SBS,2017,SBS2017,24,9.741667,0.4333055,0.08844811,0.1829688,24,0.8670833,0.1415897,0.02890188,0.05978809,,
SeahorseWetland,2017,SeahorseWetland2017,24,9.7875,0.6052757,0.12355139,0.2555855,24,0.8275,0.1580107,0.03225381,0.06672208,,
Target,2017,Target2017,24,10.329167,0.595256,0.12150612,0.2513546,24,1.1804167,0.2301886,0.04698704,0.09720011,,
Vulgaris road,2017,Vulgaris road2017,24,9.6625,0.5829554,0.11899527,0.2461605,24,0.9716667,0.2260755,0.04614747,0.09546332,,
Vulgaris small,2017,Vulgaris small2017,24,10.129167,0.4338695,0.08856324,0.183207,24,1.165,0.3720799,0.0759505,0.15711558,,
Vulgaris,2012,Vulgaris2012,103,NA,NA,NA,NA,103,1.1998641,0.3909061,0.03851712,0.07639852,,
Vulgaris,2017,Vulgaris2017,24,9.491667,0.7773515,0.15867621,0.3282468,24,0.8804167,0.4866253,0.09933197,0.20548384,,
