Pond,Date,SS,Numbertraps,male,female,Total
East,6/17/2018,N,3,0,0,0
East,6/17/2018,NW,3,0,0,0
East,6/17/2018,S,3,0,0,0
East,6/22/2018,N,3,0,0,0
East,6/22/2018,NW,3,17,3,20
East,6/22/2018,S,3,19,8,27
East,6/26/2018,N,3,3,6,9
East,6/26/2018,NW,3,2,15,17
East,6/26/2018,S,3,3,1,4
East,6/29/2018,N,3,0,1,1
East,6/29/2018,NW,3,2,4,6
East,6/29/2018,S,3,0,0,0
East,7/4/2018,N,3,0,0,0
East,7/4/2018,NW,3,0,1,1
East,7/4/2018,S,3,0,1,1
Golf,6/11/2018,Center,3,0,0,0
Golf,6/11/2018,N,3,0,0,0
Golf,6/11/2018,S,3,0,0,0
Golf,6/15/2018,Center,3,1,3,4
Golf,6/15/2018,N,3,31,27,58
Golf,6/15/2018,S,3,42,31,73
Golf,6/18/2018,Center,3,1,1,2
Golf,6/18/2018,N,3,4,1,5
Golf,6/18/2018,s,3,4,1,5
Golf,6/27/2018,Center,3,0,0,0
Golf,6/27/2018,N,3,0,0,0
Golf,6/27/2018,S,3,0,0,0
Ice,6/16/2018,N,6,0,0,0
Ice,6/16/2018,NNW,6,0,0,0
Ice,6/16/2018,NW,6,0,0,0
Ice,6/16/2018,S,6,0,0,0
Ice,6/16/2018,SE,6,0,0,0
Ice,6/16/2018,WSW,6,0,0,0
Ice,6/21/2018,N,5,6,2,8
Ice,6/21/2018,NNW,5,0,2,2
Ice,6/21/2018,NW,5,40,6,46
Ice,6/21/2018,S,5,5,10,15
Ice,6/21/2018,SE,5,7,4,11
Ice,6/24/2018,N,4,0,0,0
Ice,6/24/2018,S,4,0,1,1
Ice,6/24/2018,SE,4,0,5,5
Ice,6/24/2018,WSW,4,0,4,4
NoOil,6/4/2018,NE,3,0,0,0
NoOil,6/4/2018,NW,3,0,0,0
NoOil,6/4/2018,SW,3,0,0,0
NoOil,6/9/2018,NE,3,13,0,13
NoOil,6/9/2018,NW,3,47,5,52
NoOil,6/9/2018,SW,3,18,1,19
NoOil,6/12/2018,NW,2,26,80,106
NoOil,6/12/2018,SW,2,173,275,448
NoOil,6/14/2018,NE,3,10,31,41
NoOil,6/14/2018,NW,3,0,6,6
NoOil,6/14/2018,SW,3,3,11,14
NoOil,6/17/2018,NE,3,2,4,6
NoOil,6/17/2018,NW,3,2,0,2
NoOil,6/17/2018,SW,3,0,0,0
Oil,6/5/2018,Center,3,0,0,0
Oil,6/5/2018,E,3,0,0,0
Oil,6/5/2018,W,3,0,0,0
Oil,6/7/2018,Center,3,17,2,19
Oil,6/7/2018,E,3,15,1,16
Oil,6/7/2018,W,3,1,1,2
Oil,6/9/2018,Center,3,16,7,23
Oil,6/9/2018,E,3,7,5,12
Oil,6/9/2018,W,3,3,3,6
Oil,6/12/2018,Center,3,16,12,28
Oil,6/12/2018,E,3,4,16,20
Oil,6/12/2018,W,3,26,38,64
Oil,6/14/2018,Center,3,2,7,9
Oil,6/14/2018,E,3,4,8,12
Oil,6/14/2018,W,3,2,37,39
Oil,6/16/2018,Center,3,0,1,1
Oil,6/16/2018,E,3,1,2,3
Oil,6/16/2018,W,3,0,6,6
Vulgaris,6/13/2018,N,3,3,1,4
Vulgaris,6/13/2018,NE,3,4,0,4
Vulgaris,6/13/2018,W,3,0,0,0
Vulgaris,6/16/2018,N,3,75,23,98
Vulgaris,6/16/2018,NE,3,44,26,70
Vulgaris,6/16/2018,NW,3,149,52,201
Vulgaris,6/21/2018,N,3,0,0,0
Vulgaris,6/21/2018,NE,3,0,8,8
Vulgaris,6/21/2018,W,3,4,34,38
Vulgarissmall,6/13/2018,E,3,0,0,0
Vulgarissmall,6/13/2018,NE,3,0,0,0
Vulgarissmall,6/13/2018,SW,3,0,0,0
Vulgarissmall,6/17/2018,E,3,1,0,1
Vulgarissmall,6/17/2018,NE,3,1,2,3
Vulgarissmall,6/17/2018,SW,3,2,1,3
Vulgarissmall,6/21/2018,E,2,15,20,35
Vulgarissmall,6/21/2018,SW,2,90,76,166
Vulgarissmall,6/24/2018,SW,2,1,18,19
Vulgarissmall,6/24/2018,E,2,0,0,0
Waterfall,6/11/2018,NE,3,0,0,0
Waterfall,6/15/2018,NW,3,0,0,0
Waterfall,6/15/2018,S,3,0,0,0
Waterfall,6/15/2018,NE,3,0,0,0
Waterfall,6/15/2018,NW,3,49,10,59
Waterfall,6/15/2018,S,3,3,3,6
Waterfall,6/18/2018,NE,3,0,6,6
Waterfall,6/18/2018,NW,3,1,9,10
Waterfall,6/18/2018,S,3,0,14,14
Waterfall,6/27/2018,NE,3,0,0,0
Waterfall,6/27/2018,NW,3,1,4,5
Waterfall,6/27/2018,S,3,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
