Pond,Date,SS,Numbertraps,male,female,Total,Traparea,Perimeter,Length_1.5,Littoral_area
East,6/17/2018,N,3,0,0,0,0.2827404,127.25,1.5,190.875
East,6/17/2018,NW,3,0,0,0,0.2827404,127.25,1.5,190.875
East,6/17/2018,S,3,0,0,0,0.2827404,127.25,1.5,190.875
East,6/22/2018, ,3,0,0,0,0.2827404,127.25,1.5,190.875
East,6/22/2018,NW,3,17,3,20,0.2827404,127.25,1.5,190.875
East,6/22/2018,S,3,19,8,27,0.2827404,127.25,1.5,190.875
East,6/26/2018,N,3,3,6,9,0.2827404,127.25,1.5,190.875
East,6/26/2018,NW,3,2,15,17,0.2827404,127.25,1.5,190.875
East,6/26/2018,S,3,3,1,4,0.2827404,127.25,1.5,190.875
East,6/29/2018,N,3,0,1,1,0.2827404,127.25,1.5,190.875
East,6/29/2018,NW,3,2,4,6,0.2827404,127.25,1.5,190.875
East,6/29/2018,S,3,0,0,0,0.2827404,127.25,1.5,190.875
East,7/4/2018,N,3,0,0,0,0.2827404,127.25,1.5,190.875
East,7/4/2018,NW,3,0,1,1,0.2827404,127.25,1.5,190.875
East,7/4/2018,S,3,0,1,1,0.2827404,127.25,1.5,190.875
Golf,6/11/2018,Center,3,0,0,0,0.2827404,101.4,1.5,152.1
Golf,6/11/2018,N,3,0,0,0,0.2827404,101.4,1.5,152.1
Golf,6/11/2018,S,3,0,0,0,0.2827404,101.4,1.5,152.1
Golf,6/15/2018,Center,3,1,3,4,0.2827404,101.4,1.5,152.1
Golf,6/15/2018,N,3,31,27,58,0.2827404,101.4,1.5,152.1
Golf,6/15/2018,S,3,42,31,73,0.2827404,101.4,1.5,152.1
Golf,6/18/2018,Center,3,1,1,2,0.2827404,101.4,1.5,152.1
Golf,6/18/2018,N,3,4,1,5,0.2827404,101.4,1.5,152.1
Golf,6/18/2018,s,3,4,1,5,0.2827404,101.4,1.5,152.1
Golf,6/27/2018,Center,3,0,0,0,0.2827404,101.4,1.5,152.1
Golf,6/27/2018,N,3,0,0,0,0.2827404,101.4,1.5,152.1
Golf,6/27/2018,S,3,0,0,0,0.2827404,101.4,1.5,152.1
Ice,6/16/2018,N,6,0,0,0,0.2827404,127.5,1.5,191.25
Ice,6/16/2018,NNW,6,0,0,0,0.2827404,127.5,1.5,191.25
Ice,6/16/2018,NW,6,0,0,0,0.2827404,127.5,1.5,191.25
Ice,6/16/2018,S,6,0,0,0,0.2827404,127.5,1.5,191.25
Ice,6/16/2018,SE,6,0,0,0,0.2827404,127.5,1.5,191.25
Ice,6/16/2018,WSW,6,0,0,0,0.2827404,127.5,1.5,191.25
Ice,6/21/2018,N,5,6,2,8,0.2827404,127.5,1.5,191.25
Ice,6/21/2018,NNW,5,0,2,2,0.2827404,127.5,1.5,191.25
Ice,6/21/2018,NW,5,40,6,46,0.2827404,127.5,1.5,191.25
Ice,6/21/2018,S,5,5,10,15,0.2827404,127.5,1.5,191.25
Ice,6/21/2018,SE,5,7,4,11,0.2827404,127.5,1.5,191.25
