Date,Day,Site,Year,SiteYear,Sample,Larvae,Pupae,Beetle,Adultcumulative
24-May-11,24-May-17,Black,2011,Black2011,1,28,0,0,
24-May-11,24-May-17,Black,2011,Black2011,2,55,0,0,
24-May-11,24-May-17,Black,2011,Black2011,3,75,0,0,
24-May-11,24-May-17,Black,2011,Black2011,4,42,0,0,
24-May-11,24-May-17,Black,2011,Black2011,5,23,0,0,
24-May-11,24-May-17,Black,2011,Black2011,6,86,0,0,
24-May-11,24-May-17,Black,2011,Black2011,7,113,0,0,
24-May-11,24-May-17,Black,2011,Black2011,8,88,0,0,
24-May-11,24-May-17,Black,2011,Black2011,9,97,0,0,
24-May-11,24-May-17,Black,2011,Black2011,10,42,0,0,
24-May-11,24-May-17,Black,2011,Black2011,11,26,0,0,
24-May-11,24-May-17,Black,2011,Black2011,12,130,0,0,
24-May-11,24-May-17,Black,2011,Black2011,13,92,0,0,
24-May-11,24-May-17,Black,2011,Black2011,14,56,0,0,
24-May-11,24-May-17,Black,2011,Black2011,15,32,0,0,
30-May-11,30-May-17,Black,2011,Black2011,1,33,0,0,
30-May-11,30-May-17,Black,2011,Black2011,2,21,0,0,
30-May-11,30-May-17,Black,2011,Black2011,3,20,0,0,
30-May-11,30-May-17,Black,2011,Black2011,4,9,0,0,
30-May-11,30-May-17,Black,2011,Black2011,5,18,0,0,
30-May-11,30-May-17,Black,2011,Black2011,6,32,0,0,
30-May-11,30-May-17,Black,2011,Black2011,7,17,0,0,
30-May-11,30-May-17,Black,2011,Black2011,8,17,0,0,
30-May-11,30-May-17,Black,2011,Black2011,9,37,0,0,
30-May-11,30-May-17,Black,2011,Black2011,10,24,0,0,
30-May-11,30-May-17,Black,2011,Black2011,11,20,0,0,
30-May-11,30-May-17,Black,2011,Black2011,12,9,0,0,
30-May-11,30-May-17,Black,2011,Black2011,13,21,0,0,
30-May-11,30-May-17,Black,2011,Black2011,14,16,0,0,
30-May-11,30-May-17,Black,2011,Black2011,15,15,0,0,
1-Jun-11,1-Jun-17,Black,2011,Black2011,1,28,0,0,
1-Jun-11,1-Jun-17,Black,2011,Black2011,2,56,0,0,
1-Jun-11,1-Jun-17,Black,2011,Black2011,3,19,0,0,
1-Jun-11,1-Jun-17,Black,2011,Black2011,4,42,0,0,
1-Jun-11,1-Jun-17,Black,2011,Black2011,5,25,0,0,
1-Jun-11,1-Jun-17,Black,2011,Black2011,6,23,0,0,
1-Jun-11,1-Jun-17,Black,2011,Black2011,7,22,0,0,
1-Jun-11,1-Jun-17,Black,2011,Black2011,8,39,0,0,
1-Jun-11,1-Jun-17,Black,2011,Black2011,9,45,0,0,
1-Jun-11,1-Jun-17,Black,2011,Black2011,10,38,0,0,
1-Jun-11,1-Jun-17,Black,2011,Black2011,11,16,0,0,
1-Jun-11,1-Jun-17,Black,2011,Black2011,12,7,0,0,
1-Jun-11,1-Jun-17,Black,2011,Black2011,13,25,0,0,
1-Jun-11,1-Jun-17,Black,2011,Black2011,14,7,0,0,
1-Jun-11,1-Jun-17,Black,2011,Black2011,15,24,0,0,
6-Jun-11,6-Jun-17,Black,2011,Black2011,1,1,0,0,
6-Jun-11,6-Jun-17,Black,2011,Black2011,2,7,0,0,
6-Jun-11,6-Jun-17,Black,2011,Black2011,3,1,0,0,
6-Jun-11,6-Jun-17,Black,2011,Black2011,4,7,1,0,
6-Jun-11,6-Jun-17,Black,2011,Black2011,5,12,2,0,
6-Jun-11,6-Jun-17,Black,2011,Black2011,6,16,2,0,
6-Jun-11,6-Jun-17,Black,2011,Black2011,7,2,0,0,
6-Jun-11,6-Jun-17,Black,2011,Black2011,8,16,0,0,
6-Jun-11,6-Jun-17,Black,2011,Black2011,9,4,0,0,
6-Jun-11,6-Jun-17,Black,2011,Black2011,10,39,9,0,
6-Jun-11,6-Jun-17,Black,2011,Black2011,11,39,3,0,
6-Jun-11,6-Jun-17,Black,2011,Black2011,12,38,11,2,
6-Jun-11,6-Jun-17,Black,2011,Black2011,13,7,2,1,
6-Jun-11,6-Jun-17,Black,2011,Black2011,14,9,3,0,
6-Jun-11,6-Jun-17,Black,2011,Black2011,15,14,0,1,
8-Jun-11,8-Jun-17,Black,2011,Black2011,1,6,0,0,
8-Jun-11,8-Jun-17,Black,2011,Black2011,2,8,1,0,
8-Jun-11,8-Jun-17,Black,2011,Black2011,3,9,4,0,
8-Jun-11,8-Jun-17,Black,2011,Black2011,4,16,8,0,
8-Jun-11,8-Jun-17,Black,2011,Black2011,5,20,4,0,
8-Jun-11,8-Jun-17,Black,2011,Black2011,6,29,18,2,
8-Jun-11,8-Jun-17,Black,2011,Black2011,7,19,21,0,
8-Jun-11,8-Jun-17,Black,2011,Black2011,8,42,42,0,
8-Jun-11,8-Jun-17,Black,2011,Black2011,9,11,7,0,
8-Jun-11,8-Jun-17,Black,2011,Black2011,10,5,0,0,
8-Jun-11,8-Jun-17,Black,2011,Black2011,11,17,7,0,
8-Jun-11,8-Jun-17,Black,2011,Black2011,12,15,7,1,
8-Jun-11,8-Jun-17,Black,2011,Black2011,13,8,6,0,
8-Jun-11,8-Jun-17,Black,2011,Black2011,14,24,3,0,
8-Jun-11,8-Jun-17,Black,2011,Black2011,15,8,1,0,
13-Jun-11,13-Jun-17,Black,2011,Black2011,1,0,6,2,
13-Jun-11,13-Jun-17,Black,2011,Black2011,2,0,4,3,
13-Jun-11,13-Jun-17,Black,2011,Black2011,3,0,7,1,
13-Jun-11,13-Jun-17,Black,2011,Black2011,4,0,6,1,
13-Jun-11,13-Jun-17,Black,2011,Black2011,5,0,8,1,
13-Jun-11,13-Jun-17,Black,2011,Black2011,6,0,8,0,
13-Jun-11,13-Jun-17,Black,2011,Black2011,7,0,2,1,
13-Jun-11,13-Jun-17,Black,2011,Black2011,8,0,6,1,
13-Jun-11,13-Jun-17,Black,2011,Black2011,9,0,19,3,
13-Jun-11,13-Jun-17,Black,2011,Black2011,10,0,9,1,
13-Jun-11,13-Jun-17,Black,2011,Black2011,11,0,4,2,
13-Jun-11,13-Jun-17,Black,2011,Black2011,12,0,14,5,
13-Jun-11,13-Jun-17,Black,2011,Black2011,13,0,4,0,
13-Jun-11,13-Jun-17,Black,2011,Black2011,14,0,12,3,
13-Jun-11,13-Jun-17,Black,2011,Black2011,15,0,4,2,
15-Jun-11,15-Jun-17,Black,2011,Black2011,1,0,1,1,
15-Jun-11,15-Jun-17,Black,2011,Black2011,2,0,5,0,
15-Jun-11,15-Jun-17,Black,2011,Black2011,3,0,7,0,
15-Jun-11,15-Jun-17,Black,2011,Black2011,4,0,1,1,
15-Jun-11,15-Jun-17,Black,2011,Black2011,5,0,3,0,
15-Jun-11,15-Jun-17,Black,2011,Black2011,6,0,3,2,
15-Jun-11,15-Jun-17,Black,2011,Black2011,7,0,4,1,
15-Jun-11,15-Jun-17,Black,2011,Black2011,8,0,3,1,
15-Jun-11,15-Jun-17,Black,2011,Black2011,9,0,1,0,
15-Jun-11,15-Jun-17,Black,2011,Black2011,10,0,0,2,
15-Jun-11,15-Jun-17,Black,2011,Black2011,11,0,0,1,
15-Jun-11,15-Jun-17,Black,2011,Black2011,12,0,1,0,
15-Jun-11,15-Jun-17,Black,2011,Black2011,13,0,2,0,
15-Jun-11,15-Jun-17,Black,2011,Black2011,14,0,2,0,
15-Jun-11,15-Jun-17,Black,2011,Black2011,15,0,3,1,
17-Jun-11,17-Jun-17,Black,2011,Black2011,1,0,0,1,
17-Jun-11,17-Jun-17,Black,2011,Black2011,2,0,0,1,
17-Jun-11,17-Jun-17,Black,2011,Black2011,3,0,3,2,
17-Jun-11,17-Jun-17,Black,2011,Black2011,4,0,0,3,
17-Jun-11,17-Jun-17,Black,2011,Black2011,5,0,0,0,
17-Jun-11,17-Jun-17,Black,2011,Black2011,6,0,0,1,
17-Jun-11,17-Jun-17,Black,2011,Black2011,7,0,0,0,
17-Jun-11,17-Jun-17,Black,2011,Black2011,8,0,0,2,
17-Jun-11,17-Jun-17,Black,2011,Black2011,9,0,0,2,
17-Jun-11,17-Jun-17,Black,2011,Black2011,10,0,0,1,
17-Jun-11,17-Jun-17,Black,2011,Black2011,11,0,1,1,
17-Jun-11,17-Jun-17,Black,2011,Black2011,12,0,0,0,
17-Jun-11,17-Jun-17,Black,2011,Black2011,13,0,2,0,
17-Jun-11,17-Jun-17,Black,2011,Black2011,14,0,3,1,
17-Jun-11,17-Jun-17,Black,2011,Black2011,15,0,6,0,
8-May-12,8-May-17,Black,2012,Black2012,1,13,0,0,0
8-May-12,8-May-17,Black,2012,Black2012,2,10,0,0,
8-May-12,8-May-17,Black,2012,Black2012,3,87,0,0,
8-May-12,8-May-17,Black,2012,Black2012,4,113,0,0,
8-May-12,8-May-17,Black,2012,Black2012,5,72,0,0,
8-May-12,8-May-17,Black,2012,Black2012,6,107,0,0,
8-May-12,8-May-17,Black,2012,Black2012,7,81,0,0,
8-May-12,8-May-17,Black,2012,Black2012,8,77,0,0,
8-May-12,8-May-17,Black,2012,Black2012,9,47,0,0,
8-May-12,8-May-17,Black,2012,Black2012,10,30,0,0,
8-May-12,8-May-17,Black,2012,Black2012,11,25,0,0,
8-May-12,8-May-17,Black,2012,Black2012,12,15,0,0,
8-May-12,8-May-17,Black,2012,Black2012,13,19,0,0,
8-May-12,8-May-17,Black,2012,Black2012,14,10,0,0,
8-May-12,8-May-17,Black,2012,Black2012,15,6,0,0,
11-May-12,11-May-17,Black,2012,Black2012,1,11,0,0,0
11-May-12,11-May-17,Black,2012,Black2012,2,18,0,0,
11-May-12,11-May-17,Black,2012,Black2012,3,60,0,0,
11-May-12,11-May-17,Black,2012,Black2012,4,43,0,0,
11-May-12,11-May-17,Black,2012,Black2012,5,31,0,0,
11-May-12,11-May-17,Black,2012,Black2012,6,53,0,0,
11-May-12,11-May-17,Black,2012,Black2012,7,34,0,0,
11-May-12,11-May-17,Black,2012,Black2012,8,98,0,0,
11-May-12,11-May-17,Black,2012,Black2012,9,33,0,0,
