,Site,Year,Date,Day,Stage,Mean,Stdev,Sterror,Logmean,,
5,Black,2011,5/24/2011,5/24/2017,Adultcumulative,,,,0,,
10,Black,2011,5/30/2011,5/30/2017,Adultcumulative,,,,0,,
15,Black,2011,6/1/2011,6/1/2017,Adultcumulative,,,,0,,
20,Black,2011,6/6/2011,6/6/2017,Adultcumulative,,,,0,,
25,Black,2011,6/8/2011,6/8/2017,Adultcumulative,,,,0,,
30,Black,2011,6/13/2011,6/13/2017,Adultcumulative,,,,0,,
35,Black,2011,6/15/2011,6/15/2017,Adultcumulative,,,,0,,
40,Black,2011,6/17/2011,6/17/2017,Adultcumulative,,,,0,,
45,Black,2012,5/8/2012,5/8/2017,Adultcumulative,0,,,0,,
50,Black,2012,5/11/2012,5/11/2017,Adultcumulative,0,,,0,,
55,Black,2012,5/14/2012,5/14/2017,Adultcumulative,0,,,0,,
60,Black,2012,5/16/2012,5/16/2017,Adultcumulative,0,,,0,,
65,Black,2012,5/18/2012,5/18/2017,Adultcumulative,0,,,0,,
70,Black,2012,5/21/2012,5/21/2017,Adultcumulative,0,,,0,,
75,Black,2012,5/23/2012,5/23/2017,Adultcumulative,0,,,0,,
80,Black,2012,5/28/2012,5/28/2017,Adultcumulative,0,,,0,,
85,Black,2012,5/31/2012,5/31/2017,Adultcumulative,2.5,,,0.544068044,,
90,Black,2012,6/1/2012,6/1/2017,Adultcumulative,8.5,,,0.977723605,,
95,Black,2012,6/4/2012,6/4/2017,Adultcumulative,48,,,1.69019608,,
100,Black,2012,6/5/2012,6/5/2017,Adultcumulative,50,,,1.707570176,,
105,Black,2012,6/7/2012,6/7/2017,Adultcumulative,50,,,1.707570176,,
110,Black,2012,6/8/2012,6/8/2017,Adultcumulative,50.5,,,1.711807229,,
115,Black,2012,6/12/2012,6/12/2017,Adultcumulative,50.5,,,1.711807229,,
120,Black,2017,5/17/2017,5/17/2017,Adultcumulative,,,,0,,
125,Black,2017,5/22/2017,5/22/2017,Adultcumulative,,,,0,,
4,Black,2011,5/24/2011,5/24/2017,Beetle,0,0,0,0,,
9,Black,2011,5/30/2011,5/30/2017,Beetle,0,0,0,0,,
14,Black,2011,6/1/2011,6/1/2017,Beetle,0,0,0,0,,
19,Black,2011,6/6/2011,6/6/2017,Beetle,0.266666667,0.59361684,0.153271209,0.102662342,,
24,Black,2011,6/8/2011,6/8/2017,Beetle,0.2,0.560611911,0.144749373,0.079181246,,
29,Black,2011,6/13/2011,6/13/2017,Beetle,1.733333333,1.334523279,0.344572429,0.436692598,,
34,Black,2011,6/15/2011,6/15/2017,Beetle,0.666666667,0.723746864,0.186870637,0.22184875,,
39,Black,2011,6/17/2011,6/17/2017,Beetle,1,0.9258201,0.239045722,0.301029996,,
44,Black,2012,5/8/2012,5/8/2017,Beetle,0,0,0,0,,
49,Black,2012,5/11/2012,5/11/2017,Beetle,0,0,0,0,,
54,Black,2012,5/14/2012,5/14/2017,Beetle,0,0,0,0,,
59,Black,2012,5/16/2012,5/16/2017,Beetle,0,0,0,0,,
64,Black,2012,5/18/2012,5/18/2017,Beetle,0,0,0,0,,
69,Black,2012,5/21/2012,5/21/2017,Beetle,0.133333333,0.351865775,0.090851353,0.054357662,,
74,Black,2012,5/23/2012,5/23/2017,Beetle,0.333333333,0.6172134,0.159363815,0.124938737,,
79,Black,2012,5/28/2012,5/28/2017,Beetle,1,1.069044968,0.276026224,0.301029996,,
84,Black,2012,5/31/2012,5/31/2017,Beetle,0.066666667,0.25819889,0.066666667,0.028028724,,
89,Black,2012,6/1/2012,6/1/2017,Beetle,1,,,0.301029996,,
94,Black,2012,6/4/2012,6/4/2017,Beetle,0.066666667,0.25819889,0.066666667,0.028028724,,
99,Black,2012,6/5/2012,6/5/2017,Beetle,,,,0,,
104,Black,2012,6/7/2012,6/7/2017,Beetle,0.2,0.414039336,0.106904497,0.079181246,,
109,Black,2012,6/8/2012,6/8/2017,Beetle,,,,0,,
114,Black,2012,6/12/2012,6/12/2017,Beetle,0.533333333,1.060098827,0.27371634,0.185636577,,
119,Black,2017,5/17/2017,5/17/2017,Beetle,0,0,0,0,,
124,Black,2017,5/22/2017,5/22/2017,Beetle,0.1,0.316227766,0.1,0.041392685,,
1,Black,2011,5/24/2011,5/24/2017,Larvae,65.66666667,34.15022833,8.81755104,1.823908741,,
6,Black,2011,5/30/2011,5/30/2017,Larvae,20.6,8.104672374,2.092617409,1.334453751,,
11,Black,2011,6/1/2011,6/1/2017,Larvae,27.73333333,13.86396494,3.579660355,1.458386011,,
16,Black,2011,6/6/2011,6/6/2017,Larvae,14.13333333,13.60602108,3.513059536,1.179934598,,
21,Black,2011,6/8/2011,6/8/2017,Larvae,15.8,10.07968253,2.602562839,1.225309282,,
26,Black,2011,6/13/2011,6/13/2017,Larvae,0,0,0,0,,
31,Black,2011,6/15/2011,6/15/2017,Larvae,0,0,0,0,,
36,Black,2011,6/17/2011,6/17/2017,Larvae,0,0,0,0,,
41,Black,2012,5/8/2012,5/8/2017,Larvae,47.46666667,38.1629339,9.853627162,1.685443152,,
46,Black,2012,5/11/2012,5/11/2017,Larvae,35.93333333,23.33748262,6.025712103,1.567418506,,
51,Black,2012,5/14/2012,5/14/2017,Larvae,44.8,19.67304174,5.079557536,1.660865478,,
56,Black,2012,5/16/2012,5/16/2017,Larvae,24,13.18548986,3.404478843,1.397940009,,
61,Black,2012,5/18/2012,5/18/2017,Larvae,14.13333333,6.33433576,1.635518461,1.179934598,,
66,Black,2012,5/21/2012,5/21/2017,Larvae,14.6,9.356433997,2.41582087,1.193124598,,
71,Black,2012,5/23/2012,5/23/2017,Larvae,5.066666667,3.283436063,0.847779546,0.782950133,,
76,Black,2012,5/28/2012,5/28/2017,Larvae,0.2,0.414039336,0.106904497,0.079181246,,
81,Black,2012,5/31/2012,5/31/2017,Larvae,0,0,0,0,,
86,Black,2012,6/1/2012,6/1/2017,Larvae,0,,,0,,
91,Black,2012,6/4/2012,6/4/2017,Larvae,0,0,0,0,,
96,Black,2012,6/5/2012,6/5/2017,Larvae,,,,0,,
101,Black,2012,6/7/2012,6/7/2017,Larvae,0,0,0,0,,
106,Black,2012,6/8/2012,6/8/2017,Larvae,,,,0,,
111,Black,2012,6/12/2012,6/12/2017,Larvae,0,0,0,0,,
116,Black,2017,5/17/2017,5/17/2017,Larvae,0.6,1.549193338,0.4,0.204119983,,
121,Black,2017,5/22/2017,5/22/2017,Larvae,0.1,0.316227766,0.1,0.041392685,,
2,Black,2011,5/24/2011,5/24/2017,Pupae,0,0,0,0,,
7,Black,2011,5/30/2011,5/30/2017,Pupae,0,0,0,0,,
12,Black,2011,6/1/2011,6/1/2017,Pupae,0,0,0,0,,
17,Black,2011,6/6/2011,6/6/2017,Pupae,2.2,3.384840152,0.873961969,0.505149978,,
22,Black,2011,6/8/2011,6/8/2017,Pupae,8.6,11.05053328,2.853235423,0.982271233,,
27,Black,2011,6/13/2011,6/13/2017,Pupae,7.533333333,4.501851471,1.162373052,0.931118711,,
32,Black,2011,6/15/2011,6/15/2017,Pupae,2.4,1.91982142,0.495695759,0.531478917,,
37,Black,2011,6/17/2011,6/17/2017,Pupae,1,1.772810521,0.457737708,0.301029996,,
42,Black,2012,5/8/2012,5/8/2017,Pupae,0,0,0,0,,
47,Black,2012,5/11/2012,5/11/2017,Pupae,0,0,0,0,,
52,Black,2012,5/14/2012,5/14/2017,Pupae,0,0,0,0,,
57,Black,2012,5/16/2012,5/16/2017,Pupae,0,0,0,0,,
62,Black,2012,5/18/2012,5/18/2017,Pupae,0,0,0,0,,
67,Black,2012,5/21/2012,5/21/2017,Pupae,0.133333333,0.351865775,0.090851353,0.054357662,,
72,Black,2012,5/23/2012,5/23/2017,Pupae,2.8,3.72635402,0.962140471,0.579783597,,
77,Black,2012,5/28/2012,5/28/2017,Pupae,5,4.810702354,1.242118007,0.77815125,,
82,Black,2012,5/31/2012,5/31/2017,Pupae,3.133333333,3.181793445,0.821535535,0.61630043,,
87,Black,2012,6/1/2012,6/1/2017,Pupae,0,,,0,,
92,Black,2012,6/4/2012,6/4/2017,Pupae,0.066666667,0.25819889,0.066666667,0.028028724,,
97,Black,2012,6/5/2012,6/5/2017,Pupae,,,,0,,
102,Black,2012,6/7/2012,6/7/2017,Pupae,0,0,0,0,,
107,Black,2012,6/8/2012,6/8/2017,Pupae,,,,0,,
112,Black,2012,6/12/2012,6/12/2017,Pupae,0,0,0,0,,
117,Black,2017,5/17/2017,5/17/2017,Pupae,0,0,0,0,,
122,Black,2017,5/22/2017,5/22/2017,Pupae,0,0,0,0,,
3,Black,2011,5/24/2011,5/24/2017,Totallarvpup,65.66666667,34.15022833,8.81755104,1.823908741,,
8,Black,2011,5/30/2011,5/30/2017,Totallarvpup,20.6,8.104672374,2.092617409,1.334453751,,
13,Black,2011,6/1/2011,6/1/2017,Totallarvpup,27.73333333,13.86396494,3.579660355,1.458386011,,
18,Black,2011,6/6/2011,6/6/2017,Totallarvpup,16.33333333,16.47364417,4.253476636,1.238882089,,
23,Black,2011,6/8/2011,6/8/2017,Totallarvpup,24.4,20.33224041,5.249761899,1.404833717,,
28,Black,2011,6/13/2011,6/13/2017,Totallarvpup,7.533333333,4.501851471,1.162373052,0.931118711,,
33,Black,2011,6/15/2011,6/15/2017,Totallarvpup,2.4,1.91982142,0.495695759,0.531478917,,
38,Black,2011,6/17/2011,6/17/2017,Totallarvpup,1,1.772810521,0.457737708,0.301029996,,
43,Black,2012,5/8/2012,5/8/2017,Totallarvpup,47.46666667,38.1629339,9.853627162,1.685443152,,
48,Black,2012,5/11/2012,5/11/2017,Totallarvpup,35.93333333,23.33748262,6.025712103,1.567418506,,
53,Black,2012,5/14/2012,5/14/2017,Totallarvpup,44.8,19.67304174,5.079557536,1.660865478,,
58,Black,2012,5/16/2012,5/16/2017,Totallarvpup,24,13.18548986,3.404478843,1.397940009,,
63,Black,2012,5/18/2012,5/18/2017,Totallarvpup,14.13333333,6.33433576,1.635518461,1.179934598,,
68,Black,2012,5/21/2012,5/21/2017,Totallarvpup,14.73333333,9.369148968,2.419103861,1.196820744,,
73,Black,2012,5/23/2012,5/23/2017,Totallarvpup,7.866666667,5.7677263,1.489220527,0.947760382,,
78,Black,2012,5/28/2012,5/28/2017,Totallarvpup,5.2,4.959838707,1.280624847,0.792391689,,
83,Black,2012,5/31/2012,5/31/2017,Totallarvpup,3.133333333,3.181793445,0.821535535,0.61630043,,
88,Black,2012,6/1/2012,6/1/2017,Totallarvpup,0,,,0,,
93,Black,2012,6/4/2012,6/4/2017,Totallarvpup,0.066666667,0.25819889,0.066666667,0.028028724,,
98,Black,2012,6/5/2012,6/5/2017,Totallarvpup,,,,0,,
103,Black,2012,6/7/2012,6/7/2017,Totallarvpup,0,0,0,0,,
108,Black,2012,6/8/2012,6/8/2017,Totallarvpup,,,,0,,
113,Black,2012,6/12/2012,6/12/2017,Totallarvpup,0,0,0,0,,
118,Black,2017,5/17/2017,5/17/2017,Totallarvpup,0.6,1.549193338,0.4,0.204119983,,
123,Black,2017,5/22/2017,5/22/2017,Totallarvpup,0.1,0.316227766,0.1,0.041392685,,
130,Dispersal pond,2017,6/1/2017,6/1/2017,Adultcumulative,,,,0,,
129,Dispersal pond,2017,6/1/2017,6/1/2017,Beetle,0,0,0,0,,
126,Dispersal pond,2017,6/1/2017,6/1/2017,Larvae,2.7,2.311805451,0.731057073,0.568201724,,
127,Dispersal pond,2017,6/1/2017,6/1/2017,Pupae,23.5,13.80217374,4.364630569,1.389166084,,
128,Dispersal pond,2017,6/1/2017,6/1/2017,Totallarvpup,26.2,14.12484022,4.466666667,1.434568904,,
135,East,2011,5/24/2011,5/24/2017,Adultcumulative,,,,0,,
140,East,2011,5/30/2011,5/30/2017,Adultcumulative,,,,0,,
145,East,2011,6/1/2011,6/1/2017,Adultcumulative,,,,0,,
150,East,2011,6/6/2011,6/6/2017,Adultcumulative,,,,0,,
155,East,2011,6/8/2011,6/8/2017,Adultcumulative,,,,0,,
160,East,2011,6/13/2011,6/13/2017,Adultcumulative,,,,0,,
165,East,2011,6/15/2011,6/15/2017,Adultcumulative,,,,0,,
170,East,2011,6/17/2011,6/17/2017,Adultcumulative,,,,0,,
175,East,2012,5/8/2012,5/8/2017,Adultcumulative,0,,,0,,
180,East,2012,5/11/2012,5/11/2017,Adultcumulative,0,,,0,,
185,East,2012,5/14/2012,5/14/2017,Adultcumulative,0,,,0,,
190,East,2012,5/16/2012,5/16/2017,Adultcumulative,0,,,0,,
195,East,2012,5/18/2012,5/18/2017,Adultcumulative,0,,,0,,
200,East,2012,5/21/2012,5/21/2017,Adultcumulative,0,,,0,,
205,East,2012,5/23/2012,5/23/2017,Adultcumulative,0,,,0,,
210,East,2012,5/28/2012,5/28/2017,Adultcumulative,0,,,0,,
215,East,2012,5/31/2012,5/31/2017,Adultcumulative,0,,,0,,
220,East,2012,6/4/2012,6/4/2017,Adultcumulative,45.5,,,1.667452953,,
225,East,2012,6/7/2012,6/7/2017,Adultcumulative,63,,,1.806179974,,
230,East,2012,6/11/2012,6/11/2017,Adultcumulative,68.5,,,1.841984805,,
235,East,2012,6/12/2012,6/12/2017,Adultcumulative,,,,0,,
240,East,2016,6/4/2016,6/4/2017,Adultcumulative,,,,0,,
245,East,2016,6/7/2016,6/7/2017,Adultcumulative,,,,0,,
250,East,2017,5/17/2017,5/17/2017,Adultcumulative,,,,0,,
255,East,2017,5/19/2017,5/19/2017,Adultcumulative,,,,0,,
260,East,2017,5/22/2017,5/22/2017,Adultcumulative,,,,0,,
265,East,2017,5/25/2017,5/25/2017,Adultcumulative,,,,0,,
270,East,2017,5/28/2017,5/28/2017,Adultcumulative,2.3,,,0.51851394,,
275,East,2017,6/1/2017,6/1/2017,Adultcumulative,,,,0,,
280,East,2017,6/5/2017,6/5/2017,Adultcumulative,,,,0,,
285,East,2017,6/8/2017,6/8/2017,Adultcumulative,,,,0,,
290,East,2017,6/11/2017,6/11/2017,Adultcumulative,,,,0,,
295,East,2017,6/14/2017,6/14/2017,Adultcumulative,,,,0,,
134,East,2011,5/24/2011,5/24/2017,Beetle,0,0,0,0,,
139,East,2011,5/30/2011,5/30/2017,Beetle,0.666666667,1.2344268,0.318727629,0.22184875,,
144,East,2011,6/1/2011,6/1/2017,Beetle,0.466666667,0.915475416,0.236374736,0.166331422,,
149,East,2011,6/6/2011,6/6/2017,Beetle,0.133333333,0.351865775,0.090851353,0.054357662,,
154,East,2011,6/8/2011,6/8/2017,Beetle,0.2,0.414039336,0.106904497,0.079181246,,
159,East,2011,6/13/2011,6/13/2017,Beetle,0.4,0.632455532,0.163299316,0.146128036,,
