date,time,temperature,dewpoint,humidity,wind_speed,wind_gust_speed,wind_dir_degrees,wind_dir,pressure,windchill,heatindex,precip,precip_rate,precip_1hr,precip_today,solarradiation,uv_index,temperature_indoor,humidity_indoor,software_type,event,conditions
12/21/2017,0:50:00,-11,-16,67,20.4,,70,ENE,1013,-19.2,,,,,,,,,,,Scattered Clouds,
12/21/2017,1:50:00,-13,-17,73,20.4,,70,ENE,1014,-21.7,,,,,,,,,,,Unknown,
12/21/2017,2:50:00,-12,-16,73,20.4,,70,ENE,1014,-20.4,,,,,,,,,,,Mostly Cloudy,
12/21/2017,3:50:00,-13,-17,73,20.4,,70,ENE,1014,-21.7,,,,,,,,,,,Mostly Cloudy,
12/21/2017,4:50:00,-13,-18,67,14.8,,40,NE,1014,-20.4,,,,,,,,,,,Mostly Cloudy,
12/21/2017,5:50:00,-12,-17,67,22.2,,70,ENE,1014,-20.8,,,,,,,,,,,Overcast,
12/21/2017,6:50:00,-12,-18,62,20.4,,70,ENE,1014,-20.4,,,,,,,,,,,Mostly Cloudy,
12/21/2017,7:50:00,-12,-19,57,9.3,,60,ENE,1014,-17.3,,,,,,,,,,,Unknown,
12/21/2017,8:50:00,-14,-19,67,18.5,,50,NE,1014,-22.5,,,,,,,,,,,Unknown,
12/21/2017,9:50:00,-14,-21,56,13,,60,ENE,1013,-21,,,,,,,,,,,Unknown,
12/21/2017,10:50:00,-14,-21,56,16.7,,60,ENE,1012,-22.1,,,,,,,,,,,Unknown,
12/21/2017,11:50:00,-16,-22,61,11.1,,70,ENE,1011,-22.8,,,,,,,,,,,Unknown,
12/21/2017,12:50:00,-17,-23,61,14.8,,90,East,1010,-25.3,,,,,,,,,,,Unknown,
12/21/2017,13:50:00,-17,-23,61,9.3,,60,ENE,1009,-23.3,,,,,,,,,,,Unknown,
12/21/2017,14:50:00,-19,-24,66,9.3,,40,NE,1008,-25.6,,,,,,,,,,,Unknown,
12/21/2017,15:50:00,-21,-25,71,9.3,,60,ENE,1007,-28,,,,,,,,,,,Unknown,
12/21/2017,16:50:00,-23,-27,71,13,,70,ENE,1006,-32,,,,,,,,,,,Unknown,
12/21/2017,17:50:00,-20,-24,71,13,,40,NE,1005,-28.4,,,,,,,,,,,Unknown,
12/21/2017,18:50:00,-23,-27,71,14.8,,50,NE,1003,-32.7,,,,,,,,,,,Unknown,
12/21/2017,19:50:00,-23,-27,71,11.1,,50,NE,1003,-31.3,,,,,,,,,,,Unknown,
12/21/2017,20:50:00,-25,-28,77,13,,50,NE,1002,-34.4,,,,,,,,,,,Unknown,
12/21/2017,21:50:00,-25,-29,70,13,,50,NE,1001,-34.4,,,,,,,,,,,Unknown,
