Year,Date.Emer,Date.Peak
1974,6/10,6/24
1975,6/11,6/25
1976,6/14,6/28
1977,6/10,6/24
1978,6/29,7/13
1979,6/18,7/2
1980,6/5,6/19
1981,6/9,6/23
1982,6/14,6/28
1983,6/19,7/3
1984,6/22,7/6
1985,5/28,6/11
1986,6/15,6/29
1987,6/10,6/24
1988,6/5,6/19
1989,6/15,6/29
1990,6/11,6/25
1991,6/9,6/23
1992,6/29,7/13
1993,6/8,6/22
1994,5/30,6/13
1995,5/30,6/13
1996,6/23,7/7
1997,6/23,7/7
1998,6/8,6/22
1999,6/21,7/5
2000,6/8,6/22
2001,6/12,6/26
2002,6/8,6/22
2003,6/4,6/18
2004,6/2,6/16
2005,6/10,6/24
2006,6/5,6/19
2007,6/13,6/27
2008,6/4,6/18
2009,6/5,6/19
2010,6/24,7/8
2011,6/15,6/29
2012,6/2,6/16
2013,6/10,6/24
