Year,Tsum6.7,Tsum27.25,Tsum40.875,Tsum44.5,Tsum61
1974,4/26/2015,5/6/2015,5/13/2015,5/14/2015,5/17/2015
1975,5/18/2015,5/25/2015,5/27/2015,5/27/2015,5/28/2015
1976,5/14/2015,5/26/2015,5/27/2015,5/28/2015,5/30/2015
1977,3/31/2015,4/30/2015,5/4/2015,5/4/2015,5/7/2015
1978,5/10/2015,5/24/2015,5/30/2015,5/31/2015,6/6/2015
1979,3/16/2015,5/5/2015,5/13/2015,5/16/2015,5/21/2015
1980,4/7/2015,5/10/2015,5/15/2015,5/16/2015,5/20/2015
1981,4/21/2015,5/19/2015,5/21/2015,5/22/2015,5/25/2015
1982,4/6/2015,5/11/2015,5/22/2015,5/23/2015,5/26/2015
1983,4/23/2015,5/17/2015,5/22/2015,5/22/2015,5/25/2015
1984,5/16/2015,5/31/2015,6/2/2015,6/2/2015,6/4/2015
1985,4/21/2015,5/4/2015,5/7/2015,5/10/2015,5/13/2015
1986,4/11/2015,5/2/2015,5/5/2015,5/6/2015,5/16/2015
1987,3/31/2015,5/6/2015,5/11/2015,5/17/2015,5/20/2015
1988,3/29/2015,5/10/2015,5/13/2015,5/13/2015,5/15/2015
1989,4/18/2015,5/2/2015,5/22/2015,5/23/2015,5/26/2015
1990,5/6/2015,5/15/2015,5/18/2015,5/18/2015,5/21/2015
1991,4/15/2015,5/20/2015,5/24/2015,5/24/2015,5/27/2015
1992,5/14/2015,5/29/2015,6/6/2015,6/6/2015,6/10/2015
1993,5/9/2015,5/11/2015,5/16/2015,5/16/2015,5/20/2015
1994,4/17/2015,4/27/2015,5/2/2015,5/3/2015,5/9/2015
1995,4/18/2015,4/25/2015,5/4/2015,5/4/2015,5/8/2015
1996,3/16/2015,4/17/2015,4/25/2015,4/25/2015,5/1/2015
1997,4/15/2015,5/2/2015,5/6/2015,5/8/2015,5/10/2015
1998,4/6/2015,4/29/2015,5/15/2015,5/15/2015,5/19/2015
1999,3/27/2015,4/21/2015,5/18/2015,5/21/2015,5/24/2015
2000,4/6/2015,4/17/2015,5/13/2015,5/13/2015,5/19/2015
2001,4/12/2015,5/4/2015,5/13/2015,5/14/2015,5/16/2015
2002,4/27/2015,5/6/2015,5/9/2015,5/9/2015,5/14/2015
2003,4/8/2015,4/25/2015,4/29/2015,5/3/2015,5/11/2015
2004,4/18/2015,4/29/2015,5/2/2015,5/4/2015,5/7/2015
2005,2/10/2015,3/2/2015,5/6/2015,5/6/2015,5/12/2015
2006,3/19/2015,4/29/2015,5/1/2015,5/3/2015,5/7/2015
2007,2/10/2015,5/2/2015,5/6/2015,5/8/2015,5/19/2015
2008,4/20/2015,4/27/2015,4/30/2015,5/1/2015,5/6/2015
2009,4/23/2015,5/8/2015,5/9/2015,5/10/2015,5/14/2015
2010,3/17/2015,4/21/2015,4/24/2015,4/27/2015,4/29/2015
2011,4/28/2015,5/17/2015,5/24/2015,5/25/2015,5/26/2015
2012,3/26/2015,4/25/2015,4/29/2015,4/30/2015,5/7/2015
2013,3/8/2015,3/28/2015,4/22/2015,4/23/2015,5/18/2015
2014,4/22/2015,5/8/2015,5/17/2015,5/18/2015,5/21/2015
2015,4/25/2015,5/6/2015,5/15/2015,5/18/2015,5/21/2015
2016,2/17/2015,3/29/2015,3/31/2015,4/2/2015,4/12/2015
2017,4/22/2015,4/27/2015,5/2/2015,5/3/2015,5/7/2015
