Year,Date,Pondtype,,,,,,,
1974,4/26/2015,Very early ponds,,,,,,,
1975,5/18/2015,Very early ponds,,,,,,,
1976,5/14/2015,Very early ponds,,,,,,,
1977,3/31/2015,Very early ponds,,,,,,,
1978,5/10/2015,Very early ponds,,,,,,,
1979,3/16/2015,Very early ponds,,,,,,,
1980,4/7/2015,Very early ponds,,,,,,,
1981,4/21/2015,Very early ponds,,,,,,,
1982,4/6/2015,Very early ponds,,,,,,,
1983,4/23/2015,Very early ponds,,,,,,,
1984,5/16/2015,Very early ponds,,,,,,,
1985,4/21/2015,Very early ponds,,,,,,,
1986,4/11/2015,Very early ponds,,,,,,,
1987,3/31/2015,Very early ponds,,,,,,,
1988,3/29/2015,Very early ponds,,,,,,,
1989,4/18/2015,Very early ponds,,,,,,,
1990,5/6/2015,Very early ponds,,,,,,,
1991,4/15/2015,Very early ponds,,,,,,,
1992,5/14/2015,Very early ponds,,,,,,,
1993,5/9/2015,Very early ponds,,,,,,,
1994,4/17/2015,Very early ponds,,,,,,,
1995,4/18/2015,Very early ponds,,,,,,,
1996,3/16/2015,Very early ponds,,,,,,,
1997,4/15/2015,Very early ponds,,,,,,,
1998,4/6/2015,Very early ponds,,,,,,,
1999,3/27/2015,Very early ponds,,,,,,,
2000,4/6/2015,Very early ponds,,,,,,,
2001,4/12/2015,Very early ponds,,,,,,,
2002,4/27/2015,Very early ponds,,,,,,,
2003,4/8/2015,Very early ponds,,,,,,,
2004,4/18/2015,Very early ponds,,,,,,,
2005,2/10/2015,Very early ponds,,,,,,,
2006,3/19/2015,Very early ponds,,,,,,,
2007,2/10/2015,Very early ponds,,,,,,,
2008,4/20/2015,Very early ponds,,,,,,,
2009,4/23/2015,Very early ponds,,,,,,,
2010,3/17/2015,Very early ponds,,,,,,,
2011,4/28/2015,Very early ponds,,,,,,,
2012,3/26/2015,Very early ponds,,,,,,,
2013,3/8/2015,Very early ponds,,,,,,,
2014,4/22/2015,Very early ponds,,,,,,,
2015,4/25/2015,Very early ponds,,,,,,,
2016,2/17/2015,Very early ponds,,,,,,,
2017,4/22/2015,Very early ponds,,,,,,,
1974,5/6/2015,Early ponds,,,,,,,
1975,5/25/2015,Early ponds,,,,,,,
1976,5/26/2015,Early ponds,,,,,,,
1977,4/30/2015,Early ponds,,,,,,,
1978,5/24/2015,Early ponds,,,,,,,
1979,5/5/2015,Early ponds,,,,,,,
1980,5/10/2015,Early ponds,,,,,,,
1981,5/19/2015,Early ponds,,,,,,,
1982,5/11/2015,Early ponds,,,,,,,
1983,5/17/2015,Early ponds,,,,,,,
1984,5/31/2015,Early ponds,,,,,,,
1985,5/4/2015,Early ponds,,,,,,,
1986,5/2/2015,Early ponds,,,,,,,
1987,5/6/2015,Early ponds,,,,,,,
1988,5/10/2015,Early ponds,,,,,,,
1989,5/2/2015,Early ponds,,,,,,,
1990,5/15/2015,Early ponds,,,,,,,
1991,5/20/2015,Early ponds,,,,,,,
1992,5/29/2015,Early ponds,,,,,,,
1993,5/11/2015,Early ponds,,,,,,,
1994,4/27/2015,Early ponds,,,,,,,
1995,4/25/2015,Early ponds,,,,,,,
1996,4/17/2015,Early ponds,,,,,,,
1997,5/2/2015,Early ponds,,,,,,,
1998,4/29/2015,Early ponds,,,,,,,
1999,4/21/2015,Early ponds,,,,,,,
2000,4/17/2015,Early ponds,,,,,,,
2001,5/4/2015,Early ponds,,,,,,,
2002,5/6/2015,Early ponds,,,,,,,
2003,4/25/2015,Early ponds,,,,,,,
2004,4/29/2015,Early ponds,,,,,,,
2005,3/2/2015,Early ponds,,,,,,,
2006,4/29/2015,Early ponds,,,,,,,
2007,5/2/2015,Early ponds,,,,,,,
2008,4/27/2015,Early ponds,,,,,,,
2009,5/8/2015,Early ponds,,,,,,,
2010,4/21/2015,Early ponds,,,,,,,
2011,5/17/2015,Early ponds,,,,,,,
2012,4/25/2015,Early ponds,,,,,,,
2013,3/28/2015,Early ponds,,,,,,,
2014,5/8/2015,Early ponds,,,,,,,
2015,5/6/2015,Early ponds,,,,,,,
2016,3/29/2015,Early ponds,,,,,,,
2017,4/27/2015,Early ponds,,,,,,,
1974,5/13/2015,Average ponds,,,,,,,
1975,5/27/2015,Average ponds,,,,,,,
1976,5/27/2015,Average ponds,,,,,,,
1977,5/4/2015,Average ponds,,,,,,,
1978,5/30/2015,Average ponds,,,,,,,
1979,5/13/2015,Average ponds,,,,,,,
1980,5/15/2015,Average ponds,,,,,,,
1981,5/21/2015,Average ponds,,,,,,,
1982,5/22/2015,Average ponds,,,,,,,
1983,5/22/2015,Average ponds,,,,,,,
1984,6/2/2015,Average ponds,,,,,,,
1985,5/7/2015,Average ponds,,,,,,,
1986,5/5/2015,Average ponds,,,,,,,
1987,5/11/2015,Average ponds,,,,,,,
1988,5/13/2015,Average ponds,,,,,,,
1989,5/22/2015,Average ponds,,,,,,,
1990,5/18/2015,Average ponds,,,,,,,
1991,5/24/2015,Average ponds,,,,,,,
1992,6/6/2015,Average ponds,,,,,,,
1993,5/16/2015,Average ponds,,,,,,,
1994,5/2/2015,Average ponds,,,,,,,
1995,5/4/2015,Average ponds,,,,,,,
1996,4/25/2015,Average ponds,,,,,,,
1997,5/6/2015,Average ponds,,,,,,,
1998,5/15/2015,Average ponds,,,,,,,
1999,5/18/2015,Average ponds,,,,,,,
2000,5/13/2015,Average ponds,,,,,,,
2001,5/13/2015,Average ponds,,,,,,,
2002,5/9/2015,Average ponds,,,,,,,
2003,4/29/2015,Average ponds,,,,,,,
2004,5/2/2015,Average ponds,,,,,,,
2005,5/6/2015,Average ponds,,,,,,,
2006,5/1/2015,Average ponds,,,,,,,
2007,5/6/2015,Average ponds,,,,,,,
2008,4/30/2015,Average ponds,,,,,,,
2009,5/9/2015,Average ponds,,,,,,,
2010,4/24/2015,Average ponds,,,,,,,
2011,5/24/2015,Average ponds,,,,,,,
2012,4/29/2015,Average ponds,,,,,,,
2013,4/22/2015,Average ponds,,,,,,,
