Site,Year,SiteYear,Date,Day,Totallarvliter,Totalpupaeliter,TotalBeetleliter,Totallnliter,Stdevtotalliter,Sterrortotalliter,Beetles,Emergence
Black,2011,Black2011,24-May-11,24-May-17,3.518023645,0,0,3.518023645,0.551339023,0.142355124,Before,Before
Black,2011,Black2011,30-May-11,30-May-17,2.485132176,0,0,2.485132176,0.369995543,0.095532438,Before,Before
Black,2011,Black2011,1-Jun-11,1-Jun-17,2.700869198,0,0,2.700869198,0.549872335,0.141976426,Before,Before
Black,2011,Black2011,6-Jun-11,6-Jun-17,1.85401062,0.569111226,0.11107402,1.941854646,0.953540733,0.246203159,After,Before
Black,2011,Black2011,8-Jun-11,8-Jun-17,2.167079412,1.368204826,0.080941678,2.472360793,0.696267445,0.179775481,After,Before
Black,2011,Black2011,13-Jun-11,13-Jun-17,0,1.571754429,0.62292294,1.571754429,0.447780709,0.115616482,After,Before
Black,2011,Black2011,15-Jun-11,15-Jun-17,0,0.765018974,0.282412723,0.765018974,0.464143508,0.119841338,After,After
Black,2011,Black2011,17-Jun-11,17-Jun-17,0,0.313283993,0.399790649,0.313283993,0.501528954,0.129494219,After,After
Black,2012,Black2012,8-May-12,8-May-17,2.983659782,0,0,2.983659782,0.922835822,0.238275185,Before,Before
Black,2012,Black2012,11-May-12,11-May-17,2.905089199,0,0,2.905089199,0.594004513,0.153371306,Before,Before
Black,2012,Black2012,14-May-12,14-May-17,3.203317676,0,0,3.203317676,0.409850431,0.105822926,Before,Before
Black,2012,Black2012,16-May-12,16-May-17,2.562266058,0,0,2.562266058,0.530653483,0.13701414,Before,Before
Black,2012,Black2012,18-May-12,18-May-17,2.126869742,0,0,2.126869742,0.4179143,0.107905008,Before,Before
Black,2012,Black2012,21-May-12,21-May-17,2.085884621,0.060264683,0.060264683,2.093721756,0.57250593,0.147820396,After,Before
Black,2012,Black2012,23-May-12,23-May-17,1.268481401,0.716607562,0.141206362,1.557721852,0.558277701,0.144146683,After,Before
Black,2012,Black2012,28-May-12,28-May-17,0.090397025,1.14146863,0.385417559,1.168359138,0.666954089,0.172206805,After,Before
Black,2012,Black2012,31-May-12,31-May-17,0,0.825813393,0.030132342,0.825813393,0.663168769,0.17122944,After,After
Black,2012,Black2012,4-Jun-12,4-Jun-17,0,0.030132342,0.030132342,0.030132342,0.116702057,0.030132342,After,After
Black,2012,Black2012,7-Jun-12,7-Jun-17,0,0,0.090397025,0,0,0,After,After
Black,2012,Black2012,12-Jun-12,12-Jun-17,0,0,0.199834971,0,0,0,After,After
Black,2016,Black2016(dry),24-May-16,24-May-17,0,0,0,0,NA,NA,Before,
Black,2017,Black2017,17-May-17,17-May-17,0.189602162,0,0,0.189602162,0.404263906,0.104380492,Before,Before
Black,2017,Black2017,22-May-17,22-May-17,0.045198512,0,0.045198512,0.045198512,0.142930246,0.045198512,After,Before
Dispersal pond,2017,Dispersal pond2017,1-Jun-17,1-Jun-17,0.800317189,2.518174934,0,2.631349563,0.600623028,0.189933678,Before,
East,2011,East2011,24-May-11,24-May-17,2.618206726,0,0,2.618206726,0.556648501,0.143726025,Before,Before
East,2011,East2011,30-May-11,30-May-17,2.230778344,0.090397025,0.236271218,2.251992372,0.694146189,0.179227775,After,Before
East,2011,East2011,1-Jun-11,1-Jun-17,1.841989561,0.060264683,0.177642609,1.853090963,0.614467758,0.158654893,After,Before
East,2011,East2011,6-Jun-11,6-Jun-17,1.323317391,0.090397025,0.060264683,1.35350512,0.462291465,0.119363143,After,Before
East,2011,East2011,8-Jun-11,8-Jun-17,0.934168722,0.20777495,0.090397025,1.058376757,0.44165732,0.11403543,After,Before
East,2011,East2011,13-Jun-11,13-Jun-17,0.31884897,0.78301557,0.171338703,0.952760024,0.517215159,0.13354438,After,Before
