Year,Date,Time,DateTime,Airport,Experiment,Ice,Oil,Vulgaris,VulgarisRoad,Black,East
2011,5/24/2011,1:00,5/24/2011 1:00,-1,,1.5,,2,,0.5,3.5
2011,5/24/2011,2:00,5/24/2011 2:00,-3,,1,,1.5,,0.5,2.5
2011,5/24/2011,3:00,5/24/2011 3:00,-3,,1,,1,,0.5,2
2011,5/24/2011,4:00,5/24/2011 4:00,-4,,0.5,,1,,0,1.5
2011,5/24/2011,5:00,5/24/2011 5:00,-4,,0.5,,0.5,,0,1.5
2011,5/24/2011,6:00,5/24/2011 6:00,-2,,0.5,,1,,0.5,1.5
2011,5/24/2011,7:00,5/24/2011 7:00,-1,,1,,1.5,,1,2
2011,5/24/2011,8:00,5/24/2011 8:00,0,,1.5,,2.5,,1,2.5
2011,5/24/2011,9:00,5/24/2011 9:00,1,,3,,3.5,,2.5,3.5
2011,5/24/2011,10:00,5/24/2011 10:00,2,,4,,4.5,,3.5,4.5
2011,5/24/2011,11:00,5/24/2011 11:00,2,,4.5,,5.5,,4.5,5.5
2011,5/24/2011,12:00,5/24/2011 12:00,3,,5.5,,8.5,,6.5,7.5
2011,5/24/2011,13:00,5/24/2011 13:00,4,,8.5,,11.5,,7.5,9.5
2011,5/24/2011,14:00,5/24/2011 14:00,5,,11,,14,,8.5,10.5
2011,5/24/2011,15:00,5/24/2011 15:00,5,,13,,15.5,,10,11.5
2011,5/24/2011,16:00,5/24/2011 16:00,6,,14,,16.5,,10.5,12
2011,5/24/2011,17:00,5/24/2011 17:00,6,,14,,16.5,,10,12.5
2011,5/24/2011,18:00,5/24/2011 18:00,6,,13.5,,15.5,,6,12
2011,5/24/2011,19:00,5/24/2011 19:00,,,12.5,,13.5,,2.5,11
2011,5/24/2011,20:00,5/24/2011 20:00,6,,11,,11.5,,4.5,8.5
2011,5/24/2011,21:00,5/24/2011 21:00,4,,8,,9,,4,6.5
2011,5/24/2011,22:00,5/24/2011 22:00,3,,6,,6.5,,3,5
2011,5/24/2011,23:00,5/24/2011 23:00,2,,3.5,,5,,2.5,4.5
2011,5/25/2011,0:00,5/25/2011 0:00,1,,2.5,,4,,1.5,3.5
2011,5/25/2011,1:00,5/25/2011 1:00,0,,2,,3.5,,1,3
2011,5/25/2011,2:00,5/25/2011 2:00,-2,,1,,2.5,,0.5,2.5
2011,5/25/2011,3:00,5/25/2011 3:00,-2,,1,,2,,0.5,2
2011,5/25/2011,4:00,5/25/2011 4:00,-3,,0.5,,2,,0.5,1.5
2011,5/25/2011,5:00,5/25/2011 5:00,-4,,0.5,,1.5,,0.5,1.5
2011,5/25/2011,6:00,5/25/2011 6:00,-2,,0.5,,1.5,,0.5,1.5
2011,5/25/2011,7:00,5/25/2011 7:00,-1,,1,,2,,1,2
2011,5/25/2011,8:00,5/25/2011 8:00,0,,2,,2.5,,1.5,2.5
2011,5/25/2011,9:00,5/25/2011 9:00,2,,3,,3.5,,3,3.5
2011,5/25/2011,10:00,5/25/2011 10:00,3,,4,,4.5,,5.5,4.5
2011,5/25/2011,11:00,5/25/2011 11:00,4,,5,,6.5,,8,5.5
2011,5/25/2011,12:00,5/25/2011 12:00,6,,8.5,,10.5,,7.5,8
2011,5/25/2011,13:00,5/25/2011 13:00,7,,12,,13.5,,8,10
