"","Site","Year","SampDate1","EmerDate","LnImmatureslitersampdate1","slope","lnBeetleliter","DOCmean","Temp","Pupaemass","Winglength","percapitamort"
"1","Black",2011,"5/24/2011","6/16/2011",3.518023645,-0.103641598340688,0.156764480264348,NA,9.18280467445743,1.49121739130435,NA,0.103641598340688
"2","Black",2012,"5/8/2012","5/28/2012",2.983659782,-0.102479469348944,0.0733610754482793,NA,8.1310861423221,NA,NA,0.102479469348944
"3","Dispersal pond",2017,"6/1/2017","",2.631349563,NA,NA,NA,NA,NA,NA,NA
"4","East",2011,"5/24/2011","6/14/2011",2.618206726,-0.0922849866258155,0.122652372928808,NA,8.69237749546279,1.20052083333333,NA,0.0922849866258155
"5","East",2012,"5/8/2012","6/2/2012",0.749224071,-0.00993722778557752,0.0313791914559418,NA,5.74498207885305,NA,NA,0.00993722778557752
"6","East",2017,"5/17/2017","6/11/2017",1.960963159,-0.0486789713327763,0.0937086941298979,44.2522222222222,NA,1.00791666666667,9.21666666666667,0.0486789713327763
"7","Experiment",2017,"","6/10/2017",NA,NA,NA,43.1233333333333,7.99333258928571,NA,NA,NA
"8","Ice",2011,"5/24/2011","6/14/2011",0.747813486,-0.0213145809749969,0.391958519695689,NA,7.7967332123412,NA,NA,0.0213145809749969
"9","Ice",2012,"5/8/2012","6/4/2012",0.226038409,-0.00674144542674871,0.268978783637624,NA,8.3306784660767,NA,NA,0.00674144542674871
"10","Ice",2017,"5/17/2017","6/7/2017",1.305335842,-0.0564006057732466,0.3802606047428,26.3283333333333,9.30273280943026,1.64125,10.7041666666667,0.0564006057732466
"11","JuncusTown",2017,"5/19/2017","5/28/2017",0.852294641,-0.0276726267621636,0,23.3733333333333,NA,0.93625,8.925,0.0276726267621636
"12","Mozvalley",2017,"5/23/2017","6/6/2017",3.090713173,-0.0728803588164794,0.159655341490549,46.0183333333333,NA,1.09785714285714,9.77083333333333,0.0728803588164794
"13","NoOil",2017,"5/19/2017","5/29/2017",2.811124339,-0.0171469698383391,0.135380548905114,45.3966666666667,NA,NA,8.625,0.0171469698383391
"14","Oil",2017,"5/17/2017","5/30/2017",1.706054819,-0.0380970293142593,0.0384031396709729,38.6916666666667,9.66832775919733,1.37391304347826,10.1416666666667,0.0380970293142593
"15","SBS",2017,"5/17/2017","6/3/2017",2.770484152,-0.209931418273149,0.0893465444638513,24.7366666666667,NA,1.2076,9.74166666666667,0.209931418273149
"16","SeahorseWetland",2017,"5/23/2017","6/10/2017",1.082250713,0.0118516054958705,0.191103229281467,24.79,NA,1.0424,9.7875,-0.0118516054958705
"17","ShotgunFairy",2017,"5/17/2017","6/1/2017",0.842335114,-0.0393480385590648,0.0301323415828705,57.8955555555556,NA,NA,NA,0.0393480385590648
"18","Target",2017,"5/17/2017","6/5/2017",1.224219606,NA,NA,48.7966666666667,NA,1.57785714285714,10.3291666666667,NA
"19","Vulgaris",2011,"5/24/2011","6/12/2011",2.998784974,-0.0510286016204166,0.354726831863761,NA,7.84990059642147,NA,NA,0.0510286016204166
"20","Vulgaris",2012,"5/8/2012","5/23/2012",2.629267575,-0.0942593540987279,0.147094402760682,NA,6.30804597701149,NA,NA,0.0942593540987279
"21","Vulgaris",2017,"5/17/2017","6/3/2017",2.907141002,-0.0290613853557911,0.214142261816957,75.15,8.74328571428571,1.084,9.49166666666667,0.0290613853557911
"22","Vulgaris road",2017,"5/20/2017","6/5/2017",2.390470849,-0.00120722972992329,0.295648167854394,59.365,NA,NA,9.6625,0.00120722972992329
"23","Vulgaris small",2017,"5/20/2017","6/7/2017",1.659184654,-0.0555336628148274,0.167665360567292,45.0283333333333,NA,NA,10.1291666666667,0.0555336628148274
"24","Waterfall",2017,"6/4/2017","",2.186228749,NA,NA,NA,NA,NA,NA,NA
