,Site,Year,SampDate1,EmerDate,LnImmatureslitersampdate1,percapitamort,lnBeetleliter,DOCmean,Temp,Pupaemass,Winglength,AdultMass,Adultemer
1,Black,2011,5/24/2011,6/16/2011,3.518023645,0.103641598,0.15676448,,9.182804674,1.491217391,,,
2,Black,2012,5/8/2012,5/28/2012,2.983659782,0.102479469,0.073361075,,8.131086142,,,,50.5
3,Dispersal pond,2017,6/1/2017,,2.631349563,,,,,,,,
4,East,2011,5/24/2011,6/14/2011,2.618206726,0.092284987,0.122652373,,8.692377495,1.200520833,,,
5,East,2012,5/8/2012,6/2/2012,0.749224071,0.009937228,0.031379191,,5.744982079,,,,68.5
6,East,2017,5/17/2017,6/11/2017,1.960963159,0.048678971,0.093708694,44.25222222,,1.007916667,9.216666667,0.626666667,2.3
7,Experiment,2017,,6/10/2017,,,,43.12333333,7.993332589,,,,
8,Ice,2011,5/24/2011,6/14/2011,0.747813486,0.021314581,0.39195852,,7.796733212,,,,
9,Ice,2012,5/8/2012,6/4/2012,0.226038409,0.006741445,0.268978784,,8.330678466,,,,0
10,Ice,2017,5/17/2017,6/7/2017,1.305335842,0.056400606,0.380260605,26.32833333,9.302732809,1.64125,10.70416667,1.7,7.66
11,JuncusTown,2017,5/19/2017,5/28/2017,0.852294641,0.027672627,0,23.37333333,,0.93625,8.925,0.692083333,
12,Mozvalley,2017,5/23/2017,6/6/2017,3.090713173,0.072880359,0.159655341,46.01833333,,1.097857143,9.770833333,,
13,NoOil,2017,5/19/2017,5/29/2017,2.811124339,0.01714697,0.135380549,45.39666667,,,8.625,,
14,Oil,2017,5/17/2017,5/30/2017,1.706054819,0.038097029,0.03840314,38.69166667,9.668327759,1.373913043,10.14166667,,130.6
15,SBS,2017,5/17/2017,6/3/2017,2.770484152,0.209931418,0.089346544,24.73666667,,1.2076,9.741666667,0.867083333,
16,SeahorseWetland,2017,5/23/2017,6/10/2017,1.082250713,-0.011851605,0.191103229,24.79,,1.0424,9.7875,0.8275,
17,ShotgunFairy,2017,5/17/2017,6/1/2017,0.842335114,0.039348039,0.030132342,57.89555556,,,,,
18,Target,2017,5/17/2017,6/5/2017,1.224219606,,,48.79666667,,1.577857143,10.32916667,,
19,Vulgaris,2011,5/24/2011,6/12/2011,2.998784974,0.051028602,0.354726832,,7.849900596,,,,
20,Vulgaris,2012,5/8/2012,5/23/2012,2.629267575,0.094259354,0.147094403,,6.308045977,,,,135
21,Vulgaris,2017,5/17/2017,6/3/2017,2.907141002,0.029061385,0.214142262,75.15,8.743285714,1.084,9.491666667,,34.667
22,Vulgaris road,2017,5/20/2017,6/5/2017,2.390470849,0.00120723,0.295648168,59.365,,,9.6625,0.971666667,24
23,Vulgaris small,2017,5/20/2017,6/7/2017,1.659184654,0.055533663,0.167665361,45.02833333,,,10.12916667,,6.33
24,Waterfall,2017,6/4/2017,,2.186228749,,,,,,,,
