Site,Year,SiteYear,Datefirst,Dayfirst,FirstEmer,FirstEmerDay,PeakEmer,PeakEmerDay,Emergencedata,Larvaepupaeliter,Stdevliter,Sterrorliter,Adultsemertrap,Beetleavg,Beetlestdev,Beetlesterror,Maxpupaeliter,SterrorPupaeliter,DOCmean,DOCmean2,Tempmean,Avgmass,Sdmass,semass,percapitamortint,percapitamortslope,
Black,2011,Black2011,5/24/2011,5/24/2017,6/9/2011,6/9/2017,6/14/2011,6/14/2017,Pupae,3.51802364,0.551339,0.14235512,,0.9206349,0.5161468,0.08602447,4.91428571,1.63042024,,,7.060052,,,,1287.2174,-0.084924696,
Black,2012,Black2012,5/8/2012,5/8/2017,5/31/2012,5/31/2017,6/4/2012,6/4/2017,Trap,2.98365978,0.9228358,0.23827518,50.5,0.8,0.4665695,0.09331389,2.85714286,0.70978172,,,8.131086,1.182574468,0.183542407,0.026772412,1588.4383,-0.102479469,
Black,2017,Black2017,,,,,,,,,,,0,0.5714286,0,0,0,,,,,,,,,,
Dispersal pond,2017,Dispersal pond2017,6/1/2017,6/1/2017,,,,,,2.631349563,0.600623028,0.189933678,,,,,13.42857143,2.49407461,,,,,,,,,
East,2011,East2011,5/24/2011,5/24/2017,6/13/2011,6/13/2017,6/15/2011,6/15/2017,Pupae,2.61820673,0.5566485,0.14372602,,0.8163265,0.4515149,0.08532829,1.44761905,0.30982194,,44.25222222,8.256785,,,,397.7994,-0.092284987,
East,2012,East2012,5/16/2012,5/16/2017,6/4/2012,6/4/2017,6/4/2012,6/4/2017,Trap,1.10508445,0.9309843,0.24037912,68.5,0.6530612,0.2075066,0.05545847,0.76190476,0.30982194,,44.25222222,6.653016,1.187965116,0.280967339,0.030297487,154.6684,-0.009937228,
East,2016,East2016,,,,,,,,,,,,1,0.7925798,0.20464322,3.00952381,0.56724089,,44.25222222,,,,,,,
East,2017,East2017,5/17/2017,5/17/2017,6/8/2017,6/8/2017,6/11/2017,6/11/2017,Pupae,2.24209767,0.9966369,0.25733055,,0.9904762,0.665233,0.14875061,1.18095238,0.27014256,44.25222222,44.25222222,,0.626666667,0.138948432,0.05672546,953.2022,-0.054961199,
Experiment,2017,Experiment2017,,,6/26/2017,6/26/2017,6/30/2017,6/30/2017,Observation,,,,,,,,,,43.12333333,43.12333333,7.993333,,,,,,
Ice,2011,Ice2011,5/24/2011,5/24/2017,6/11/2011,6/11/2017,6/16/2011,6/16/2017,Pupae,1.15063882,0.7249414,0.18717907,,1.3419913,1.3353963,0.16437593,1.56190476,0.53040987,,26.32833333,7.626186,,,,323.1737,-0.021314581,
Ice,2012,Ice2012,5/8/2012,5/8/2017,6/10/2012,6/10/2017,6/12/2012,6/12/2017,Pupae,0.3422755,0.4007299,0.10346801,0,1.047619,0.6425022,0.09914024,0.03809524,0.03809524,,26.32833333,8.736434,,,,104.5436,-0.006741445,
Ice,2016,Ice2016,,,,,,,,,,,,0.7346939,0.2788286,0.1053873,2.01904762,0.45258499,,26.32833333,,,,,,,
