Site,Year,SiteYear,Date,Day,EmerDate,Larvaepupaeliter,Stdevliter,Sterrorliter,Adultsemertrap,Beetleavg,Beetlestdev,Beetlesterror,Maxpupaeliter,SterrorPupaeliter,DOCmean,DOCmean2,Tempmean
Black,2011,Black2011,5/24/2011,5/24/2017,6/16/2011,3.51802364,0.551339,0.14235512,,0.9206349,0.5161468,0.08602447,4.91428571,1.63042024,,,9.182804674
Black,2012,Black2012,5/8/2012,5/8/2017,5/28/2012,2.98365978,0.9228358,0.23827518,50.5,0.8,0.4665695,0.09331389,2.85714286,0.70978172,,,8.131086142
Black,2017,Black2017,,,,,,,0,0.5714286,0,0,0,,,,
Dispersal pond,2017,Dispersal pond2017,6/1/2017,6/1/2017,,2.631349563,0.600623028,0.189933678,,,,,13.42857143,2.49407461,,,
East,2011,East2011,5/24/2011,5/24/2017,6/14/2011,2.61820673,0.5566485,0.14372602,,0.8163265,0.4515149,0.08532829,1.44761905,0.30982194,,44.25222222,8.692377495
East,2012,East2012,5/16/2012,5/16/2017,6/2/2012,1.10508445,0.9309843,0.24037912,68.5,0.6530612,0.2075066,0.05545847,0.76190476,0.30982194,,44.25222222,5.744982079
East,2016,East2016,,,,,,,,1,0.7925798,0.20464322,3.00952381,0.56724089,,44.25222222,
East,2017,East2017,5/17/2017,5/17/2017,6/11/2017,2.24209767,0.9966369,0.25733055,,0.9904762,0.665233,0.14875061,1.18095238,0.27014256,44.25222222,44.25222222,
Experiment,2017,Experiment2017,,,6/10/2017,,,,,,,,,,43.12333333,43.12333333,7.993332589
Ice,2011,Ice2011,5/24/2011,5/24/2017,6/14/2011,1.15063882,0.7249414,0.18717907,,1.3419913,1.3353963,0.16437593,1.56190476,0.53040987,,26.32833333,7.796733212
Ice,2012,Ice2012,5/8/2012,5/8/2017,6/4/2012,0.3422755,0.4007299,0.10346801,0,1.047619,0.6425022,0.09914024,0.03809524,0.03809524,,26.32833333,8.330678466
Ice,2016,Ice2016,,,,,,,,0.7346939,0.2788286,0.1053873,2.01904762,0.45258499,,26.32833333,
Ice,2017,Ice2017,5/17/2017,5/17/2017,6/7/2017,1.83243564,0.5860576,0.15131943,7.66,1.5824176,1.4916108,0.23884889,4,0.65982888,26.32833333,26.32833333,9.302732809
JuncusTown,2017,JuncusTown2017,5/19/2017,5/19/2017,5/28/2017,0.85229464,0.7084643,0.1829247,,0,0,0,1.14285714,0.34376298,23.37333333,23.37333333,
Mozvalley,2017,Mozvalley2017,5/23/2017,5/23/2017,6/6/2017,3.09071317,0.597595,0.15429837,,0.6666667,0.2939976,0.06929589,9.33333333,1.90557806,46.01833333,46.01833333,
NoOil,2017,NoOil2017,5/19/2017,5/19/2017,5/29/2017,2.81112434,0.3825905,0.12753018,,0.6428571,0.2020305,0.07142857,18.62857143,4.81132451,45.39666667,45.39666667,
Oil,2017,Oil2017,5/17/2017,5/17/2017,5/30/2017,1.70605482,0.6088064,0.15719312,130.667,0.7619048,0.2950844,0.12046772,3.23809524,0.76800281,38.69166667,38.69166667,9.668327759
SBS,2017,SBS2017,5/17/2017,5/17/2017,6/3/2017,2.77048415,0.9217143,0.2379856,,0.6984127,0.2950844,0.12046772,0.4952381,0.22902449,24.73666667,24.73666667,
SeahorseWetland,2017,SeahorseWetland2017,5/23/2017,5/23/2017,6/10/2017,1.24947597,0.8468887,0.21866573,,1.0225564,1.0359339,0.23765954,3.65714286,0.86355875,24.79,24.79,
ShotgunFairy,2017,ShotgunFairy2017,5/17/2017,5/17/2017,6/1/2017,0.84233511,0.8733531,0.22549881,,0.5714286,0,0,0.11428571,0.06108828,57.89555556,57.89555556,
Target,2017,Target2017,5/17/2017,5/17/2017,6/5/2017,1.224219606,0.822826011,0.212452762,,0.952381,0.3721937,0.10744306,2.13333333,0.61460467,48.79666667,48.79666667,
Vulgaris,2016,Vulgaris2016,,,,,,,,1.0612245,0.5141345,0.19432458,1.63809524,0.28905081,,75.15,
Vulgaris,2011,Vulgaris2011,5/24/2011,5/24/2017,6/12/2011,2.99878497,0.8738909,0.22563765,,1.2807882,0.7362369,0.09667264,4.07619048,1.18147893,,75.15,7.849900596
Vulgaris,2012,Vulgaris2012,5/8/2012,5/8/2017,5/23/2012,2.68212743,0.6963784,0.17980412,135,1.025641,0.9193421,0.14721255,6.05714286,1.33348882,,75.15,6.308045977
Vulgaris,2017,Vulgaris2017,5/17/2017,5/17/2017,6/3/2017,3.19712343,0.460425,0.11888123,34.66,1.1729323,0.9575421,0.15533384,13.44761905,2.34803918,75.15,75.15,8.743285714
Vulgaris road,2017,Vulgaris road2017,5/20/2017,5/20/2017,6/5/2017,2.48993604,0.4147226,0.10708091,24,1.0173651,0.6226478,0.10377464,11.84761905,1.88490328,59.365,59.365,
Vulgaris small,2017,Vulgaris small2017,5/20/2017,5/20/2017,6/7/2017,2.03136012,1.7949927,0.46346512,6.33,1.0588235,0.5990279,0.10273244,2.32380952,0.88431606,45.02833333,45.02833333,
Waterfall,2017,Waterfall2017,6/4/2017,6/4/2017,,2.186228749,0.548162776,0.17334429,,0.6666667,0.2332847,0.0952381,7.88571429,1.18891326,,,
