Site,Year,Date,Day,EmerDate,Larvaepupaeliter,Stdevliter,Sterrorliter
Black,2011,5/24/2011,5/24/2017,6/16/2011,3.518023645,0.551339023,0.142355124
East,2011,5/24/2011,5/24/2017,6/14/2011,2.618206726,0.556648501,0.143726025
Ice,2011,5/24/2011,5/24/2017,6/14/2011,0.747813486,0.535217464,0.138192555
Vulgaris,2011,5/24/2011,5/24/2017,6/12/2011,2.998784974,0.873890878,0.225637655
Black,2012,5/8/2012,5/8/2017,5/28/2012,2.983659782,0.922835822,0.238275185
East,2012,5/8/2012,5/8/2017,6/2/2012,0.749224071,1.092125627,0.281985624
Ice,2012,5/8/2012,5/8/2017,6/4/2012,0.226038409,0.45147487,0.11657031
Vulgaris,2012,5/8/2012,5/8/2017,5/23/2012,2.629267575,1.26946733,0.327775055
East,2017,5/17/2017,5/17/2017,6/11/2017,1.960963159,1.346267591,0.347604797
Ice,2017,5/17/2017,5/17/2017,6/7/2017,1.305335842,0.954701914,0.246502974
JuncusTown,2017,5/19/2017,5/19/2017,5/28/2017,0.852294641,0.708464321,0.182924701
Mozvalley,2017,5/23/2017,5/23/2017,6/6/2017,3.090713173,0.597595009,0.154298368
NoOil,2017,5/19/2017,5/19/2017,5/29/2017,2.811124339,0.382590549,0.127530183
Oil,2017,5/17/2017,5/17/2017,5/30/2017,1.706054819,0.608806354,0.157193125
SBS,2017,5/17/2017,5/17/2017,6/3/2017,2.770484152,0.921714283,0.237985605
SeahorseWetland,2017,5/23/2017,5/23/2017,6/10/2017,1.082250713,0.742832692,0.191798576
ShotgunFairy,2017,5/17/2017,5/17/2017,6/1/2017,0.842335114,0.873353137,0.22549881
Target,2017,5/17/2017,5/17/2017,6/5/2017,1.224219606,0.822826011,0.212452762
Vulgaris,2017,5/17/2017,5/17/2017,6/3/2017,2.907141002,1.248715408,0.224275908
Vulgaris road,2017,5/20/2017,5/20/2017,6/5/2017,2.390470849,0.647916898,0.167291424
Vulgaris small,2017,5/20/2017,5/20/2017,6/7/2017,1.659184654,1.41345443,0.364952364
Dispersal pond,2017,6/1/2017,6/1/2017,,2.631349563,0.600623028,0.189933678
Waterfall,2017,6/4/2017,6/4/2017,,2.186228749,0.548162776,0.17334429
Experiment,2017,,,6/10/2017,,,
