Site,Year,SiteYear,Date,Day,EmerDate,Larvaepupaeliter,Stdevliter,Sterrorliter,Adultsemertrap
Black,2011,Black2011,5/24/2011,5/24/2017,6/16/2011,3.51802364,0.551339,0.14235512,
Black,2012,Black2012,5/8/2012,5/8/2017,5/28/2012,2.98365978,0.9228358,0.23827518,50.5
Dispersal pond,2017,Dispersal pond2017,6/1/2017,6/1/2017,,2.631349563,0.600623028,0.189933678,
East,2011,East2011,5/24/2011,5/24/2017,6/14/2011,2.61820673,0.5566485,0.14372602,
East,2012,East2012,5/16/2012,5/16/2017,6/2/2012,1.10508445,0.9309843,0.24037912,68.5
East,2017,East2017,5/17/2017,5/17/2017,6/11/2017,2.24209767,0.9966369,0.25733055,
Experiment,2017,Experiment2017,,,6/10/2017,,,,
Ice,2011,Ice2011,5/24/2011,5/24/2017,6/14/2011,1.15063882,0.7249414,0.18717907,
Ice,2012,Ice2012,5/8/2012,5/8/2017,6/4/2012,0.3422755,0.4007299,0.10346801,0
Ice,2017,Ice2017,5/17/2017,5/17/2017,6/7/2017,1.83243564,0.5860576,0.15131943,7.66
JuncusTown,2017,JuncusTown2017,5/19/2017,5/19/2017,5/28/2017,0.85229464,0.7084643,0.1829247,
Mozvalley,2017,Mozvalley2017,5/23/2017,5/23/2017,6/6/2017,3.09071317,0.597595,0.15429837,
NoOil,2017,NoOil2017,5/19/2017,5/19/2017,5/29/2017,2.81112434,0.3825905,0.12753018,
Oil,2017,Oil2017,5/17/2017,5/17/2017,5/30/2017,1.70605482,0.6088064,0.15719312,130.667
SBS,2017,SBS2017,5/17/2017,5/17/2017,6/3/2017,2.77048415,0.9217143,0.2379856,
SeahorseWetland,2017,SeahorseWetland2017,5/23/2017,5/23/2017,6/10/2017,1.24947597,0.8468887,0.21866573,
ShotgunFairy,2017,ShotgunFairy2017,5/17/2017,5/17/2017,6/1/2017,0.84233511,0.8733531,0.22549881,
Target,2017,Target2017,5/17/2017,5/17/2017,6/5/2017,1.224219606,0.822826011,0.212452762,
Vulgaris,2011,Vulgaris2011,5/24/2011,5/24/2017,6/12/2011,2.99878497,0.8738909,0.22563765,
Vulgaris,2012,Vulgaris2012,5/8/2012,5/8/2017,5/23/2012,2.68212743,0.6963784,0.17980412,135
Vulgaris,2017,Vulgaris2017,5/17/2017,5/17/2017,6/3/2017,3.19712343,0.460425,0.11888123,34.66
Vulgaris road,2017,Vulgaris road2017,5/20/2017,5/20/2017,6/5/2017,2.48993604,0.4147226,0.10708091,24
Vulgaris small,2017,Vulgaris small2017,5/20/2017,5/20/2017,6/7/2017,2.03136012,1.7949927,0.46346512,6.33
Waterfall,2017,Waterfall2017,6/4/2017,6/4/2017,,2.186228749,0.548162776,0.17334429,
