,Site,Year,Date,Day,Larvaepupaeliter,Stdevliter,Sterrorliter
1,Black,2011,5/24/2011,5/24/2017,3.518023645,0.551339023,0.142355124
2,Black,2011,5/30/2011,5/30/2017,2.485132176,0.369995543,0.095532438
3,Black,2011,6/1/2011,6/1/2017,2.700869198,0.549872335,0.141976426
4,Black,2011,6/6/2011,6/6/2017,1.941854646,0.953540733,0.246203159
5,Black,2011,6/8/2011,6/8/2017,2.472360793,0.696267445,0.179775481
6,Black,2011,6/13/2011,6/13/2017,1.571754429,0.447780709,0.115616482
7,Black,2011,6/15/2011,6/15/2017,0.765018974,0.464143508,0.119841338
8,Black,2011,6/17/2011,6/17/2017,0.313283993,0.501528954,0.129494219
9,Black,2012,5/8/2012,5/8/2017,2.983659782,0.922835822,0.238275185
10,Black,2012,5/11/2012,5/11/2017,2.905089199,0.594004513,0.153371306
11,Black,2012,5/14/2012,5/14/2017,3.203317676,0.409850431,0.105822926
12,Black,2012,5/16/2012,5/16/2017,2.562266058,0.530653483,0.13701414
13,Black,2012,5/18/2012,5/18/2017,2.126869742,0.4179143,0.107905008
14,Black,2012,5/21/2012,5/21/2017,2.093721756,0.57250593,0.147820396
15,Black,2012,5/23/2012,5/23/2017,1.557721852,0.558277701,0.144146683
16,Black,2012,5/28/2012,5/28/2017,1.168359138,0.666954089,0.172206805
17,Black,2012,5/31/2012,5/31/2017,0.825813393,0.663168769,0.17122944
18,Black,2012,6/4/2012,6/4/2017,0.030132342,0.116702057,0.030132342
19,Black,2012,6/7/2012,6/7/2017,0,0,0
20,Black,2012,6/12/2012,6/12/2017,0,0,0
21,Black,2017,5/17/2017,5/17/2017,0.189602162,0.404263906,0.104380492
22,Black,2017,5/22/2017,5/22/2017,0.045198512,0.142930246,0.045198512
23,Dispersal pond,2017,6/1/2017,6/1/2017,2.631349563,0.600623028,0.189933678
24,East,2011,5/24/2011,5/24/2017,2.618206726,0.556648501,0.143726025
25,East,2011,5/30/2011,5/30/2017,2.251992372,0.694146189,0.179227775
26,East,2011,6/1/2011,6/1/2017,1.853090963,0.614467758,0.158654893
27,East,2011,6/6/2011,6/6/2017,1.35350512,0.462291465,0.119363143
28,East,2011,6/8/2011,6/8/2017,1.058376757,0.44165732,0.11403543
29,East,2011,6/13/2011,6/13/2017,0.952760024,0.517215159,0.13354438
30,East,2011,6/15/2011,6/15/2017,0.607315687,0.366621225,0.094661193
31,East,2011,6/17/2011,6/17/2017,0.22214804,0.297445175,0.076800014
32,East,2012,5/8/2012,5/8/2017,0.749224071,1.092125627,0.281985624
33,East,2012,5/11/2012,5/11/2017,0.906843404,1.15336067,0.297796444
34,East,2012,5/14/2012,5/14/2017,0.974013903,1.010207577,0.260834475
35,East,2012,5/16/2012,5/16/2017,1.105084448,0.930984319,0.240379118
36,East,2012,5/18/2012,5/18/2017,0.840905929,0.793355309,0.20484346
37,East,2012,5/21/2012,5/21/2017,0.876712373,0.722174525,0.186464661
38,East,2012,5/23/2012,5/23/2017,0.895642339,0.442327204,0.114208393
39,East,2012,5/28/2012,5/28/2017,0.67777339,0.502176758,0.129661481
40,East,2012,5/31/2012,5/31/2017,0.634631328,0.548245327,0.141556335
41,East,2012,6/4/2012,6/4/2017,0.536088788,0.44224456,0.114187055
42,East,2012,6/7/2012,6/7/2017,0.25617075,0.450392924,0.116290953
43,East,2012,6/12/2012,6/12/2017,0,0,0
44,East,2016,6/4/2016,6/4/2017,0.720569853,0.485446887,0.125341847
45,East,2016,6/7/2016,6/7/2017,0.030132342,0.116702057,0.030132342
46,East,2017,5/17/2017,5/17/2017,1.960963159,1.346267591,0.347604797
47,East,2017,5/19/2017,5/19/2017,2.242097672,0.996636947,0.257330553
48,East,2017,5/22/2017,5/22/2017,1.904802079,0.609980465,0.157496279
49,East,2017,5/25/2017,5/25/2017,1.773570979,0.690249344,0.178221614
50,East,2017,5/28/2017,5/28/2017,1.979345468,0.539339787,0.144144621
51,East,2017,6/1/2017,6/1/2017,1.2887915,0.498264015,0.128651215
52,East,2017,6/5/2017,6/5/2017,1.012900406,0.850855151,0.219689855
53,East,2017,6/8/2017,6/8/2017,1.248470862,0.644803398,0.166487521
54,East,2017,6/11/2017,6/11/2017,0.947684133,0.531664777,0.137275255
55,East,2017,6/14/2017,6/14/2017,0.030132342,0.116702057,0.030132342
56,Ice,2011,5/24/2011,5/24/2017,0.747813486,0.535217464,0.138192555
57,Ice,2011,5/30/2011,5/30/2017,1.150638819,0.724941421,0.18717907
58,Ice,2011,6/1/2011,6/1/2017,0.883790351,0.740967083,0.191316878
59,Ice,2011,6/6/2011,6/6/2017,0.649098997,0.442054652,0.11413802
60,Ice,2011,6/8/2011,6/8/2017,0.275483123,0.507845651,0.131125183
