Date,Day,Site,Year,SiteYear,Sample,Mass,Stage
23-May-11,23-May-17,Black,2011,Black2011,1,0.198,Larvae
23-May-11,23-May-17,Black,2011,Black2011,2,0.152,Larvae
23-May-11,23-May-17,Black,2011,Black2011,3,0.143,Larvae
23-May-11,23-May-17,Black,2011,Black2011,4,0.097,Larvae
23-May-11,23-May-17,Black,2011,Black2011,5,0.134,Larvae
23-May-11,23-May-17,Black,2011,Black2011,6,0.176,Larvae
23-May-11,23-May-17,Black,2011,Black2011,7,0.209,Larvae
23-May-11,23-May-17,Black,2011,Black2011,8,0.172,Larvae
23-May-11,23-May-17,Black,2011,Black2011,9,0.048,Larvae
23-May-11,23-May-17,Black,2011,Black2011,10,0.217,Larvae
23-May-11,23-May-17,Black,2011,Black2011,11,0.256,Larvae
23-May-11,23-May-17,Black,2011,Black2011,12,0.263,Larvae
23-May-11,23-May-17,Black,2011,Black2011,13,0.132,Larvae
23-May-11,23-May-17,Black,2011,Black2011,14,0.18,Larvae
23-May-11,23-May-17,Black,2011,Black2011,15,0.227,Larvae
23-May-11,23-May-17,Black,2011,Black2011,16,0.157,Larvae
23-May-11,23-May-17,Black,2011,Black2011,17,0.071,Larvae
23-May-11,23-May-17,Black,2011,Black2011,18,0.131,Larvae
23-May-11,23-May-17,Black,2011,Black2011,19,0.166,Larvae
23-May-11,23-May-17,Black,2011,Black2011,20,0.183,Larvae
23-May-11,23-May-17,Black,2011,Black2011,21,0.198,Larvae
23-May-11,23-May-17,Black,2011,Black2011,22,0.157,Larvae
23-May-11,23-May-17,Black,2011,Black2011,23,0.207,Larvae
23-May-11,23-May-17,Black,2011,Black2011,24,0.173,Larvae
23-May-11,23-May-17,Black,2011,Black2011,25,0.262,Larvae
23-May-11,23-May-17,Black,2011,Black2011,26,0.214,Larvae
23-May-11,23-May-17,Black,2011,Black2011,27,0.263,Larvae
23-May-11,23-May-17,Black,2011,Black2011,28,0.131,Larvae
23-May-11,23-May-17,Black,2011,Black2011,29,0.139,Larvae
23-May-11,23-May-17,Black,2011,Black2011,30,0.199,Larvae
23-May-11,23-May-17,Black,2011,Black2011,31,0.145,Larvae
23-May-11,23-May-17,Black,2011,Black2011,32,0.195,Larvae
23-May-11,23-May-17,Black,2011,Black2011,33,0.31,Larvae
23-May-11,23-May-17,Black,2011,Black2011,34,0.085,Larvae
23-May-11,23-May-17,Black,2011,Black2011,35,0.13,Larvae
23-May-11,23-May-17,Black,2011,Black2011,36,0.166,Larvae
23-May-11,23-May-17,Black,2011,Black2011,37,0.328,Larvae
23-May-11,23-May-17,Black,2011,Black2011,38,0.061,Larvae
23-May-11,23-May-17,Black,2011,Black2011,39,0.186,Larvae
23-May-11,23-May-17,Black,2011,Black2011,40,0.175,Larvae
23-May-11,23-May-17,Black,2011,Black2011,41,0.082,Larvae
23-May-11,23-May-17,Black,2011,Black2011,42,0.172,Larvae
23-May-11,23-May-17,Black,2011,Black2011,43,0.127,Larvae
23-May-11,23-May-17,Black,2011,Black2011,44,0.199,Larvae
