Site,Year,Day,Sample,Larvae,LogLarvae,Pupae,Total,Beetle
East,2011,5/24,1,47,1.681241237,0,47,0
East,2011,5/24,2,26,1.431363764,0,26,0
East,2011,5/24,3,24,1.397940009,0,24,0
East,2011,5/24,4,31,1.505149978,0,31,0
East,2011,5/24,5,26,1.431363764,0,26,0
East,2011,5/24,6,28,1.462397998,0,28,0
East,2011,5/24,7,12,1.113943352,0,12,0
East,2011,5/24,8,19,1.301029996,0,19,0
East,2011,5/24,9,12,1.113943352,0,12,0
East,2011,5/24,10,35,1.556302501,0,35,0
East,2011,5/24,11,24,1.397940009,0,24,0
East,2011,5/24,12,4,0.698970004,0,4,0
East,2011,5/24,13,24,1.397940009,0,24,0
East,2011,5/24,14,16,1.230448921,0,16,0
East,2011,5/24,15,53,1.73239376,0,53,0
East,2011,5/30,1,39,1.602059991,0,39,1
East,2011,5/30,2,4,0.698970004,0,4,0
East,2011,5/30,3,5,0.77815125,0,5,1
East,2011,5/30,4,42,1.633468456,0,42,0
East,2011,5/30,5,25,1.414973348,0,25,0
East,2011,5/30,6,26,1.431363764,0,26,3
East,2011,5/30,7,34,1.544068044,0,34,0
East,2011,5/30,8,13,1.146128036,1,14,0
East,2011,5/30,9,16,1.230448921,0,16,4
East,2011,5/30,10,18,1.278753601,0,18,0
East,2011,5/30,11,3,0.602059991,1,4,0
East,2011,5/30,12,5,0.77815125,0,5,1
East,2011,5/30,13,15,1.204119983,0,15,0
East,2011,5/30,14,17,1.255272505,0,17,0
East,2011,5/30,15,14,1.176091259,1,15,0
East,2011,6/1,1,11,1.079181246,0,11,0
East,2011,6/1,2,24,1.397940009,0,24,0
East,2011,6/1,3,33,1.531478917,1,34,1
East,2011,6/1,4,7,0.903089987,0,7,0
East,2011,6/1,5,17,1.255272505,0,17,0
East,2011,6/1,6,4,0.698970004,0,4,0
East,2011,6/1,7,12,1.113943352,0,12,0
East,2011,6/1,8,19,1.301029996,0,19,0
East,2011,6/1,9,7,0.903089987,0,7,0
East,2011,6/1,10,2,0.477121255,0,2,0
East,2011,6/1,11,4,0.698970004,0,4,0
East,2011,6/1,12,5,0.77815125,1,6,0
East,2011,6/1,13,7,0.903089987,0,7,2
East,2011,6/1,14,13,1.146128036,0,13,1
East,2011,6/1,15,7,0.903089987,0,7,3
East,2011,6/6,1,10,1.041392685,0,10,0
East,2011,6/6,2,5,0.77815125,0,5,0
East,2011,6/6,3,4,0.698970004,0,4,1
East,2011,6/6,4,2,0.477121255,0,2,0
East,2011,6/6,5,2,0.477121255,0,2,0
East,2011,6/6,6,7,0.903089987,0,7,0
East,2011,6/6,7,10,1.041392685,0,10,1
East,2011,6/6,8,7,0.903089987,0,7,0
East,2011,6/6,9,1,0.301029996,0,1,0
East,2011,6/6,10,7,0.903089987,1,8,0
East,2011,6/6,11,7,0.903089987,0,7,0
East,2011,6/6,12,2,0.477121255,1,3,0
East,2011,6/6,13,7,0.903089987,1,8,0
East,2011,6/6,14,8,0.954242509,0,8,0
East,2011,6/6,15,3,0.602059991,0,3,0
East,2011,6/8,1,2,0.477121255,0,2,0
East,2011,6/8,2,4,0.698970004,1,5,0
East,2011,6/8,3,6,0.84509804,0,6,0
East,2011,6/8,4,2,0.477121255,0,2,0
East,2011,6/8,5,6,0.84509804,1,7,1
East,2011,6/8,6,2,0.477121255,0,2,0
East,2011,6/8,7,5,0.77815125,0,5,0
East,2011,6/8,8,3,0.602059991,0,3,0
East,2011,6/8,9,1,0.301029996,0,1,0
East,2011,6/8,10,1,0.301029996,0,1,0
East,2011,6/8,11,4,0.698970004,0,4,1
East,2011,6/8,12,1,0.301029996,3,4,0
East,2011,6/8,13,0,0,2,2,1
East,2011,6/8,14,2,0.477121255,0,2,0
East,2011,6/8,15,10,1.041392685,1,11,0
East,2011,6/13,1,1,0.301029996,6,7,0
East,2011,6/13,2,0,0,0,0,0
East,2011,6/13,3,1,0.301029996,1,2,1
East,2011,6/13,4,0,0,0,0,0
East,2011,6/13,5,1,0.301029996,2,3,0
East,2011,6/13,6,0,0,2,2,0
East,2011,6/13,7,1,0.301029996,6,7,1
East,2011,6/13,8,0,0,3,3,1
East,2011,6/13,9,0,0,2,2,0
East,2011,6/13,10,1,0.301029996,6,7,0
East,2011,6/13,11,0,0,4,4,0
East,2011,6/13,12,0,0,1,1,0
East,2011,6/13,13,2,0.477121255,3,5,0
East,2011,6/13,14,3,0.602059991,1,4,1
East,2011,6/13,15,2,0.477121255,1,3,2
East,2011,6/15,1,0,0,3,3,0
East,2011,6/15,2,0,0,2,2,0
East,2011,6/15,3,0,0,4,4,2
East,2011,6/15,4,0,0,1,1,0
East,2011,6/15,5,1,0.301029996,2,3,2
East,2011,6/15,6,0,0,1,1,0
East,2011,6/15,7,0,0,1,1,0
East,2011,6/15,8,0,0,0,0,0
East,2011,6/15,9,0,0,1,1,1
East,2011,6/15,10,0,0,1,1,1
East,2011,6/15,11,0,0,1,1,0
East,2011,6/15,12,1,0.301029996,0,1,1
East,2011,6/15,13,0,0,3,3,1
East,2011,6/15,14,0,0,0,0,0
East,2011,6/15,15,0,0,3,3,0
East,2011,6/17,1,0,0,0,0,0
East,2011,6/17,2,0,0,0,0,0
East,2011,6/17,3,0,0,0,0,1
East,2011,6/17,4,0,0,0,0,0
East,2011,6/17,5,0,0,0,0,0
East,2011,6/17,6,0,0,0,0,2
East,2011,6/17,7,0,0,1,1,1
East,2011,6/17,8,1,0.301029996,1,2,0
East,2011,6/17,9,0,0,0,0,0
East,2011,6/17,10,0,0,1,1,0
East,2011,6/17,11,0,0,1,1,0
East,2011,6/17,12,0,0,1,1,0
East,2011,6/17,13,0,0,0,0,0
East,2011,6/17,14,0,0,2,2,0
East,2011,6/17,15,0,0,0,0,0
East,2011,6/20,1,0,0,0,0,0
East,2011,6/20,2,0,0,0,0,0
East,2011,6/20,3,0,0,0,0,0
East,2011,6/20,4,0,0,0,0,0
East,2011,6/20,5,0,0,0,0,0
East,2011,6/20,6,0,0,0,0,0
East,2011,6/20,7,0,0,0,0,1
East,2011,6/20,8,0,0,0,0,0
East,2011,6/20,9,0,0,0,0,0
East,2011,6/20,10,0,0,0,0,0
East,2011,6/20,11,0,0,0,0,0
East,2011,6/20,12,0,0,0,0,0
East,2011,6/20,13,0,0,0,0,0
East,2011,6/20,14,0,0,0,0,0
East,2011,6/20,15,0,0,0,0,0
Ice,2011,5/24,1,2,0.477121255,0,2,0
Ice,2011,5/24,2,2,0.477121255,0,2,0
Ice,2011,5/24,3,1,0.301029996,0,1,0
Ice,2011,5/24,4,1,0.301029996,0,1,0
Ice,2011,5/24,5,5,0.77815125,0,5,0
Ice,2011,5/24,6,3,0.602059991,0,3,0
Ice,2011,5/24,7,2,0.477121255,0,2,0
Ice,2011,5/24,8,0,0,0,0,0
Ice,2011,5/24,9,0,0,0,0,0
Ice,2011,5/24,10,6,0.84509804,0,6,0
Ice,2011,5/24,11,6,0.84509804,0,6,0
Ice,2011,5/24,12,6,0.84509804,0,6,0
Ice,2011,5/24,13,0,0,0,0,0
Ice,2011,5/24,14,2,0.477121255,0,2,0
Ice,2011,5/24,15,1,0.301029996,0,1,0
Ice,2011,5/30,1,11,1.079181246,0,11,0
Ice,2011,5/30,2,0,0,0,0,1
