Date,Day,Site,Year,SiteYear,Sample,Larvae,Pupae,Total,Beetle,logTotal
24-May-11,24-May-17,Black,2011,Black2011,12,130,0,130,0,4.875197323
24-May-11,24-May-17,Black,2011,Black2011,7,113,0,113,0,4.736198448
24-May-11,24-May-17,Black,2011,Black2011,9,97,0,97,0,4.584967479
24-May-11,24-May-17,Black,2011,Black2011,13,92,0,92,0,4.532599493
24-May-11,24-May-17,Black,2011,Black2011,8,88,0,88,0,4.48863637
24-May-11,24-May-17,Black,2011,Black2011,6,86,0,86,0,4.465908119
24-May-11,24-May-17,Black,2011,Black2011,3,75,0,75,0,4.33073334
24-May-11,24-May-17,Black,2011,Black2011,14,56,0,56,0,4.043051268
24-May-11,24-May-17,Black,2011,Black2011,2,55,0,55,0,4.025351691
24-May-11,24-May-17,Black,2011,Black2011,4,42,0,42,0,3.761200116
24-May-11,24-May-17,Black,2011,Black2011,10,42,0,42,0,3.761200116
24-May-11,24-May-17,Black,2011,Black2011,15,32,0,32,0,3.496507561
24-May-11,24-May-17,Black,2011,Black2011,1,28,0,28,0,3.36729583
24-May-11,24-May-17,Black,2011,Black2011,11,26,0,26,0,3.295836866
24-May-11,24-May-17,Black,2011,Black2011,5,23,0,23,0,3.17805383
30-May-11,30-May-17,Black,2011,Black2011,9,37,0,37,0,3.63758616
30-May-11,30-May-17,Black,2011,Black2011,1,33,0,33,0,3.526360525
30-May-11,30-May-17,Black,2011,Black2011,6,32,0,32,0,3.496507561
30-May-11,30-May-17,Black,2011,Black2011,10,24,0,24,0,3.218875825
30-May-11,30-May-17,Black,2011,Black2011,2,21,0,21,0,3.091042453
30-May-11,30-May-17,Black,2011,Black2011,13,21,0,21,0,3.091042453
30-May-11,30-May-17,Black,2011,Black2011,3,20,0,20,0,3.044522438
30-May-11,30-May-17,Black,2011,Black2011,11,20,0,20,0,3.044522438
30-May-11,30-May-17,Black,2011,Black2011,5,18,0,18,0,2.944438979
30-May-11,30-May-17,Black,2011,Black2011,7,17,0,17,0,2.890371758
30-May-11,30-May-17,Black,2011,Black2011,8,17,0,17,0,2.890371758
30-May-11,30-May-17,Black,2011,Black2011,14,16,0,16,0,2.833213344
30-May-11,30-May-17,Black,2011,Black2011,15,15,0,15,0,2.772588722
30-May-11,30-May-17,Black,2011,Black2011,4,9,0,9,0,2.302585093
30-May-11,30-May-17,Black,2011,Black2011,12,9,0,9,0,2.302585093
1-Jun-11,1-Jun-17,Black,2011,Black2011,2,56,0,56,0,4.043051268
1-Jun-11,1-Jun-17,Black,2011,Black2011,9,45,0,45,0,3.828641396
1-Jun-11,1-Jun-17,Black,2011,Black2011,4,42,0,42,0,3.761200116
1-Jun-11,1-Jun-17,Black,2011,Black2011,8,39,0,39,0,3.688879454
1-Jun-11,1-Jun-17,Black,2011,Black2011,10,38,0,38,0,3.663561646
1-Jun-11,1-Jun-17,Black,2011,Black2011,1,28,0,28,0,3.36729583
1-Jun-11,1-Jun-17,Black,2011,Black2011,5,25,0,25,0,3.258096538
1-Jun-11,1-Jun-17,Black,2011,Black2011,13,25,0,25,0,3.258096538
1-Jun-11,1-Jun-17,Black,2011,Black2011,15,24,0,24,0,3.218875825
1-Jun-11,1-Jun-17,Black,2011,Black2011,6,23,0,23,0,3.17805383
1-Jun-11,1-Jun-17,Black,2011,Black2011,7,22,0,22,0,3.135494216
1-Jun-11,1-Jun-17,Black,2011,Black2011,3,19,0,19,0,2.995732274
1-Jun-11,1-Jun-17,Black,2011,Black2011,11,16,0,16,0,2.833213344
1-Jun-11,1-Jun-17,Black,2011,Black2011,12,7,0,7,0,2.079441542
1-Jun-11,1-Jun-17,Black,2011,Black2011,14,7,0,7,0,2.079441542
6-Jun-11,6-Jun-17,Black,2011,Black2011,12,38,11,49,2,3.912023005
6-Jun-11,6-Jun-17,Black,2011,Black2011,10,39,9,48,0,3.891820298
6-Jun-11,6-Jun-17,Black,2011,Black2011,11,39,3,42,0,3.761200116
6-Jun-11,6-Jun-17,Black,2011,Black2011,6,16,2,18,0,2.944438979
6-Jun-11,6-Jun-17,Black,2011,Black2011,8,16,0,16,0,2.833213344
6-Jun-11,6-Jun-17,Black,2011,Black2011,5,12,2,14,0,2.708050201
6-Jun-11,6-Jun-17,Black,2011,Black2011,15,14,0,14,1,2.708050201
6-Jun-11,6-Jun-17,Black,2011,Black2011,14,9,3,12,0,2.564949357
6-Jun-11,6-Jun-17,Black,2011,Black2011,13,7,2,9,1,2.302585093
6-Jun-11,6-Jun-17,Black,2011,Black2011,4,7,1,8,0,2.197224577
6-Jun-11,6-Jun-17,Black,2011,Black2011,2,7,0,7,0,2.079441542
6-Jun-11,6-Jun-17,Black,2011,Black2011,9,4,0,4,0,1.609437912
6-Jun-11,6-Jun-17,Black,2011,Black2011,7,2,0,2,0,1.098612289
6-Jun-11,6-Jun-17,Black,2011,Black2011,1,1,0,1,0,0.693147181
6-Jun-11,6-Jun-17,Black,2011,Black2011,3,1,0,1,0,0.693147181
8-Jun-11,8-Jun-17,Black,2011,Black2011,8,42,42,84,0,4.442651256
8-Jun-11,8-Jun-17,Black,2011,Black2011,6,29,18,47,2,3.871201011
8-Jun-11,8-Jun-17,Black,2011,Black2011,7,19,21,40,0,3.713572067
