"","Site","Year","SiteYear","Date","Day.x","Stage","Avgmass","varmass","Cvmass","Sterror","Day.y","Totallarvaeliter","Totalpupaeliter","lnTotallarvaeliter","LarvPupRatio","DevStage"
"1:1","Black","2011","Black2011","2011-05-23","2017-05-23","Larvae",0.173755555555556,0.0036827797979798,34.9260263014792,0.00904652148984446,"2017-05-24",37.5238095238095,0,3.51802364480215,Inf,"N0"
"1:2","Black","2012","Black2012","2012-05-08","2017-05-08","Larvae",0.193591836734694,0.00324970493197279,29.4465842361646,0.00814374046834569,"2017-05-08",27.1238095238095,0,2.98365978158802,Inf,"N0"
"1:3","East","2011","East2011","2011-05-23","2017-05-23","Larvae",0.152574468085106,0.00406442368177613,41.7847320953767,0.00929930640490237,"2017-05-24",14.5142857142857,0,2.61820672627917,Inf,"N0"
"1:4","East","2012","East2012","2012-05-08","2017-05-08","Larvae",0.126159090909091,0.00462674154334038,53.9161743554917,0.0102544242595135,"2017-05-08",3.16190476190476,0,0.749224070674182,Inf,"N0"
"1:5","East","2017","East2017","2017-05-17","2017-05-17","Larvae",0.171111111111111,0.021025641025641,84.7415515420501,0.0279056884056658,"2017-05-17",13.752380952381,0,1.96096315910373,Inf,"N0"
"1:6","Ice","2011","Ice2011","2011-05-23","2017-05-23","Larvae",0.13285,0.00237351538461538,36.6719890933259,0.00770310876305045,"2017-05-24",1.40952380952381,0,0.747813486184427,Inf,"N0"
"1:7","Ice","2012","Ice2012","2012-05-08","2017-05-08","Larvae",0.114847826086957,0.00233253188405797,42.0524221475312,0.00712089986383922,"2017-05-08",0.419047619047619,0,0.226038408868472,Inf,"N0"
"1:8","Ice","2017","Ice2017","2017-05-17","2017-05-17","Larvae",0.163658536585366,0.00579878048780488,46.5296377058848,0.0118925888869609,"2017-05-17",4.60952380952381,0,1.30533584244887,Inf,"N0"
"1:9","SBS","2017","SBS2017","2017-05-17","2017-05-17","Larvae",0.08,0.00626666666666667,98.952850725316,0.0299205296617238,"2017-05-17",21.8285714285714,0,2.77048415171124,Inf,"N0"
"1:10","ShotgunFairy","2017","ShotgunFairy2017","2017-05-17","2017-05-17","Larvae",0.11,0.00329411764705882,52.1767311985047,0.0135279908318905,"2017-05-17",2.24761904761905,0,0.842335114326179,Inf,"N0"
"1:11","Vulgaris road","2017","Vulgaris road2017","2017-05-17","2017-05-17","Larvae",0.123783783783784,0.00476861861861862,55.7869401000561,0.0113526025336479,"2017-05-17",29.7142857142857,0,3.42472787907235,Inf,"N0"
"1:12","Vulgaris small","2017","Vulgaris small2017","2017-05-23","2017-05-23","Larvae",0.190882352941176,0.0101416221033868,52.7579524561425,0.0172708715194338,"2017-05-23",30.0952380952381,0,2.03136011676651,Inf,"N0"
"1:13","Vulgaris","2011","Vulgaris2011","2011-05-23","2017-05-23","Larvae",0.116545454545455,0.00461578858350951,58.2945043832847,0.0102422793356192,"2017-05-24",25.1047619047619,0,2.99878497387695,Inf,"N0"
"1:14","Vulgaris","2012","Vulgaris2012","2012-05-08","2017-05-08","Larvae",0.1598,0.00273216363636364,32.7097013147119,0.00779196685534195,"2017-05-08",23.0095238095238,0,2.62926757533318,Inf,"N0"
"1:15","Vulgaris","2016","Vulgaris2016","2016-05-01","2017-05-01","Larvae",0.1875,0.00435,35.1757492220611,0.0134629120178363,"2017-05-01",11.6952380952381,0,2.41619034600396,Inf,"N0"
"1:16","Black","2011","Black2011","2011-06-05","2017-06-05","Larvae",1.36596078431373,0.0696779984313726,19.3245594565775,0.036962619811916,"2017-06-06",8.07619047619048,1.25714285714286,1.85401061976671,6.42424242424242,"Late instar Larvae"
"1:17","Black","2012","Black2012","2012-05-21","2017-05-21","Larvae",1.417125,0.155098196808511,27.790426675596,0.0568437545690873,"2017-05-21",8.34285714285714,0.0761904761904762,2.08588462127582,109.5,"Late instar Larvae"
"1:18","East","2011","East2011","2011-06-05","2017-06-05","Larvae",0.815831578947368,0.138091396864502,45.5494145718732,0.038126023280763,"2017-06-06",3.12380952380952,0.114285714285714,1.32331739055814,27.3333333333333,"Late instar Larvae"
"1:19","East","2017","East2017","2017-06-05","2017-06-05","Larvae",1.20526315789474,0.0623374269005848,20.7153633171479,0.0572792912429434,"2017-06-05",1.48571428571429,1.33333333333333,0.736159087828833,1.11428571428571,"Late instar Larvae"
"1:20","Ice","2017","Ice2017","2017-05-29","2017-05-29","Larvae",1.00547619047619,0.145313182346109,37.912350949678,0.0588203848585451,"2017-05-29",1.2952380952381,0.0761904761904762,0.763482067861263,17,"Late instar Larvae"
"1:21","SeahorseWetland","2017","SeahorseWetland2017","2017-05-29","2017-05-29","Larvae",0.633846153846154,0.099775641025641,49.8343047782356,0.0876073587643452,"2017-05-29",1.02857142857143,0.0380952380952381,0.567053383289116,27,"Late instar Larvae"
"1:22","Vulgaris small","2017","Vulgaris small2017","2017-06-01","2017-06-01","Larvae",0.944871794871795,0.0449940620782726,22.4493988739798,0.0339660698262676,"2017-06-01",4.15238095238095,0.19047619047619,1.20222196228686,21.8,"Late instar Larvae"
"1:23","Vulgaris","2011","Vulgaris2011","2011-06-05","2017-06-05","Larvae",0.585769230769231,0.0529802594268477,39.2943839989716,0.031919447721162,"2017-06-06",18.7809523809524,0.19047619047619,2.80411076906104,98.6,"Late instar Larvae"
"1:24","Vulgaris","2012","Vulgaris2012","2012-05-21","2017-05-21","Larvae",1.10023913043478,0.295764763768116,49.4294900026888,0.0801852154550185,"2017-05-21",2.97142857142857,1.48571428571429,1.22907404179153,2,"Late instar Larvae"
"1:25","Vulgaris","2017","Vulgaris2017","2017-05-26","2017-05-26","Larvae",0.920232558139535,0.0519785160575858,24.7750388178223,0.0347678400107574,"2017-05-26",13.6761904761905,0.342857142857143,2.49914161138165,39.8888888888889,"Late instar Larvae"
