,Site,Year,SiteYear,Date,Time,DateTime,Temp,Type,FirstEmergence,PeakEmergence
1,Airport,2011,Airport2011,5/24/2011,1:00,5/24/2011 1:00,-1,Air,,
2,Airport,2011,Airport2011,5/24/2011,2:00,5/24/2011 2:00,-3,Air,,
3,Airport,2011,Airport2011,5/24/2011,3:00,5/24/2011 3:00,-3,Air,,
4,Airport,2011,Airport2011,5/24/2011,4:00,5/24/2011 4:00,-4,Air,,
5,Airport,2011,Airport2011,5/24/2011,5:00,5/24/2011 5:00,-4,Air,,
6,Airport,2011,Airport2011,5/24/2011,6:00,5/24/2011 6:00,-2,Air,,
7,Airport,2011,Airport2011,5/24/2011,7:00,5/24/2011 7:00,-1,Air,,
8,Airport,2011,Airport2011,5/24/2011,8:00,5/24/2011 8:00,0,Air,,
9,Airport,2011,Airport2011,5/24/2011,9:00,5/24/2011 9:00,1,Air,,
10,Airport,2011,Airport2011,5/24/2011,10:00,5/24/2011 10:00,2,Air,,
11,Airport,2011,Airport2011,5/24/2011,11:00,5/24/2011 11:00,2,Air,,
12,Airport,2011,Airport2011,5/24/2011,12:00,5/24/2011 12:00,3,Air,,
13,Airport,2011,Airport2011,5/24/2011,13:00,5/24/2011 13:00,4,Air,,
14,Airport,2011,Airport2011,5/24/2011,14:00,5/24/2011 14:00,5,Air,,
15,Airport,2011,Airport2011,5/24/2011,15:00,5/24/2011 15:00,5,Air,,
16,Airport,2011,Airport2011,5/24/2011,16:00,5/24/2011 16:00,6,Air,,
17,Airport,2011,Airport2011,5/24/2011,17:00,5/24/2011 17:00,6,Air,,
18,Airport,2011,Airport2011,5/24/2011,18:00,5/24/2011 18:00,6,Air,,
20,Airport,2011,Airport2011,5/24/2011,20:00,5/24/2011 20:00,6,Air,,
21,Airport,2011,Airport2011,5/24/2011,21:00,5/24/2011 21:00,4,Air,,
22,Airport,2011,Airport2011,5/24/2011,22:00,5/24/2011 22:00,3,Air,,
23,Airport,2011,Airport2011,5/24/2011,23:00,5/24/2011 23:00,2,Air,,
