Year,Date,Time,DateTime,Site,Temp,RGRID
2011,5/24/2011,1:00,5/24/2011 1:00,Airport,-1,
2011,5/24/2011,2:00,5/24/2011 2:00,Airport,-3,
2011,5/24/2011,3:00,5/24/2011 3:00,Airport,-3,
2011,5/24/2011,4:00,5/24/2011 4:00,Airport,-4,
2011,5/24/2011,5:00,5/24/2011 5:00,Airport,-4,
2011,5/24/2011,6:00,5/24/2011 6:00,Airport,-2,
2011,5/24/2011,7:00,5/24/2011 7:00,Airport,-1,
2011,5/24/2011,8:00,5/24/2011 8:00,Airport,0,
2011,5/24/2011,9:00,5/24/2011 9:00,Airport,1,
2011,5/24/2011,10:00,5/24/2011 10:00,Airport,2,
2011,5/24/2011,11:00,5/24/2011 11:00,Airport,2,
2011,5/24/2011,12:00,5/24/2011 12:00,Airport,3,
2011,5/24/2011,13:00,5/24/2011 13:00,Airport,4,
2011,5/24/2011,14:00,5/24/2011 14:00,Airport,5,
2011,5/24/2011,15:00,5/24/2011 15:00,Airport,5,
2011,5/24/2011,16:00,5/24/2011 16:00,Airport,6,
2011,5/24/2011,17:00,5/24/2011 17:00,Airport,6,
2011,5/24/2011,18:00,5/24/2011 18:00,Airport,6,
2011,5/24/2011,19:00,5/24/2011 19:00,Airport,,
2011,5/24/2011,20:00,5/24/2011 20:00,Airport,6,
2011,5/24/2011,21:00,5/24/2011 21:00,Airport,4,
2011,5/24/2011,22:00,5/24/2011 22:00,Airport,3,
2011,5/24/2011,23:00,5/24/2011 23:00,Airport,2,
2011,5/25/2011,0:00,5/25/2011 0:00,Airport,1,
2011,5/25/2011,1:00,5/25/2011 1:00,Airport,0,
2011,5/25/2011,2:00,5/25/2011 2:00,Airport,-2,
2011,5/25/2011,3:00,5/25/2011 3:00,Airport,-2,
2011,5/25/2011,4:00,5/25/2011 4:00,Airport,-3,
2011,5/25/2011,5:00,5/25/2011 5:00,Airport,-4,
2011,5/25/2011,6:00,5/25/2011 6:00,Airport,-2,
2011,5/25/2011,7:00,5/25/2011 7:00,Airport,-1,
2011,5/25/2011,8:00,5/25/2011 8:00,Airport,0,
2011,5/25/2011,9:00,5/25/2011 9:00,Airport,2,
2011,5/25/2011,10:00,5/25/2011 10:00,Airport,3,
2011,5/25/2011,11:00,5/25/2011 11:00,Airport,4,
2011,5/25/2011,12:00,5/25/2011 12:00,Airport,6,
2011,5/25/2011,13:00,5/25/2011 13:00,Airport,7,
2011,5/25/2011,14:00,5/25/2011 14:00,Airport,7,
2011,5/25/2011,15:00,5/25/2011 15:00,Airport,8,
2011,5/25/2011,16:00,5/25/2011 16:00,Airport,8,
2011,5/25/2011,17:00,5/25/2011 17:00,Airport,9,
2011,5/25/2011,18:00,5/25/2011 18:00,Airport,,
2011,5/25/2011,19:00,5/25/2011 19:00,Airport,8,
2011,5/25/2011,20:00,5/25/2011 20:00,Airport,7,
2011,5/25/2011,21:00,5/25/2011 21:00,Airport,6,
2011,5/25/2011,22:00,5/25/2011 22:00,Airport,5,
2011,5/25/2011,23:00,5/25/2011 23:00,Airport,4,
2011,5/26/2011,0:00,5/26/2011 0:00,Airport,4,
2011,5/26/2011,1:00,5/26/2011 1:00,Airport,3,
2011,5/26/2011,2:00,5/26/2011 2:00,Airport,3,
2011,5/26/2011,3:00,5/26/2011 3:00,Airport,2,
2011,5/26/2011,4:00,5/26/2011 4:00,Airport,2,
2011,5/26/2011,5:00,5/26/2011 5:00,Airport,2,
2011,5/26/2011,6:00,5/26/2011 6:00,Airport,2,
2011,5/26/2011,7:00,5/26/2011 7:00,Airport,2,
2011,5/26/2011,8:00,5/26/2011 8:00,Airport,3,
2011,5/26/2011,9:00,5/26/2011 9:00,Airport,3,
2011,5/26/2011,10:00,5/26/2011 10:00,Airport,3,
