Date,Day,Site,Year,SiteYear,Sample,Larvae,Pupae,Total,Beetle,SampleL,Emergence,PondPerimeter,Pondarea,Depth_1,Littoral_aream3,Littoralarea_liters
18-May-18,18-May-17,East,2018,East2018,1,12,0,12,0,1.75,Hatch,138.7,759.2,0.15,20.805,20805
18-May-18,18-May-17,East,2018,East2018,2,32,0,32,0,1.75,Hatch,138.7,759.2,0.15,20.805,20805
18-May-18,18-May-17,East,2018,East2018,3,6,0,6,0,1.75,Hatch,138.7,759.2,0.15,20.805,20805
18-May-18,18-May-17,East,2018,East2018,4,3,0,3,0,1.75,Hatch,138.7,759.2,0.15,20.805,20805
18-May-18,18-May-17,East,2018,East2018,5,0,0,0,0,1.75,Hatch,138.7,759.2,0.15,20.805,20805
18-May-18,18-May-17,East,2018,East2018,6,0,0,0,0,1.75,Hatch,138.7,759.2,0.15,20.805,20805
18-May-18,18-May-17,East,2018,East2018,7,0,0,0,0,1.75,Hatch,138.7,759.2,0.15,20.805,20805
18-May-18,18-May-17,East,2018,East2018,8,1,0,1,0,1.75,Hatch,138.7,759.2,0.15,20.805,20805
18-May-18,18-May-17,East,2018,East2018,9,5,0,5,0,1.75,Hatch,138.7,759.2,0.15,20.805,20805
18-May-18,18-May-17,East,2018,East2018,10,7,0,7,0,1.75,Hatch,138.7,759.2,0.15,20.805,20805
18-May-18,18-May-17,East,2018,East2018,11,0,0,0,0,1.75,Hatch,138.7,759.2,0.15,20.805,20805
18-May-18,18-May-17,East,2018,East2018,12,6,0,6,0,1.75,Hatch,138.7,759.2,0.15,20.805,20805
18-May-18,18-May-17,East,2018,East2018,13,0,0,0,0,1.75,Hatch,138.7,759.2,0.15,20.805,20805
18-May-18,18-May-17,East,2018,East2018,14,0,0,0,0,1.75,Hatch,138.7,759.2,0.15,20.805,20805
18-May-18,18-May-17,East,2018,East2018,15,0,0,0,0,1.75,Hatch,138.7,759.2,0.15,20.805,20805
18-May-18,18-May-17,East,2018,East2018,16,15,0,15,0,1.75,Hatch,138.7,759.2,0.15,20.805,20805
23-May-18,23-May-17,East,2018,East2018,1,107,0,107,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,2,72,0,72,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,3,39,0,39,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,4,7,0,7,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,5,2,0,2,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,6,1,0,1,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,7,22,0,22,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,8,29,0,29,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,9,24,0,24,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,10,30,0,30,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,11,30,0,30,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,12,30,0,30,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,13,1,0,1,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,14,0,0,0,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,15,0,0,0,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,16,0,0,0,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,17,6,0,6,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,18,53,0,53,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
23-May-18,23-May-17,East,2018,East2018,19,60,0,60,0,1.75,Hatch,137.3369048,753.5761905,0.15,20.60053571,20600.53571
27-May-18,27-May-17,East,2018,East2018,1,90,0,90,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,2,85,0,85,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,3,130,0,130,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,4,80,0,80,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,5,27,0,27,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,6,0,0,0,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,7,3,0,3,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,8,18,0,18,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,9,94,0,94,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,10,24,0,24,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,11,6,0,6,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,12,52,0,52,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,13,45,0,45,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,14,38,0,38,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,15,0,0,0,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,16,0,0,0,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,17,0,0,0,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,18,6,0,6,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
27-May-18,27-May-17,East,2018,East2018,19,2,0,2,0,1.75,Before,136.2464286,749.0771429,0.15,20.43696429,20436.96429
1-Jun-18,1-Jun-17,East,2018,East2018,1,29,0,29,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,2,44,0,44,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,3,97,0,97,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,4,27,0,27,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,5,3,0,3,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,6,1,0,1,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,7,16,0,16,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,8,7,0,7,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,9,18,0,18,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,10,11,0,11,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,11,31,0,31,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,12,8,0,8,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,13,11,0,11,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,14,3,0,3,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,15,14,0,14,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,16,2,0,2,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,17,0,0,0,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,18,78,0,78,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
1-Jun-18,1-Jun-17,East,2018,East2018,19,16,0,16,0,1.75,Before,134.8833333,743.4533333,0.15,20.2325,20232.5
9-Jun-18,9-Jun-17,East,2018,East2018,1,28,0,28,0,1.75,Before,132.702381,734.4552381,0.15,19.90535714,19905.35714
9-Jun-18,9-Jun-17,East,2018,East2018,2,29,0,29,0,1.75,Before,132.702381,734.4552381,0.15,19.90535714,19905.35714
9-Jun-18,9-Jun-17,East,2018,East2018,3,16,0,16,0,1.75,Before,132.702381,734.4552381,0.15,19.90535714,19905.35714
9-Jun-18,9-Jun-17,East,2018,East2018,4,13,0,13,0,1.75,Before,132.702381,734.4552381,0.15,19.90535714,19905.35714
9-Jun-18,9-Jun-17,East,2018,East2018,5,0,0,0,0,1.75,Before,132.702381,734.4552381,0.15,19.90535714,19905.35714
