Date,Year,Samplingno,Site,Sample,Larvae,Pupae,Total,Beetles
24-May-11,2011,1,East,1,47,0,47,0
24-May-11,2011,1,East,2,26,0,26,0
24-May-11,2011,1,East,3,24,0,24,0
24-May-11,2011,1,East,4,31,0,31,0
24-May-11,2011,1,East,5,26,0,26,0
24-May-11,2011,1,East,6,28,0,28,0
24-May-11,2011,1,East,7,12,0,12,0
24-May-11,2011,1,East,8,19,0,19,0
24-May-11,2011,1,East,9,12,0,12,0
24-May-11,2011,1,East,10,35,0,35,0
24-May-11,2011,1,East,11,24,0,24,0
24-May-11,2011,1,East,12,4,0,4,0
24-May-11,2011,1,East,13,24,0,24,0
24-May-11,2011,1,East,14,16,0,16,0
24-May-11,2011,1,East,15,53,0,53,0
24-May-11,2011,1,Black,1,28,0,28,0
24-May-11,2011,1,Black,2,55,0,55,0
24-May-11,2011,1,Black,3,75,0,75,0
24-May-11,2011,1,Black,4,42,0,42,0
24-May-11,2011,1,Black,5,23,0,23,0
24-May-11,2011,1,Black,6,86,0,86,0
24-May-11,2011,1,Black,7,113,0,113,0
24-May-11,2011,1,Black,8,88,0,88,0
24-May-11,2011,1,Black,9,97,0,97,0
24-May-11,2011,1,Black,10,42,0,42,0
24-May-11,2011,1,Black,11,26,0,26,0
24-May-11,2011,1,Black,12,130,0,130,0
24-May-11,2011,1,Black,13,92,0,92,0
24-May-11,2011,1,Black,14,56,0,56,0
24-May-11,2011,1,Black,15,32,0,32,0
24-May-11,2011,1,Ice,1,2,0,2,0
24-May-11,2011,1,Ice,2,2,0,2,0
24-May-11,2011,1,Ice,3,1,0,1,0
24-May-11,2011,1,Ice,4,1,0,1,0
24-May-11,2011,1,Ice,5,5,0,5,0
24-May-11,2011,1,Ice,6,3,0,3,0
24-May-11,2011,1,Ice,7,2,0,2,0
24-May-11,2011,1,Ice,8,0,0,0,0
24-May-11,2011,1,Ice,9,0,0,0,0
24-May-11,2011,1,Ice,10,6,0,6,0
24-May-11,2011,1,Ice,11,6,0,6,0
24-May-11,2011,1,Ice,12,6,0,6,0
24-May-11,2011,1,Ice,13,0,0,0,0
24-May-11,2011,1,Ice,14,2,0,2,0
24-May-11,2011,1,Ice,15,1,0,1,0
24-May-11,2011,1,Vulgaris,1,2,0,2,0
24-May-11,2011,1,Vulgaris,2,26,0,26,0
24-May-11,2011,1,Vulgaris,3,11,0,11,0
24-May-11,2011,1,Vulgaris,4,29,0,29,0
24-May-11,2011,1,Vulgaris,5,50,0,50,0
24-May-11,2011,1,Vulgaris,6,50,0,50,0
24-May-11,2011,1,Vulgaris,7,41,0,41,0
24-May-11,2011,1,Vulgaris,8,63,0,63,0
24-May-11,2011,1,Vulgaris,9,65,0,65,0
24-May-11,2011,1,Vulgaris,10,30,0,30,0
24-May-11,2011,1,Vulgaris,11,56,0,56,0
24-May-11,2011,1,Vulgaris,12,68,0,68,0
24-May-11,2011,1,Vulgaris,13,118,0,118,0
24-May-11,2011,1,Vulgaris,14,40,0,40,0
24-May-11,2011,1,Vulgaris,15,10,0,10,0
30-May-11,2011,2,East,1,39,0,39,1
30-May-11,2011,2,East,2,4,0,4,0
30-May-11,2011,2,East,3,5,0,5,1
30-May-11,2011,2,East,4,42,0,42,0
30-May-11,2011,2,East,5,25,0,25,0
30-May-11,2011,2,East,6,26,0,26,3
30-May-11,2011,2,East,7,34,0,34,0
30-May-11,2011,2,East,8,13,1,14,0
30-May-11,2011,2,East,9,16,0,16,4
30-May-11,2011,2,East,10,18,0,18,0
30-May-11,2011,2,East,11,3,1,4,0
30-May-11,2011,2,East,12,5,0,5,1
30-May-11,2011,2,East,13,15,0,15,0
30-May-11,2011,2,East,14,17,0,17,0
30-May-11,2011,2,East,15,14,1,15,0
30-May-11,2011,2,Black,1,33,0,33,0
30-May-11,2011,2,Black,2,21,0,21,0
30-May-11,2011,2,Black,3,20,0,20,0
30-May-11,2011,2,Black,4,9,0,9,0
30-May-11,2011,2,Black,5,18,0,18,0
30-May-11,2011,2,Black,6,32,0,32,0
30-May-11,2011,2,Black,7,17,0,17,0
30-May-11,2011,2,Black,8,17,0,17,0
30-May-11,2011,2,Black,9,37,0,37,0
30-May-11,2011,2,Black,10,24,0,24,0
30-May-11,2011,2,Black,11,20,0,20,0
30-May-11,2011,2,Black,12,9,0,9,0
30-May-11,2011,2,Black,13,21,0,21,0
30-May-11,2011,2,Black,14,16,0,16,0
30-May-11,2011,2,Black,15,15,0,15,0
30-May-11,2011,2,Ice,1,11,0,11,0
30-May-11,2011,2,Ice,2,0,0,0,1
30-May-11,2011,2,Ice,3,5,0,5,0
30-May-11,2011,2,Ice,4,2,0,2,0
30-May-11,2011,2,Ice,5,0,0,0,1
30-May-11,2011,2,Ice,6,5,0,5,0
30-May-11,2011,2,Ice,7,1,0,1,2
30-May-11,2011,2,Ice,8,5,0,5,0
30-May-11,2011,2,Ice,9,11,0,11,0
30-May-11,2011,2,Ice,10,4,0,4,0
30-May-11,2011,2,Ice,11,6,0,6,0
30-May-11,2011,2,Ice,12,16,0,16,0
30-May-11,2011,2,Ice,13,2,0,2,0
30-May-11,2011,2,Ice,14,1,0,1,1
30-May-11,2011,2,Ice,15,9,0,9,0
30-May-11,2011,2,Vulgaris,1,26,0,26,2
30-May-11,2011,2,Vulgaris,2,34,0,34,0
30-May-11,2011,2,Vulgaris,3,54,0,54,3
30-May-11,2011,2,Vulgaris,4,51,0,51,0
30-May-11,2011,2,Vulgaris,5,69,0,69,0
30-May-11,2011,2,Vulgaris,6,45,0,45,0
